assists,attacking_bonus,big_chances_created,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clearances_blocks_interceptions,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,crosses,defending_bonus,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,id,in_dreamteam,key_passes,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,recoveries,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,100,100,10,9,52251,0,0,-1,1,0,18,1,1,3.7,0.0,7,Johan,0.0,14,0,1,False,0,1665,,2021-12-03T13:30:39.984169Z,64,0,0,0,52251.jpg,5.2,141,0,45,Dahlin,2.7,False,None,a,1,993,98,1182,0,670,0,0.0,15.3,Dahlin,1
0,0,0,0,0,0,0,421640,0,0,-1,1,0,0,0,1,0.0,0.0,0,Mathias,0.0,0,0,2,False,0,0,Utlånad till Östers IF,2021-07-07T12:39:20.586072Z,39,0,0,0,421640.jpg,0.0,0,0,0,Nilsson,2.0,False,None,u,1,993,0,227,0,537,0,0.0,0.0,Nilsson,0
0,0,0,0,0,0,2,212926,0,0,-3,3,0,11,0,1,0.0,0.0,0,Marko,0.0,13,0,3,False,0,810,Lämnat för Hamburg,2021-08-12T07:58:24.693669Z,62,0,0,0,212926.jpg,3.2,84,0,20,Johansson,2.6,False,None,u,1,993,29,273,0,857,0,0.0,4.7,Johansson,0
0,0,0,None,None,0,0,515046,0,0,-1,1,0,0,0,1,0.0,0.0,0,Melker,0.0,0,0,4,False,0,0,,None,39,0,0,0,515046.jpg,0.0,0,0,0,Ellborg,0.9,False,None,a,1,993,0,262,0,156,0,0.0,0.0,Ellborg,0
0,1,1,100,100,8,156,233821,0,0,0,0,0,31,0,2,3.0,0.0,8,Anel,0.0,26,1,5,False,8,2250,,2021-11-02T09:06:36.891554Z,75,0,0,0,233821.jpg,4.3,143,0,0,Ahmedhodzic,10.3,False,None,a,1,993,107,1994,0,3696,0,0.0,14.3,Ahmedhodzic,6
1,3,1,0,0,1,43,82187,0,0,-1,1,10,8,0,2,0.0,0.0,0,Jonas,0.0,16,1,6,False,17,1039,Skadad. Tillbaka i spel: missar resten av säsongen,2021-07-22T11:05:43.093439Z,69,0,0,0,82187.jpg,3.4,64,0,0,Knudsen,6.5,False,None,i,1,993,41,6474,0,7929,0,0.0,5.9,Knudsen,2
1,2,2,100,100,6,113,54433,0,0,-4,4,1,17,0,2,7.0,0.0,6,Lasse,0.0,17,1,7,False,7,1482,,2021-10-29T08:26:38.815679Z,51,1,0,0,54433.jpg,3.9,86,0,0,Nielsen,2.1,False,None,a,1,993,78,1096,0,1159,0,0.0,15.3,Nielsen,3
6,10,7,100,100,8,58,82197,0,0,-3,3,14,16,2,2,7.0,0.0,1,Eric,0.0,18,0,8,False,28,1628,,2021-09-24T08:36:50.675336Z,72,1,0,0,82197.jpg,4.6,133,0,0,Larsson,8.2,False,None,a,1,993,106,3237,0,4661,0,0.0,14.7,Larsson,4
0,1,1,100,100,8,98,202517,0,0,-2,2,1,12,0,2,0.7,0.0,0,Franz,0.0,16,0,9,False,5,1626,,2021-09-30T14:35:55.460649Z,53,0,0,0,202517.jpg,3.4,83,0,0,Brorsson,3.7,False,None,a,1,993,82,3234,0,3198,0,0.0,15.5,Brorsson,1
2,0,0,0,0,3,38,223813,0,0,-3,3,8,6,1,2,0.0,0.0,0,Felix,0.0,11,0,10,False,9,975,Nyckelbensskadad. Missar resten av säsongen,2021-09-24T17:57:00.548051Z,57,0,0,0,223813.jpg,3.1,61,0,0,Beijmo,2.4,False,None,i,1,993,44,271,0,1182,0,0.0,7.7,Beijmo,1
0,0,0,None,None,0,2,484391,0,0,-1,1,0,0,0,2,0.0,0.0,0,Noah,0.0,1,0,11,False,0,24,,None,39,0,0,0,484391.jpg,1.0,1,0,0,Eile,0.7,False,None,a,1,993,3,88,0,195,0,0.0,0.8,Eile,0
0,0,0,0,0,0,0,89198,0,0,0,0,0,0,0,3,0.0,0.0,0,Arnór Ingvi,0.0,0,0,12,False,0,0,Lämnat för New England Revolution,2021-03-16T17:02:05.300231Z,80,0,0,0,89198.jpg,0.0,0,0,0,Traustason,0.0,False,None,u,1,993,0,0,0,4,0,0.0,0.0,Traustason,0
0,0,0,100,100,5,40,193844,0,0,0,0,3,11,0,3,0.3,0.0,0,Bonke,0.0,15,0,13,False,4,1209,,2021-11-22T12:48:53.297977Z,45,0,0,0,193844.jpg,2.3,109,0,0,Innocent,1.4,False,None,a,1,993,39,254,0,464,0,0.0,8.7,Innocent,6
5,16,7,100,100,6,39,61934,0,0,-2,2,17,10,3,3,3.0,0.0,5,Jo Inge,0.0,25,5,14,False,44,2009,,2021-11-19T14:29:19.481491Z,88,0,0,0,61934.jpg,4.3,123,0,0,Berget,3.9,False,None,a,1,993,117,3934,0,3962,0,0.0,13.3,Berget,3
10,21,8,100,100,1,33,76466,0,0,0,0,42,10,2,3,0.7,0.0,1,Anders,0.0,18,6,15,False,56,1478,,2021-11-19T11:41:42.262035Z,120,0,0,0,76466.jpg,5.6,102,0,0,Christiansen,18.9,False,None,a,1,993,123,12520,0,13666,0,0.0,10.2,Christiansen,4
1,6,3,100,100,6,21,51682,0,0,0,0,12,5,1,3,6.0,0.0,5,Sören,0.0,12,6,16,False,23,1104,,2021-11-19T14:29:19.499147Z,80,0,0,0,51682.jpg,4.2,65,0,0,Rieks,5.1,False,None,a,1,993,76,6718,0,6644,0,0.0,9.5,Rieks,3
0,1,0,100,100,4,17,82733,0,0,-1,1,3,4,0,3,3.0,0.0,1,Oscar,0.0,3,0,17,False,5,603,,2021-10-29T15:23:13.873799Z,49,0,0,0,82733.jpg,2.2,50,0,0,Lewicki,0.6,False,None,a,1,993,24,98,0,272,0,0.0,4.9,Lewicki,1
2,4,1,100,100,5,33,163776,0,0,-3,3,10,10,1,3,0.7,0.0,4,Erdal,0.0,17,2,18,False,17,1529,,2021-11-19T11:41:42.279825Z,57,0,0,0,163776.jpg,2.8,122,0,0,Rakip,2.3,False,None,a,1,993,69,827,0,1773,0,0.0,12.1,Rakip,6
4,12,6,100,100,8,13,248586,0,0,-3,3,18,5,1,3,4.3,0.0,1,Adi,0.0,14,6,19,False,35,1565,,2021-08-10T08:32:42.311845Z,67,0,0,0,248586.jpg,3.6,93,0,0,Nalic,3.4,False,None,a,1,993,103,2517,0,2278,0,0.0,15.4,Nalic,5
1,1,0,0,0,0,15,242865,0,0,-3,3,0,2,0,3,0.0,0.0,0,Pavle,0.0,7,0,20,False,6,489,Lämnat för Rosenborg,2021-08-12T16:36:14.240666Z,42,0,0,0,242865.jpg,2.1,37,0,0,Vagic,0.4,False,None,u,1,993,15,608,0,583,0,0.0,3.6,Vagic,2
0,0,0,0,0,0,0,521072,0,0,-2,2,0,0,0,3,0.0,0.0,0,Mubaarak Mohamud,0.0,0,0,21,False,0,0,Utlånad till Jammerbugt,2021-07-01T09:51:31.193752Z,43,0,0,0,521072.jpg,0.0,0,0,0,Nuh,0.1,False,None,u,1,993,0,23,0,54,0,0.0,0.0,Mubaarak Nuh,0
1,2,0,100,100,2,5,484405,0,0,-3,3,2,3,1,3,1.0,0.0,0,Sebastian,0.0,5,1,22,False,13,582,,2021-07-16T12:40:16.584881Z,42,0,0,0,484405.jpg,2.5,46,0,0,Nanasi,4.0,False,None,a,1,993,33,1323,0,2742,0,0.0,7.9,Nanasi,0
1,0,0,None,None,2,11,193905,0,0,-6,6,7,1,0,3,0.0,0.0,0,Romain,0.0,11,0,23,False,9,597,,None,54,0,0,0,193905.jpg,2.1,27,0,0,Gall,1.0,False,None,a,1,993,23,157,0,918,0,0.0,4.3,Gall,0
0,0,0,0,0,0,0,484401,0,0,-1,1,0,0,0,3,0.0,0.0,0,David,0.0,0,0,24,False,0,0,Utlånad till Jammerbugt,2021-07-01T09:51:31.213343Z,44,0,0,0,484401.jpg,0.0,0,0,0,Edvardsson,0.0,False,None,u,1,993,0,2,0,10,0,0.0,0.0,Edvardsson,0
0,0,0,None,None,0,0,512780,0,0,-3,3,0,0,0,3,0.0,0.0,0,Patriot,0.0,0,0,25,False,0,0,,None,42,0,0,0,512780.jpg,0.0,0,0,0,Sejdiu,0.7,False,None,a,1,993,0,525,0,303,0,0.0,0.0,Sejdiu,0
5,15,7,100,100,8,34,228439,0,0,9,-9,17,9,2,3,4.7,0.0,4,Veljko,0.0,21,9,26,False,49,1955,,2021-04-09T11:41:57.566978Z,89,0,0,0,228439.jpg,4.9,106,0,0,Birmancevic,24.3,False,None,a,1,993,136,14302,0,5578,0,0.0,15.3,Birmancevic,2
1,3,2,0,0,0,6,52154,0,0,-2,2,0,0,0,4,0.0,0.0,0,Ola,0.0,8,0,28,False,14,510,Knäskadad. Tillbaka i spel: 1-2 månader,2021-05-21T08:39:46.649014Z,98,0,0,0,52154.jpg,2.2,15,0,0,Toivonen,3.2,False,None,i,1,993,18,771,0,2781,0,0.0,1.8,Toivonen,0
5,7,6,100,100,7,32,173848,0,0,10,-10,4,2,4,4,2.3,0.0,2,Antonio,0.0,27,14,29,False,23,2121,,2021-11-02T09:06:36.990842Z,105,0,1,0,173848.jpg,5.3,51,0,0,Colak,38.5,False,None,a,1,993,139,22067,0,13363,0,0.0,13.2,Colak,3
3,8,3,100,100,6,76,28654,0,0,-2,2,28,12,1,2,3.0,0.0,1,Martin,0.0,18,1,147,False,25,1646,,2021-10-29T15:23:13.829145Z,73,0,0,0,28654.jpg,3.9,105,1,0,Olsson,1.1,False,None,a,1,993,90,1534,0,1340,0,0.0,12.3,Olsson,2
0,0,0,100,100,3,18,531041,0,0,-2,2,0,19,2,1,0.3,0.0,0,Ismael,0.0,26,0,397,False,0,1395,,2021-05-11T18:47:42.543360Z,43,0,0,1,531041.jpg,4.6,152,0,69,Diawara,7.1,False,None,a,1,993,73,3605,0,3385,0,0.0,17.0,Diawara,3
0,0,0,0,0,0,0,535502,0,0,-2,2,0,0,0,3,0.0,0.0,0,Ismael,0.0,0,0,427,False,0,0,Utlånad till Jammerbugt,2021-07-01T09:51:31.231665Z,43,0,0,0,535502.jpg,0.0,0,0,0,Sidibe,0.1,False,None,u,1,993,0,1,0,13,0,0.0,0.0,Sidibe,0
0,0,0,None,None,0,0,534212,0,0,0,0,0,0,0,3,0.0,0.0,0,Markus,0.0,0,0,448,False,0,14,,None,45,0,0,0,534212.jpg,1.0,1,0,0,Björkqvist,0.0,False,None,a,1,993,4,1,0,0,0,0.0,0.9,Björkqvist,0
