first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Johan,Dahlin,0,0,98,1665,14,10,0,1,2.7,64,GK
Mathias,Nilsson,0,0,0,0,0,0,0,0,2.0,39,GK
Marko,Johansson,0,0,29,810,13,0,0,0,2.6,62,GK
Melker,Ellborg,0,0,0,0,0,0,0,0,0.9,39,GK
Anel,Ahmedhodzic,1,0,107,2250,26,8,0,6,10.3,75,DEF
Jonas,Knudsen,1,1,41,1039,16,1,0,2,6.5,69,DEF
Lasse,Nielsen,1,1,78,1482,17,6,0,3,2.1,51,DEF
Eric,Larsson,0,6,106,1628,18,8,0,4,8.2,72,DEF
Franz,Brorsson,0,0,82,1626,16,8,0,1,3.7,53,DEF
Felix,Beijmo,0,2,44,975,11,3,0,1,2.4,57,DEF
Noah,Eile,0,0,3,24,1,0,0,0,0.7,39,DEF
Arnór Ingvi,Traustason,0,0,0,0,0,0,0,0,0.0,80,MID
Bonke,Innocent,0,0,39,1209,15,5,0,6,1.4,45,MID
Jo Inge,Berget,5,5,117,2009,25,6,0,3,3.9,88,MID
Anders,Christiansen,6,10,123,1478,18,1,0,4,18.9,120,MID
Sören,Rieks,6,1,76,1104,12,6,0,3,5.1,80,MID
Oscar,Lewicki,0,0,24,603,3,4,0,1,0.6,49,MID
Erdal,Rakip,2,2,69,1529,17,5,0,6,2.3,57,MID
Adi,Nalic,6,4,103,1565,14,8,0,5,3.4,67,MID
Pavle,Vagic,0,1,15,489,7,0,0,2,0.4,42,MID
Mubaarak Mohamud,Nuh,0,0,0,0,0,0,0,0,0.1,43,MID
Sebastian,Nanasi,1,1,33,582,5,2,0,0,4.0,42,MID
Romain,Gall,0,1,23,597,11,2,0,0,1.0,54,MID
David,Edvardsson,0,0,0,0,0,0,0,0,0.0,44,MID
Patriot,Sejdiu,0,0,0,0,0,0,0,0,0.7,42,MID
Veljko,Birmancevic,9,5,136,1955,21,8,0,2,24.3,89,MID
Ola,Toivonen,0,1,18,510,8,0,0,0,3.2,98,FWD
Antonio,Colak,14,5,139,2121,27,7,0,3,38.5,105,FWD
Martin,Olsson,1,3,90,1646,18,6,1,2,1.1,73,DEF
Ismael,Diawara,0,0,73,1395,26,3,0,3,7.1,43,GK
Ismael,Sidibe,0,0,0,0,0,0,0,0,0.1,43,MID
Markus,Björkqvist,0,0,4,14,0,0,0,0,0.0,45,MID
Abdul Malik,Abubakari,3,1,34,537,6,2,0,4,0.2,69,FWD
Niklas,Moisander,0,0,35,607,3,4,0,1,0.2,61,DEF
Peter,Gwargis,0,0,2,83,1,0,1,0,0.0,71,MID
Sergio,Peña,0,0,30,581,5,4,0,4,0.2,88,MID
Emil,Lindman,0,0,0,0,0,0,0,0,0.0,40,DEF
Davor,Blazevic,0,0,3,90,2,0,0,0,0.1,49,GK
David,Ousted,0,0,107,1906,29,6,0,0,6.7,53,GK
Oliver,Dovin,0,0,37,703,10,2,0,0,1.5,44,GK
Mads,Fenger,1,4,116,2542,40,7,0,5,4.2,55,DEF
Simon,Sandberg,1,2,80,1479,20,7,0,2,1.4,52,DEF
Richard,Magyar,1,0,57,933,10,5,0,3,0.9,47,DEF
Mohanad,Jeahze,1,7,111,2310,36,6,0,5,9.2,63,DEF
Axel,Sjöberg,0,0,2,66,2,0,0,0,1.2,38,DEF
Jon Gudni,Fjoluson,1,0,73,1816,28,4,0,2,3.4,58,DEF
Aziz,Ouattara,2,0,78,1475,21,6,0,7,2.6,43,DEF
Jeppe,Andersen,2,1,75,1844,30,4,0,5,1.3,57,MID
Mayckel,Lahdo,0,1,11,127,2,0,0,1,0.0,45,MID
Abdul-Halik,Hudu,0,0,1,1,0,0,0,0,0.2,43,MID
Abbe,Khalili,4,2,50,837,16,1,0,4,5.6,75,MID
Akinkunmi,Amoo,9,7,137,1839,22,7,0,2,27.6,74,MID
Aimar,Sher,0,0,13,467,5,2,0,5,0.3,48,MID
Vladimir,Rodic,1,1,54,1048,17,3,0,0,0.9,61,MID
Imad,Khalili,0,0,0,0,0,0,0,0,0.4,62,MID
Darijan,Bojanic,1,3,92,1956,32,5,0,5,1.3,86,MID
Paulinho,Guerreiro,1,0,19,301,2,2,0,2,0.2,78,MID
Astrit,Selmani,9,7,118,1950,31,6,0,6,13.6,103,FWD
Filston,Mawana,0,0,0,0,0,0,0,0,0.2,42,FWD
Gustav,Ludwigson,11,5,147,2501,38,8,0,1,27.5,95,MID
David,Accam,1,2,26,452,5,1,0,2,0.3,82,MID
Loue,Bayere Junior,0,0,5,72,1,0,0,0,0.3,41,FWD
Ian,Pettersson,0,0,0,0,0,0,0,0,0.3,40,GK
Williot,Swedberg,2,2,41,747,14,2,0,2,1.4,45,MID
Bjørn,Paulsen,2,2,87,1630,24,6,0,2,2.0,61,DEF
Jusef,Erabi,0,0,2,23,0,0,0,0,0.0,44,FWD
Aljosa,Matko,2,1,28,451,12,0,0,2,0.0,60,MID
Ben,Engdahl,0,0,1,8,1,0,0,0,0.0,40,DEF
Josafat,Mendes,0,0,0,0,0,0,0,0,0.0,40,DEF
Dennis,Widgren,0,3,75,1409,27,5,0,2,0.5,52,DEF
