assists,bonus,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,id,in_dreamteam,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,7,100,100,13,206917,0,0,2,-2,0,1,4.7,0.0,6,Nikita,0.0,23,0,1,True,2610,,2021-07-03T12:44:52.998890Z,57,0,0,0,206917.jpg,4.2,0,76,Khaykin,8.6,False,None,a,1,2744,123,4069,0,2807,0,0.0,21.6,Khaykin,1
0,0,None,None,0,101364,0,0,-2,2,0,1,0.0,0.0,0,Joshua,0.0,2,0,2,False,90,,None,48,0,0,0,101364.jpg,1.0,0,0,Smits,1.1,False,None,a,1,2744,1,7,0,297,0,0.0,0.2,Smits,0
0,0,None,None,0,498408,0,0,-1,1,0,1,0.0,0.0,0,Marcus,0.0,0,0,3,False,0,,None,39,0,0,0,498408.jpg,0.0,0,0,Andersen,2.7,False,None,a,1,2744,0,1535,0,1208,0,0.0,0.0,Andersen,0
8,13,50,50,11,217242,0,0,6,-6,2,2,2.1,0.0,7,Fredrik Andre,0.0,20,2,4,True,2292,Fotskade,2021-12-05T14:37:54.311950Z,66,0,0,0,217242.jpg,5.0,0,0,Bjørkan,40.3,False,None,d,1,2744,139,15469,0,20858,0,0.0,21.1,Bjørkan,1
3,1,100,100,13,228653,0,0,6,-6,1,2,4.3,0.0,6,Alfons,0.0,23,0,5,False,2546,,2021-05-18T17:56:15.882269Z,61,0,0,0,228653.jpg,3.8,0,0,Sampsted,20.2,False,None,a,1,2744,111,10536,0,7378,0,0.0,18.2,Sampsted,1
1,0,100,100,5,179279,0,0,-2,2,0,2,1.3,0.0,6,Morten,0.0,7,0,6,False,974,,2021-08-19T18:54:48.895158Z,53,0,0,0,179279.jpg,2.6,0,0,Ågnes Konradsen,1.7,False,None,a,1,2744,49,1053,0,676,0,0.0,9.2,Konradsen,1
0,4,100,100,9,445893,0,0,0,0,1,2,5.0,0.0,8,Marius,0.0,13,0,7,False,1655,,2021-06-27T16:36:08.277432Z,50,0,0,0,445893.jpg,3.4,0,0,Lode,4.1,False,None,a,1,2744,72,1027,0,1931,0,0.0,14.4,Lode,3
2,5,100,100,9,156560,0,0,2,-2,3,2,6.3,0.0,6,Brede,0.0,18,2,8,False,1964,,2021-10-15T09:25:06.023684Z,52,0,0,0,156560.jpg,4.0,0,0,Moe,6.4,False,None,a,1,2744,96,4643,0,2660,0,0.0,18.5,Moe,2
0,0,None,None,6,100099,0,0,-3,3,1,2,0.3,0.0,0,Marius,0.0,15,1,9,False,1392,,None,47,0,0,0,100099.jpg,2.7,0,0,Høibråten,5.9,False,None,a,1,2744,61,1925,0,4204,0,0.0,13.0,Høibråten,1
0,0,None,None,0,227690,0,0,-3,3,0,2,0.0,0.0,0,Vegard,0.0,1,0,10,False,50,,None,47,0,0,0,227690.jpg,0.5,0,0,Kongsro,0.2,False,None,a,1,2744,1,2,0,70,0,0.0,0.2,Kongsro,1
0,0,100,100,2,487482,0,0,-3,3,1,2,0.3,0.0,0,Sigurd,0.0,3,0,11,False,422,,2021-05-09T09:22:32.731665Z,42,0,0,0,487482.jpg,2.3,0,0,Kvile,0.3,False,None,a,1,2744,23,165,0,202,0,0.0,5.5,Kvile,0
7,19,100,100,8,179278,0,0,0,0,5,3,4.7,0.0,3,Ulrik,0.0,19,8,12,False,1980,,2021-10-01T08:35:27.421404Z,105,0,0,0,179278.jpg,5.7,0,0,Saltnes,23.5,False,None,a,1,2744,130,20482,0,25609,0,0.0,12.4,Saltnes,2
6,16,100,100,14,443574,0,0,5,-5,3,3,2.7,0.0,3,Ola,0.0,15,6,13,False,2223,,2021-08-19T18:54:48.912351Z,105,0,0,0,443574.jpg,4.8,0,0,Solbakken,16.8,False,None,a,1,2744,126,13063,0,4157,0,0.0,12.0,Solbakken,2
4,7,0,0,5,245730,0,0,-2,2,2,3,0.0,0.0,0,Sondre,0.0,7,3,14,False,825,Korsbåndskade - Ute resten av sesongen,2021-06-27T17:07:53.013685Z,93,0,0,0,245730.jpg,5.4,0,0,Sørli,3.5,False,None,i,1,2744,59,9367,0,12494,0,0.0,6.3,Sørli,1
0,0,0,0,0,530511,0,0,-3,3,0,3,0.0,0.0,0,Axel,0.0,3,1,15,False,148,Utlånt til Degerfors,2021-08-11T18:09:07.124855Z,72,0,0,0,530511.jpg,1.3,0,0,Lindahl,0.2,False,None,u,1,2744,13,31,0,101,0,0.0,1.8,Lindahl,2
8,9,100,100,6,420890,0,0,-2,2,3,3,6.0,0.0,6,Hugo,0.0,15,5,16,False,1158,,2021-11-26T07:16:44.503075Z,73,0,0,0,420890.jpg,3.6,0,0,Vetlesen,4.9,False,None,a,1,2744,98,2105,0,1992,0,0.0,13.4,Vetlesen,2
5,1,100,100,8,194769,0,0,-2,2,0,3,3.0,0.0,1,Sondre,0.0,17,3,17,False,1837,,2021-10-15T13:56:49.380555Z,73,0,0,0,194769.jpg,3.1,0,0,Brunstad Fet,3.1,False,None,a,1,2744,80,4335,0,4086,0,0.0,11.0,Brunstad Fet,2
0,0,0,0,0,497956,0,0,-1,1,0,3,0.0,0.0,0,Sebastian,0.0,1,0,18,False,66,Utlånt til Groningen,2021-08-31T19:12:16.703674Z,69,0,0,0,497956.jpg,1.0,0,0,Tounekti,2.9,False,None,u,1,2744,5,9,0,844,0,0.0,0.7,Tounekti,0
0,0,100,100,0,230633,0,0,0,0,0,3,0.0,0.0,0,Vegard,0.0,0,0,19,False,0,,2021-05-02T13:34:25.780796Z,65,0,0,0,230633.jpg,0.0,0,0,Leikvoll Moberg,0.1,False,None,a,1,2744,0,6,0,39,0,0.0,0.0,Moberg,0
0,0,0,0,0,445907,0,0,0,0,0,3,0.0,0.0,0,Runar,0.0,0,0,20,False,0,Utlånt til Stjørdals-Blink,2021-04-13T18:00:04.956042Z,60,0,0,0,445907.jpg,0.0,0,0,Hauge,0.0,False,None,u,1,2744,0,0,0,5,0,0.0,0.0,Hauge,0
5,18,100,100,10,184379,0,0,-1,1,2,3,3.0,0.0,6,Patrick,0.0,22,3,21,False,2274,,2021-10-24T15:25:53.696419Z,59,0,1,0,184379.jpg,3.9,0,0,Berg,29.7,False,None,a,1,2744,102,10879,0,20556,0,0.0,17.3,Berg,5
0,0,0,0,0,507964,0,0,-3,3,0,3,0.0,0.0,0,Kent Malic,0.0,0,0,22,False,0,Kontrakt terminert,2021-11-22T14:19:36.300735Z,47,0,0,0,507964.jpg,0.0,0,0,Swaleh,0.1,False,None,u,1,2744,0,2,0,25,0,0.0,0.0,Swaleh,0
0,0,None,None,3,486793,0,0,-2,2,0,3,0.7,0.0,0,Elias,0.0,9,0,23,False,699,,None,48,0,0,0,486793.jpg,1.4,0,0,Hagen,0.4,False,None,a,1,2744,24,111,0,134,0,0.0,5.0,Hagen,2
0,0,0,0,0,484624,0,0,-2,2,0,3,0.0,0.0,0,Adan Abadala,0.0,0,0,24,False,0,Utlånt til Florø,2021-11-22T14:16:40.585119Z,43,0,0,0,484624.jpg,0.0,0,0,Hussein,0.4,False,None,u,1,2744,0,102,0,173,0,0.0,0.0,Hussein,0
0,0,0,0,0,468529,0,0,0,0,0,3,0.0,0.0,0,Ask,0.0,0,0,25,False,0,Utlånt til Start,2021-04-17T11:30:18.443620Z,45,0,0,0,468529.jpg,0.0,0,0,Tjærandsen-Skau,0.0,False,None,u,1,2744,0,0,0,0,0,0.0,0.0,Tjærandsen-Skau,0
4,20,100,100,14,223095,0,0,6,-6,4,4,5.0,0.0,10,Erik,0.0,21,15,26,False,2632,,2021-11-14T17:25:35.063992Z,106,0,0,0,223095.jpg,5.0,0,0,Botheim,34.7,False,None,a,1,2744,150,27374,0,19360,0,0.0,14.2,Botheim,2
0,0,50,50,0,478250,0,0,-2,2,0,4,0.0,0.0,0,José Vitor,0.0,3,0,27,False,120,Smell,2021-12-09T20:05:55.901034Z,83,0,0,0,478250.jpg,1.0,0,0,Rodrigues da Silva dos Santos,0.1,False,None,d,1,2744,8,99,0,115,0,0.0,1.0,Pernambuco,0
0,0,100,100,1,37415,0,0,-2,2,1,1,0.0,0.0,0,Hakon,0.0,27,0,28,False,1080,,2021-06-13T16:11:43.513091Z,48,0,0,0,37415.jpg,1.9,0,29,Opdal,2.8,False,None,a,2,303,23,253,0,1229,0,0.0,4.8,Opdal,0
0,0,100,100,0,224198,0,0,0,0,0,1,0.0,0.0,0,Markus,0.0,0,0,29,False,0,,2021-06-24T15:20:46.937652Z,45,0,0,0,224198.jpg,0.0,0,0,Pettersen,0.1,False,None,a,2,303,0,8,0,33,0,0.0,0.0,Pettersen,0
0,1,0,0,1,102052,0,0,-1,1,1,1,0.0,0.0,0,Eirik,0.0,8,0,30,False,450,Ankelskade,2021-11-06T10:17:13.210001Z,44,0,0,0,102052.jpg,3.4,0,15,Holmen Johansen,1.1,False,None,i,2,303,17,386,0,508,0,0.0,3.9,Holmen Johansen,0
1,1,100,100,1,116099,0,0,-3,3,0,2,1.0,0.0,1,Thomas,0.0,17,0,31,False,996,,2021-06-24T10:44:21.387311Z,47,0,0,0,116099.jpg,1.6,0,0,Grøgaard,0.9,False,None,a,13,2364,34,186,0,637,0,0.0,7.2,Grøgaard,1
0,0,100,100,1,515033,0,0,-3,3,0,2,0.0,0.0,0,Ole Didrik,0.0,19,0,32,False,984,,2021-05-15T16:46:51.619225Z,47,1,0,0,515033.jpg,1.3,0,0,Blomberg,0.8,False,None,a,2,303,20,42,0,463,0,0.0,4.3,Blomberg,1
0,0,0,0,2,61855,0,0,-2,2,0,2,0.0,0.0,0,Vegard,0.0,20,0,33,False,821,Kontrakt terminert,2021-08-01T12:15:24.257517Z,48,0,0,0,61855.jpg,1.6,0,0,Forren,2.4,False,None,u,2,303,18,126,0,1450,0,0.0,3.8,Forren,2
0,0,0,0,0,109022,0,0,-2,2,0,2,0.0,0.0,0,Jon-Helge,0.0,7,1,34,False,237,Solgt til Start,2021-07-31T14:15:56.232072Z,48,0,0,0,109022.jpg,1.9,0,0,Tveita,0.3,False,None,u,2,303,13,22,0,155,0,0.0,2.7,Tveita,0
0,0,100,100,2,450034,0,0,-2,2,0,2,1.3,0.0,2,Ole Martin,0.0,32,0,35,False,1765,,2021-12-08T19:47:05.711875Z,48,0,0,0,450034.jpg,1.7,0,0,Kolskogen,0.8,False,None,a,2,303,40,199,0,301,0,0.0,8.3,Kolskogen,1
1,3,100,100,0,497949,0,0,-1,1,1,2,1.3,0.0,14,David,0.0,22,1,36,False,791,,2021-06-11T09:38:38.945340Z,49,0,0,0,497949.jpg,1.6,0,0,Wolfe,0.3,False,None,a,2,303,32,79,0,97,0,0.0,6.5,Wolfe,0
