first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Nikita,Khaykin,0,0,123,2610,23,13,0,1,8.6,57,GK
Joshua,Smits,0,0,1,90,2,0,0,0,1.1,48,GK
Marcus,Andersen,0,0,0,0,0,0,0,0,2.7,39,GK
Fredrik Andre,Bjørkan,2,8,139,2292,20,11,0,1,40.3,66,DEF
Alfons,Sampsted,0,3,111,2546,23,13,0,1,20.2,61,DEF
Morten,Ågnes Konradsen,0,1,49,974,7,5,0,1,1.7,53,DEF
Marius,Lode,0,0,72,1655,13,9,0,3,4.1,50,DEF
Brede,Moe,2,2,96,1964,18,9,0,2,6.4,52,DEF
Marius,Høibråten,1,0,61,1392,15,6,0,1,5.9,47,DEF
Vegard,Kongsro,0,0,1,50,1,0,0,1,0.2,47,DEF
Sigurd,Kvile,0,0,23,422,3,2,0,0,0.3,42,DEF
Ulrik,Saltnes,8,7,130,1980,19,8,0,2,23.5,105,MID
Ola,Solbakken,6,6,126,2223,15,14,0,2,16.8,105,MID
Sondre,Sørli,3,4,59,825,7,5,0,1,3.5,93,MID
Axel,Lindahl,1,0,13,148,3,0,0,2,0.2,72,MID
Hugo,Vetlesen,5,8,98,1158,15,6,0,2,4.9,73,MID
Sondre,Brunstad Fet,3,5,80,1837,17,8,0,2,3.1,73,MID
Sebastian,Tounekti,0,0,5,66,1,0,0,0,2.9,69,MID
Vegard,Leikvoll Moberg,0,0,0,0,0,0,0,0,0.1,65,MID
Runar,Hauge,0,0,0,0,0,0,0,0,0.0,60,MID
Patrick,Berg,3,5,102,2274,22,10,0,5,29.7,59,MID
Kent Malic,Swaleh,0,0,0,0,0,0,0,0,0.1,47,MID
Elias,Hagen,0,0,24,699,9,3,0,2,0.4,48,MID
Adan Abadala,Hussein,0,0,0,0,0,0,0,0,0.4,43,MID
Ask,Tjærandsen-Skau,0,0,0,0,0,0,0,0,0.0,45,MID
Erik,Botheim,15,4,150,2632,21,14,0,2,34.7,106,FWD
José Vitor,Rodrigues da Silva dos Santos,0,0,8,120,3,0,0,0,0.1,83,FWD
Hakon,Opdal,0,0,23,1080,27,1,0,0,2.8,48,GK
Markus,Pettersen,0,0,0,0,0,0,0,0,0.1,45,GK
Eirik,Holmen Johansen,0,0,17,450,8,1,0,0,1.1,44,GK
Thomas,Grøgaard,0,1,34,996,17,1,0,1,0.9,47,DEF
Ole Didrik,Blomberg,0,0,20,984,19,1,0,1,0.8,47,DEF
Vegard,Forren,0,0,18,821,20,2,0,2,2.4,48,DEF
Jon-Helge,Tveita,1,0,13,237,7,0,0,0,0.3,48,DEF
Ole Martin,Kolskogen,0,0,40,1765,32,2,0,1,0.8,48,DEF
David,Wolfe,1,1,32,791,22,0,0,0,0.3,49,DEF
Ruben,Kristiansen,1,2,64,2162,46,2,0,2,4.2,45,DEF
Filip Møller,Delaveris,0,0,18,430,11,2,0,0,0.4,73,MID
Robert,Taylor,6,9,122,2239,46,1,0,0,6.7,74,MID
Petter,Strand,1,4,74,2304,45,3,0,2,5.1,68,MID
Moonga,Simba,1,1,32,818,14,0,0,1,0.3,70,MID
Mathias,Rasmussen,2,5,79,1934,38,3,0,3,0.5,60,MID
Kristoffer,Barmen,0,0,21,886,21,1,0,1,1.1,52,MID
Kasper,Skaanes,1,2,44,1225,22,2,0,2,0.5,55,MID
Mikal,Berg Kvinge,0,0,0,0,0,0,0,0,0.1,47,MID
Daniel A.,Pedersen,1,0,29,935,17,0,0,0,0.1,50,MID
Daouda,Bamba,6,1,53,1116,25,2,0,2,9.2,88,FWD
Aune Selland,Heggebø,8,3,95,1661,31,2,0,1,6.9,61,FWD
Helge,Sandvik,0,0,0,0,0,0,0,0,1.9,48,GK
Egil,Selvik,0,0,122,2610,44,9,0,0,10.1,54,GK
Frank,Stople,0,0,2,90,1,0,0,0,13.7,40,GK
Alexander,Stølås,2,1,47,1138,25,2,0,2,1.2,61,DEF
Mikkel,Desler,1,0,53,900,7,6,0,0,1.4,62,DEF
Benjamin,Tiedemann Hansen,2,0,94,2610,44,9,0,2,4.4,56,DEF
Ulrik,Fredriksen,0,0,57,2340,42,6,0,3,0.9,49,DEF
Fredrik,Pallesen Knudsen,1,1,33,1288,24,2,1,5,1.2,49,DEF
Thore Baardsen,Pedersen,0,5,75,2202,39,7,0,5,0.7,50,DEF
Kristoffer,Velde,7,10,135,2391,40,7,0,4,12.4,86,MID
Niklas,Sandberg,3,8,105,2200,37,7,0,1,1.9,74,MID
Alioune,Ndour,7,1,81,1000,13,6,1,1,2.9,69,MID
Peter,Therkildsen,2,3,88,2559,44,9,0,3,0.2,60,MID
Kevin Martin,Krygård,1,2,76,2510,41,9,0,5,0.4,49,MID
Bruno,Leite,0,2,20,410,3,2,0,1,0.4,49,MID
Kristoffer,Gunnarshaug,0,0,4,32,1,0,0,0,0.1,44,MID
Mads,Berg Sande,1,0,29,368,7,0,0,1,0.2,44,MID
Ibrahima,Wadji,8,0,62,898,18,3,0,1,3.8,80,FWD
Sondre,Liseth,5,5,100,2294,38,9,0,5,3.2,70,FWD
Andreas,Endresen,0,0,1,8,0,0,0,0,1.4,43,FWD
Sean,McDermott,0,0,122,2663,45,9,0,1,26.2,58,GK
Serigne,Mor Mbaye,0,0,0,0,0,0,0,0,0.2,45,GK
Christoffer,Aasbak,1,3,71,1327,17,7,0,1,1.1,54,DEF
Dan Peter,Ulvestad,1,0,58,1685,29,5,0,3,4.5,48,DEF
Snorre,Nilsen,6,2,119,2388,37,8,0,4,16.9,60,DEF
Bent,Sørmo,0,0,5,388,8,0,0,1,2.1,48,DEF
Ivar,Furu,0,0,2,92,3,0,0,0,0.3,42,DEF
