,element_type,now_cost,total_points,id
1,1,47,2,1
2,1,54,134,2
3,2,61,121,3
4,2,48,1,4
5,2,48,45,5
6,2,65,119,6
7,2,47,45,7
8,2,46,1,8
9,2,48,2,9
10,2,59,115,10
11,2,43,83,11
12,3,117,264,12
13,3,72,122,13
14,3,95,167,14
15,3,70,38,15
16,3,76,56,16
17,3,58,61,17
18,3,58,83,18
19,3,50,0,19
20,3,42,52,20
21,3,53,89,21
22,3,45,26,22
23,3,59,0,23
24,3,52,85,24
25,4,81,116,25
26,4,73,37,26
27,4,46,0,27
28,4,49,0,28
29,1,45,120,29
30,1,44,8,30
31,2,45,89,31
32,2,48,112,32
33,2,52,134,33
34,2,46,104,34
35,2,45,4,35
36,2,39,55,36
37,3,50,84,37
38,3,46,64,38
39,3,46,44,39
40,3,44,0,40
41,3,45,0,41
42,3,46,107,42
43,3,47,49,43
44,3,50,8,44
45,3,44,0,45
46,3,49,36,46
47,3,42,17,47
48,3,62,178,48
49,4,60,63,49
50,4,45,0,50
51,4,43,6,51
52,4,53,88,52
53,4,51,14,53
54,1,51,149,54
55,2,45,90,55
56,2,44,94,56
57,2,45,91,57
58,2,50,113,58
59,2,40,23,59
60,2,42,0,60
61,3,50,1,61
62,3,51,92,62
63,3,52,69,63
64,3,43,51,64
65,3,44,0,65
66,3,42,6,66
67,4,57,121,67
68,4,60,108,68
69,4,43,2,69
70,4,46,81,70
71,4,45,0,71
72,4,45,0,72
73,1,59,141,73
74,1,46,2,74
75,2,52,21,75
76,2,56,23,76
77,2,64,170,77
78,2,67,178,78
79,2,53,15,79
80,2,55,0,80
81,2,44,0,81
82,3,105,224,82
83,3,70,121,83
84,3,71,17,84
85,3,69,0,85
86,3,70,114,86
87,3,48,105,87
88,3,50,6,88
89,3,44,0,89
90,3,68,162,90
91,3,54,0,91
92,3,55,105,92
93,3,49,0,93
94,3,51,3,94
95,3,47,83,95
96,4,84,48,96
97,4,104,196,97
98,4,62,6,98
99,1,43,0,99
100,1,43,92,100
101,1,43,0,101
102,1,42,19,102
103,2,48,75,103
104,2,51,61,104
105,2,48,86,105
106,2,42,46,106
107,2,48,51,107
108,2,41,6,108
109,3,56,45,109
110,3,51,92,110
111,3,58,149,111
112,3,45,2,112
113,3,43,40,113
114,3,47,93,114
115,3,42,4,115
116,3,45,0,116
117,3,42,24,117
118,3,56,91,118
119,3,53,7,119
120,3,57,116,120
121,4,44,16,121
122,4,55,18,122
123,1,47,89,123
124,1,47,68,124
125,2,58,135,125
126,2,56,133,126
127,2,49,104,127
128,2,46,59,128
129,2,40,9,129
130,2,39,0,130
131,2,39,9,131
132,2,45,69,132
133,3,59,119,133
134,3,70,144,134
135,3,51,55,135
136,3,47,23,136
137,3,43,68,137
138,3,43,17,138
139,3,43,0,139
140,3,42,29,140
141,3,59,13,141
142,3,55,22,142
143,4,101,221,143
144,4,51,6,144
145,4,55,44,145
146,1,44,0,146
147,1,41,86,147
148,2,39,0,148
149,2,49,38,149
150,2,42,46,150
151,2,44,0,151
152,2,44,73,152
153,2,44,71,153
154,2,40,0,154
155,3,55,133,155
156,3,47,87,156
157,3,47,77,157
158,3,46,62,158
159,3,55,0,159
160,3,45,62,160
161,3,44,33,161
162,3,43,24,162
163,4,59,72,163
164,4,43,42,164
165,1,49,109,165
166,1,44,17,166
167,2,46,63,167
168,2,53,104,168
169,2,47,47,169
170,2,39,1,170
171,2,44,0,171
172,2,49,85,172
173,2,49,88,173
174,2,40,27,174
175,2,42,3,175
176,3,89,120,176
177,3,50,95,177
178,3,47,41,178
179,3,53,69,179
180,3,44,0,180
181,3,48,58,181
182,3,43,53,182
183,3,44,6,183
184,4,99,161,184
185,4,55,24,185
186,4,56,63,186
187,4,69,39,187
188,1,48,110,188
189,1,43,32,189
190,2,47,35,190
191,2,49,106,191
192,2,44,15,192
193,2,59,129,193
194,2,43,9,194
195,2,48,0,195
196,2,39,0,196
197,2,39,4,197
198,2,42,4,198
199,2,54,97,199
200,3,44,47,200
201,3,62,73,201
202,3,49,118,202
203,3,87,171,203
204,3,48,104,204
205,3,67,139,205
206,3,52,37,206
207,3,47,0,207
208,3,63,139,208
209,3,85,180,209
210,3,42,0,210
211,3,42,0,211
212,3,93,156,212
213,4,72,136,213
214,4,97,54,214
215,4,63,0,215
216,4,54,0,216
217,4,60,96,217
218,1,53,0,218
219,1,48,64,219
220,2,58,95,220
221,2,47,45,221
222,2,60,57,222
223,2,52,87,223
224,2,53,55,224
225,2,54,0,225
226,2,59,100,226
227,3,47,13,227
228,3,75,149,228
229,3,64,1,229
230,3,86,130,230
231,3,72,86,231
232,3,61,48,232
233,3,53,78,233
234,3,47,18,234
235,3,105,199,235
236,3,49,41,236
237,3,84,54,237
238,3,53,0,238
239,4,127,175,239
240,4,69,29,240
241,4,60,52,241
242,1,55,136,242
243,1,47,23,243
244,2,58,52,244
245,2,45,55,245
246,2,45,0,246
247,2,52,45,247
248,2,52,77,248
249,2,42,12,249
250,2,58,120,250
251,2,50,70,251
252,2,44,0,252
253,2,41,9,253
254,2,52,98,254
255,2,55,105,255
256,3,72,102,256
257,3,58,48,257
258,3,71,3,258
259,3,42,42,259
260,3,50,26,260
261,3,53,49,261
262,3,62,97,262
263,3,44,0,263
264,3,45,37,264
265,3,51,0,265
266,3,56,60,266
267,3,92,95,267
268,3,87,73,268
269,4,86,76,269
270,4,50,0,270
271,4,64,76,271
272,4,114,163,272
273,1,41,0,273
274,1,45,102,274
275,2,47,31,275
276,2,42,59,276
277,2,40,0,277
278,2,49,121,278
279,2,41,10,279
280,2,42,35,280
281,3,54,3,281
282,3,48,77,282
283,3,43,70,283
284,3,43,28,284
285,3,44,0,285
286,3,45,77,286
287,3,42,0,287
288,3,43,0,288
289,3,49,25,289
290,3,43,91,290
291,4,46,4,291
292,4,54,8,292
293,4,46,54,293
294,1,50,134,294
295,1,45,0,295
296,2,56,123,296
297,2,53,98,297
298,2,45,78,298
299,2,41,12,299
300,2,40,0,300
301,2,49,102,301
302,2,43,31,302
303,2,56,75,303
304,3,59,126,304
305,3,51,77,305
306,3,50,92,306
307,3,43,3,307
308,3,69,108,308
309,3,46,38,309
310,3,44,80,310
311,3,59,73,311
312,3,42,38,312
313,4,61,57,313
314,4,63,62,314
315,1,42,13,315
316,1,45,20,316
317,1,43,0,317
318,2,49,94,318
319,2,38,0,319
320,2,42,58,320
321,2,46,103,321
322,2,40,34,322
323,2,42,27,323
324,2,45,1,324
325,2,47,56,325
326,2,40,0,326
327,3,44,0,327
328,3,46,59,328
329,3,42,62,329
330,3,53,72,330
331,3,71,117,331
332,3,54,15,332
333,3,60,80,333
334,3,45,24,334
335,3,55,30,335
336,4,44,79,336
337,4,57,51,337
338,4,53,0,338
339,1,40,34,339
340,1,42,102,340
341,2,43,57,341
342,2,44,47,342
343,2,44,56,343
344,2,49,98,344
345,2,40,0,345
346,2,42,69,346
347,3,42,12,347
348,3,42,12,348
349,3,47,40,349
350,3,43,38,350
351,3,59,2,351
352,3,60,31,352
353,3,47,43,353
354,4,51,49,354
355,4,74,166,355
356,1,48,116,356
357,1,39,3,357
358,2,44,82,358
359,2,52,127,359
360,2,41,22,360
361,2,41,26,361
362,2,38,21,362
363,2,42,63,363
364,2,44,0,364
365,2,39,29,365
366,2,43,16,366
367,3,46,50,367
368,3,74,181,368
369,3,45,74,369
370,3,44,32,370
371,3,44,19,371
372,3,50,41,372
373,3,50,18,373
374,3,71,89,374
375,3,48,95,375
376,3,47,12,376
377,4,65,0,377
378,4,44,0,378
379,4,50,34,379
380,1,55,143,380
381,1,48,17,381
382,2,64,120,382
383,2,58,84,383
384,2,62,142,384
385,2,58,126,385
386,2,50,90,386
387,2,47,51,387
388,2,45,2,388
389,2,44,0,389
390,3,50,93,390
391,3,54,76,391
392,3,58,110,392
393,3,66,28,393
394,3,89,218,394
395,3,45,0,395
396,3,46,26,396
397,3,41,52,397
398,3,91,225,398
399,3,42,5,399
400,3,48,103,400
401,3,45,0,401
402,3,72,174,402
403,4,119,224,403
404,4,59,0,404
405,4,75,55,405
406,1,42,2,406
407,1,49,113,407
408,2,43,31,408
409,2,43,67,409
410,2,40,0,410
411,2,46,87,411
412,2,44,74,412
413,2,42,71,413
414,2,48,35,414
415,3,42,26,415
416,3,45,131,416
417,3,50,0,417
418,3,42,1,418
419,3,45,1,419
420,3,45,48,420
421,3,50,0,421
422,3,50,65,422
423,3,45,0,423
424,3,57,28,424
425,4,66,130,425
426,4,68,39,426
427,4,45,0,427
428,4,48,6,428
429,1,41,0,429
430,1,47,113,430
431,2,44,79,431
432,2,42,8,432
433,2,49,102,433
434,2,40,0,434
435,2,40,0,435
436,2,50,131,436
437,2,45,0,437
438,2,48,99,438
439,3,44,103,439
440,3,51,14,440
441,3,43,84,441
442,3,43,54,442
443,3,43,0,443
444,3,48,52,444
445,3,41,12,445
446,3,53,115,446
447,4,54,1,447
448,4,60,26,448
449,4,63,118,449
450,1,46,64,450
451,1,44,69,451
452,2,42,69,452
453,2,49,102,453
454,2,51,60,454
455,2,42,0,455
456,2,47,45,456
457,2,42,29,457
458,3,62,71,458
459,3,50,79,459
460,3,43,55,460
461,3,90,81,461
462,3,59,133,462
463,3,43,0,463
464,3,67,132,464
465,3,47,31,465
466,3,50,55,466
467,3,53,10,467
468,4,59,69,468
469,4,52,54,469
470,4,57,12,470
471,1,39,0,471
472,1,40,5,472
473,3,48,47,473
474,2,44,43,474
475,3,43,4,475
476,2,47,56,476
477,2,43,71,477
478,4,61,130,478
479,2,41,38,479
480,2,40,0,480
481,2,44,0,481
482,3,46,38,482
483,4,45,1,483
484,2,41,32,484
485,3,75,149,485
486,3,48,36,486
487,2,45,3,487
488,3,50,80,488
489,3,77,105,489
490,1,42,36,490
491,3,52,59,491
492,2,47,5,492
493,4,51,0,493
494,3,45,1,494
495,2,41,54,495
496,2,43,19,496
497,3,50,0,497
498,2,43,0,498
499,2,42,24,499
500,4,63,146,500
501,2,43,0,501
502,2,40,0,502
503,3,82,115,503
504,2,42,60,504
505,2,47,34,505
506,2,38,21,506
507,4,66,32,507
508,4,45,0,508
509,4,45,0,509
510,2,40,0,510
511,3,43,9,511
512,3,44,63,512
513,3,45,30,513
514,3,43,0,514
515,2,40,0,515
516,4,45,8,516
517,1,40,0,517
518,4,44,0,518
519,2,40,9,519
520,3,41,12,520
521,3,44,1,521
522,2,40,0,522
523,3,43,8,523
524,1,40,0,524
525,3,56,54,525
526,4,66,23,526
527,2,42,58,527
528,2,45,0,528
529,1,39,0,529
530,3,45,12,530
531,3,43,3,531
532,2,40,0,532
533,3,48,15,533
534,2,40,0,534
535,4,50,16,535
536,3,46,100,536
537,2,40,0,537
538,2,43,38,538
539,3,58,43,539
540,2,45,50,540
541,1,50,73,541
542,3,47,38,542
543,3,45,0,543
544,4,45,5,544
545,4,45,0,545
546,4,45,5,546
547,1,40,0,547
548,1,40,0,548
549,4,78,20,549
550,4,60,10,550
551,3,67,40,551
552,4,51,43,552
553,4,49,21,553
554,1,44,32,554
555,2,58,90,555
556,2,40,15,556
557,4,44,8,557
558,2,46,94,558
559,3,48,67,559
560,3,53,76,560
561,2,69,177,561
562,2,49,106,562
563,3,48,52,563
564,1,49,0,564
565,3,68,8,565
566,3,43,0,566
567,4,82,83,567
568,2,45,0,568
569,4,54,27,569
570,2,62,132,570
571,4,50,52,571
572,3,66,43,572
573,3,49,20,573
574,1,43,106,574
575,4,43,48,575
576,3,42,12,576
577,1,44,0,577
578,3,50,4,578
579,4,43,1,579
580,2,45,9,580
581,3,44,0,581
582,3,44,2,582
583,1,43,0,583
584,3,44,0,584
585,2,40,0,585
586,3,45,0,586
587,3,45,7,587
588,3,45,0,588
589,3,44,0,589
590,4,50,0,590
591,1,40,0,591
592,3,42,23,592
593,3,45,1,593
594,2,40,3,594
595,4,45,17,595
596,1,40,0,596
597,1,40,0,597
598,3,45,0,598
599,3,45,0,599
600,1,40,3,600
601,1,40,0,601
602,3,45,1,602
603,3,43,5,603
604,3,41,12,604
605,2,40,0,605
606,3,45,0,606
607,2,45,0,607
608,2,40,0,608
609,3,45,0,609
610,3,45,0,610
611,3,45,0,611
612,3,45,0,612
613,4,45,0,613
614,3,45,0,614
615,3,45,0,615
616,2,40,1,616
617,3,44,0,617
618,3,45,1,618
619,2,40,0,619
620,4,45,1,620
621,2,39,1,621
622,3,45,0,622
623,1,40,0,623
624,2,40,0,624
625,4,91,67,625
626,3,41,37,626
627,3,50,16,627
628,3,46,59,628
629,4,45,21,629
630,3,49,18,630
631,2,40,0,631
632,3,51,25,632
633,2,41,52,633
634,2,44,13,634
635,2,39,1,635
636,4,52,8,636
637,4,58,49,637
638,2,45,55,638
639,1,40,0,639
640,3,55,39,640
641,3,45,13,641
642,4,50,39,642
643,4,64,38,643
644,3,41,34,644
645,2,44,0,645
646,3,50,42,646
647,3,55,43,647
648,2,40,0,648
649,2,40,1,649
650,1,40,0,650
651,4,45,3,651
652,2,50,2,652
653,3,45,0,653
654,2,40,0,654
655,3,45,0,655
656,2,40,14,656
