total_points,now_cost,indexes
58,151,"[400, 200, 231, 254]"
61,152,"[258, 200, 231, 254]"
87,153,"[400, 200, 254, 60]"
99,154,"[200, 231, 254, 60]"
117,155,"[400, 200, 254, 204]"
135,156,"[400, 200, 254, 326]"
147,157,"[200, 231, 254, 326]"
164,158,"[400, 254, 60, 326]"
176,159,"[200, 254, 60, 326]"
194,160,"[400, 254, 204, 326]"
206,161,"[200, 254, 204, 326]"
213,162,"[200, 254, 40, 326]"
235,163,"[254, 60, 204, 326]"
242,164,"[400, 254, 326, 334]"
256,165,"[254, 203, 204, 326]"
272,166,"[254, 204, 40, 326]"
283,167,"[254, 60, 326, 334]"
287,168,"[254, 40, 326, 422]"
313,169,"[254, 204, 326, 334]"
320,170,"[254, 40, 326, 334]"
328,171,"[254, 326, 422, 334]"
331,172,"[254, 326, 422, 328]"
346,173,"[254, 204, 334, 328]"
364,174,"[254, 326, 334, 328]"
365,175,"[204, 326, 422, 334]"
372,176,"[40, 326, 422, 334]"
375,177,"[40, 326, 422, 328]"
401,178,"[204, 326, 334, 328]"
408,179,"[40, 326, 334, 328]"
416,180,"[326, 422, 334, 328]"
418,182,"[326, 422, 328, 379]"
433,183,"[204, 334, 328, 379]"
451,184,"[326, 334, 328, 379]"
466,187,"[326, 334, 328, 354]"
475,189,"[334, 328, 335, 379]"
480,191,"[334, 478, 328, 354]"
498,192,"[334, 328, 379, 354]"
511,200,"[334, 328, 379, 359]"
528,203,"[334, 328, 379, 357]"
543,206,"[334, 328, 354, 357]"
545,208,"[328, 379, 354, 357]"
556,214,"[334, 328, 359, 357]"
558,216,"[328, 379, 359, 357]"
570,218,"[334, 354, 359, 357]"
573,219,"[328, 354, 359, 357]"
582,229,"[354, 378, 359, 357]"
585,231,"[328, 354, 357, 305]"
586,234,"[354, 359, 171, 357]"
595,238,"[334, 359, 357, 305]"
598,239,"[328, 359, 357, 305]"
612,243,"[354, 359, 357, 305]"
622,260,"[359, 357, 303, 305]"
