total_points,now_cost,indexes
46,113,"[400, 254, 200]"
58,114,"[254, 200, 231]"
75,115,"[400, 254, 60]"
87,116,"[254, 200, 60]"
105,117,"[400, 254, 204]"
123,118,"[400, 254, 326]"
135,119,"[254, 200, 326]"
146,120,"[254, 60, 204]"
164,121,"[254, 60, 326]"
167,122,"[254, 204, 203]"
194,123,"[254, 204, 326]"
201,124,"[254, 326, 40]"
209,125,"[254, 326, 422]"
224,126,"[254, 204, 334]"
242,127,"[254, 326, 334]"
245,128,"[254, 326, 328]"
249,129,"[60, 326, 334]"
253,130,"[326, 40, 422]"
279,131,"[204, 326, 334]"
286,132,"[326, 40, 334]"
294,133,"[326, 422, 334]"
297,134,"[326, 422, 328]"
312,135,"[204, 334, 328]"
330,136,"[326, 334, 328]"
332,138,"[326, 328, 379]"
344,140,"[326, 334, 354]"
362,141,"[334, 328, 379]"
377,144,"[334, 328, 354]"
379,146,"[328, 379, 354]"
390,152,"[334, 328, 359]"
392,154,"[328, 379, 359]"
407,155,"[334, 328, 357]"
409,157,"[328, 379, 357]"
421,159,"[334, 354, 357]"
424,160,"[328, 354, 357]"
434,167,"[334, 359, 357]"
437,168,"[328, 359, 357]"
451,172,"[354, 359, 357]"
463,184,"[354, 357, 305]"
476,192,"[359, 357, 305]"
