,total_points,now_cost,indexes
0,58,151,"[400, 254, 200, 231]"
4060,61,152,"[254, 200, 231, 258]"
3,87,153,"[400, 254, 200, 60]"
4062,99,154,"[254, 200, 231, 60]"
5,117,155,"[400, 254, 200, 204]"
8,135,156,"[400, 254, 200, 326]"
4067,147,157,"[254, 200, 231, 326]"
110,164,158,"[400, 254, 60, 326]"
4142,176,159,"[254, 200, 60, 326]"
155,194,160,"[400, 254, 204, 326]"
4187,206,161,"[254, 200, 204, 326]"
4248,213,162,"[254, 200, 326, 40]"
5439,235,163,"[254, 60, 204, 326]"
219,242,164,"[400, 254, 326, 334]"
5944,256,165,"[254, 204, 203, 326]"
5984,272,166,"[254, 204, 326, 40]"
5503,283,167,"[254, 60, 326, 334]"
6575,287,168,"[254, 326, 40, 422]"
5987,313,169,"[254, 204, 326, 334]"
6576,320,170,"[254, 326, 40, 334]"
6609,328,171,"[254, 326, 422, 334]"
6611,331,172,"[254, 326, 422, 328]"
6055,346,173,"[254, 204, 334, 328]"
6626,364,174,"[254, 326, 334, 328]"
23045,365,175,"[204, 326, 422, 334]"
26637,372,176,"[326, 40, 422, 334]"
26639,375,177,"[326, 40, 422, 328]"
23062,401,178,"[204, 326, 334, 328]"
26654,408,179,"[326, 40, 334, 328]"
26910,416,180,"[326, 422, 334, 328]"
26939,418,182,"[326, 422, 328, 379]"
23605,433,183,"[204, 334, 328, 379]"
27044,451,184,"[326, 334, 328, 379]"
27047,466,187,"[326, 334, 328, 354]"
29748,475,189,"[334, 328, 379, 335]"
29739,480,191,"[334, 328, 478, 354]"
29750,498,192,"[334, 328, 379, 354]"
29754,511,200,"[334, 328, 379, 359]"
29755,528,203,"[334, 328, 379, 357]"
29782,543,206,"[334, 328, 354, 357]"
30553,545,208,"[328, 379, 354, 357]"
29804,556,214,"[334, 328, 359, 357]"
30575,558,216,"[328, 379, 359, 357]"
30034,570,218,"[334, 354, 359, 357]"
30684,573,219,"[328, 354, 359, 357]"
31365,582,229,"[354, 378, 359, 357]"
30690,585,231,"[328, 354, 357, 305]"
31385,586,234,"[354, 359, 357, 171]"
30092,595,238,"[334, 359, 357, 305]"
30742,598,239,"[328, 359, 357, 305]"
31387,612,243,"[354, 359, 357, 305]"
31462,622,260,"[359, 357, 303, 305]"
