total_points,now_cost,indexes
7,110,"[392, 434, 441]"
18,112,"[392, 434, 443]"
48,113,"[392, 434, 108]"
59,115,"[392, 443, 108]"
62,118,"[443, 245, 108]"
89,121,"[392, 108, 480]"
101,123,"[392, 434, 244]"
113,124,"[392, 108, 134]"
142,126,"[392, 108, 244]"
146,129,"[443, 108, 244]"
147,133,"[108, 480, 134]"
166,134,"[392, 134, 244]"
176,135,"[108, 480, 244]"
200,138,"[108, 134, 244]"
210,140,"[108, 244, 430]"
229,144,"[108, 244, 394]"
234,148,"[108, 134, 80]"
263,150,"[108, 244, 80]"
287,158,"[134, 244, 80]"
297,160,"[244, 430, 80]"
316,164,"[244, 394, 80]"
329,172,"[244, 80, 369]"
341,176,"[244, 394, 416]"
346,180,"[134, 80, 416]"
375,182,"[244, 80, 416]"
388,194,"[80, 369, 416]"
401,208,"[244, 416, 246]"
416,210,"[80, 416, 321]"
435,218,"[80, 416, 246]"
442,236,"[416, 321, 246]"
446,263,"[416, 246, 29]"
