total_points,now_cost,indexes
48,126,"[22, 20, 102]"
110,127,"[22, 20, 72]"
145,128,"[22, 72, 285]"
186,129,"[22, 72, 413]"
203,130,"[22, 413, 364]"
232,131,"[72, 413, 364]"
237,132,"[413, 364, 363]"
246,133,"[72, 413, 264]"
263,134,"[413, 364, 264]"
278,137,"[413, 364, 420]"
292,139,"[413, 264, 420]"
294,141,"[413, 264, 70]"
296,142,"[413, 420, 386]"
300,143,"[413, 420, 408]"
309,144,"[413, 420, 70]"
311,146,"[264, 420, 70]"
317,147,"[413, 420, 345]"
319,149,"[413, 70, 345]"
321,151,"[264, 70, 345]"
323,152,"[420, 386, 345]"
327,153,"[420, 408, 345]"
336,154,"[420, 70, 345]"
337,159,"[70, 345, 234]"
351,164,"[413, 264, 268]"
366,167,"[413, 420, 268]"
368,169,"[413, 70, 268]"
370,171,"[264, 70, 268]"
376,172,"[413, 345, 268]"
385,174,"[420, 70, 268]"
393,177,"[420, 345, 268]"
395,179,"[70, 345, 268]"
396,188,"[70, 266, 268]"
404,191,"[345, 266, 268]"
410,194,"[413, 268, 156]"
412,196,"[264, 268, 156]"
413,198,"[345, 183, 268]"
427,199,"[420, 268, 156]"
429,201,"[70, 268, 156]"
437,204,"[345, 268, 156]"
438,213,"[266, 268, 156]"
450,217,"[413, 268, 186]"
452,219,"[264, 268, 186]"
467,222,"[420, 268, 186]"
469,224,"[70, 268, 186]"
477,227,"[345, 268, 186]"
478,236,"[266, 268, 186]"
487,243,"[183, 268, 186]"
496,247,"[268, 45, 186]"
511,249,"[268, 156, 186]"
