,total_points,now_cost,indexes
0,48,168,"[22, 20, 25, 102]"
1,110,169,"[22, 20, 25, 72]"
49,160,170,"[22, 20, 72, 285]"
51,201,171,"[22, 20, 72, 413]"
902,236,172,"[22, 72, 285, 413]"
944,265,173,"[22, 72, 413, 364]"
9870,282,174,"[72, 285, 413, 364]"
10290,299,175,"[72, 413, 364, 363]"
10291,303,176,"[72, 413, 364, 215]"
10292,325,177,"[72, 413, 364, 264]"
14491,330,178,"[413, 364, 363, 264]"
14508,334,179,"[413, 364, 215, 264]"
10293,340,180,"[72, 413, 364, 420]"
14492,345,181,"[413, 364, 363, 420]"
10344,354,182,"[72, 413, 264, 420]"
14525,371,183,"[413, 364, 264, 420]"
14529,373,185,"[413, 364, 264, 70]"
14541,375,186,"[413, 364, 420, 386]"
14543,379,187,"[413, 364, 420, 408]"
14950,389,188,"[413, 264, 420, 386]"
14952,393,189,"[413, 264, 420, 408]"
14953,402,190,"[413, 264, 420, 70]"
14954,410,193,"[413, 264, 420, 345]"
15004,412,195,"[413, 264, 70, 345]"
15073,414,196,"[413, 420, 386, 345]"
15098,418,197,"[413, 420, 408, 345]"
15109,427,198,"[413, 420, 70, 345]"
18134,429,200,"[264, 420, 70, 345]"
18680,433,203,"[420, 386, 70, 345]"
18824,437,204,"[420, 408, 70, 345]"
18890,445,208,"[420, 70, 345, 234]"
14959,459,213,"[413, 264, 420, 268]"
15009,461,215,"[413, 264, 70, 268]"
15078,463,216,"[413, 420, 386, 268]"
15103,467,217,"[413, 420, 408, 268]"
15114,476,218,"[413, 420, 70, 268]"
18139,478,220,"[264, 420, 70, 268]"
15124,484,221,"[413, 420, 345, 268]"
15414,486,223,"[413, 70, 345, 268]"
18439,488,225,"[264, 70, 345, 268]"
18695,490,226,"[420, 386, 345, 268]"
18839,494,227,"[420, 408, 345, 268]"
18894,503,228,"[420, 70, 345, 268]"
19983,504,233,"[70, 345, 234, 268]"
18956,512,240,"[420, 345, 266, 268]"
19991,514,242,"[70, 345, 266, 268]"
15161,518,243,"[413, 420, 268, 156]"
15451,520,245,"[413, 70, 268, 156]"
18476,522,247,"[264, 70, 268, 156]"
15496,528,248,"[413, 345, 268, 156]"
18931,537,250,"[420, 70, 268, 156]"
18976,545,253,"[420, 345, 268, 156]"
20011,547,255,"[70, 345, 268, 156]"
20075,548,264,"[70, 266, 268, 156]"
15164,558,266,"[413, 420, 268, 186]"
15454,560,268,"[413, 70, 268, 186]"
18479,562,270,"[264, 70, 268, 186]"
15499,568,271,"[413, 345, 268, 186]"
18934,577,273,"[420, 70, 268, 186]"
18979,585,276,"[420, 345, 268, 186]"
20014,587,278,"[70, 345, 268, 186]"
20078,588,287,"[70, 266, 268, 186]"
20198,596,290,"[345, 266, 268, 186]"
15616,602,293,"[413, 268, 156, 186]"
18641,604,295,"[264, 268, 156, 186]"
20219,605,297,"[345, 183, 268, 186]"
19096,619,298,"[420, 268, 156, 186]"
20131,621,300,"[70, 268, 156, 186]"
20251,629,303,"[345, 268, 156, 186]"
20391,630,312,"[266, 268, 156, 186]"
20426,639,319,"[183, 268, 156, 186]"
20462,648,323,"[268, 45, 156, 186]"
20467,658,326,"[268, 156, 270, 186]"
20468,662,335,"[268, 156, 99, 186]"
