total_points,now_cost,indexes
92,189,"[497, 314, 552, 246, 287]"
104,190,"[314, 552, 246, 287, 572]"
121,191,"[497, 314, 552, 246, 75]"
133,192,"[314, 552, 246, 287, 75]"
151,193,"[497, 314, 552, 246, 250]"
169,194,"[497, 314, 552, 246, 406]"
181,195,"[314, 552, 246, 287, 406]"
198,196,"[497, 314, 552, 75, 406]"
210,197,"[314, 552, 246, 75, 406]"
228,198,"[497, 314, 552, 250, 406]"
240,199,"[314, 552, 246, 250, 406]"
247,200,"[314, 552, 246, 406, 47]"
269,201,"[314, 552, 75, 250, 406]"
276,202,"[497, 314, 552, 406, 414]"
290,203,"[314, 552, 250, 249, 406]"
306,204,"[314, 552, 250, 406, 47]"
317,205,"[314, 552, 75, 406, 414]"
321,206,"[314, 552, 406, 47, 464]"
347,207,"[314, 552, 250, 406, 414]"
354,208,"[314, 552, 406, 47, 414]"
362,209,"[314, 552, 406, 464, 414]"
365,210,"[314, 552, 406, 464, 408]"
380,211,"[314, 552, 250, 414, 408]"
398,212,"[314, 552, 406, 414, 408]"
399,213,"[314, 250, 406, 464, 414]"
406,214,"[314, 406, 47, 464, 414]"
409,215,"[314, 406, 47, 464, 408]"
435,216,"[314, 250, 406, 414, 408]"
442,217,"[314, 406, 47, 414, 408]"
450,218,"[314, 406, 464, 414, 408]"
463,220,"[250, 249, 406, 414, 408]"
479,221,"[250, 406, 47, 414, 408]"
487,222,"[250, 406, 464, 414, 408]"
494,223,"[406, 47, 464, 414, 408]"
504,225,"[250, 406, 414, 408, 467]"
522,226,"[250, 406, 414, 408, 475]"
529,227,"[406, 47, 414, 408, 475]"
537,228,"[406, 464, 414, 408, 475]"
544,230,"[406, 47, 414, 408, 444]"
554,231,"[406, 414, 408, 467, 475]"
564,232,"[406, 414, 408, 475, 415]"
569,234,"[250, 414, 408, 475, 444]"
587,235,"[406, 414, 408, 475, 444]"
601,239,"[414, 408, 467, 475, 444]"
611,240,"[414, 408, 475, 415, 444]"
615,242,"[414, 408, 475, 473, 444]"
617,244,"[414, 408, 475, 444, 315]"
619,247,"[414, 408, 475, 444, 116]"
624,248,"[414, 408, 475, 415, 449]"
632,249,"[406, 414, 408, 444, 447]"
647,251,"[414, 408, 475, 444, 449]"
664,254,"[414, 408, 475, 444, 447]"
677,262,"[414, 408, 475, 449, 447]"
694,265,"[414, 408, 475, 447, 605]"
709,268,"[414, 408, 444, 447, 605]"
711,270,"[408, 475, 444, 447, 605]"
722,276,"[414, 408, 449, 447, 605]"
724,278,"[408, 475, 449, 447, 605]"
739,279,"[414, 408, 447, 605, 659]"
741,281,"[408, 475, 447, 605, 659]"
753,283,"[414, 444, 447, 605, 659]"
756,284,"[408, 444, 447, 605, 659]"
766,291,"[414, 449, 447, 605, 659]"
769,292,"[408, 449, 447, 605, 659]"
783,296,"[444, 449, 447, 605, 659]"
796,304,"[449, 618, 447, 605, 659]"
808,316,"[449, 447, 605, 659, 834]"
820,328,"[447, 605, 659, 834, 835]"
