total_points,now_cost,indexes
7,110,"[488, 136, 493]"
18,112,"[488, 136, 465]"
48,113,"[488, 136, 134]"
59,115,"[488, 465, 134]"
89,116,"[488, 134, 550]"
93,119,"[465, 134, 550]"
101,123,"[488, 136, 300]"
113,124,"[488, 134, 168]"
123,125,"[134, 550, 106]"
142,126,"[488, 134, 300]"
147,128,"[134, 550, 168]"
176,130,"[134, 550, 300]"
200,138,"[134, 168, 300]"
210,140,"[134, 550, 599]"
229,144,"[134, 300, 490]"
234,148,"[134, 168, 599]"
263,150,"[134, 300, 599]"
287,158,"[168, 300, 599]"
297,160,"[134, 599, 654]"
316,164,"[300, 490, 599]"
321,168,"[168, 599, 654]"
350,170,"[300, 599, 654]"
384,180,"[599, 654, 664]"
409,192,"[599, 654, 750]"
434,204,"[599, 750, 792]"
459,216,"[750, 792, 831]"
460,230,"[750, 792, 1232]"
461,244,"[750, 1232, 1247]"
462,258,"[1232, 1247, 1253]"
