total_points,now_cost,indexes
48,210,"[22, 20, 25, 128, 539]"
110,211,"[22, 20, 25, 128, 87]"
160,212,"[22, 20, 25, 87, 352]"
207,213,"[22, 20, 87, 352, 361]"
251,214,"[22, 20, 87, 352, 510]"
283,215,"[22, 87, 352, 361, 510]"
315,216,"[22, 87, 352, 510, 454]"
332,217,"[22, 87, 510, 454, 453]"
349,218,"[87, 352, 510, 454, 453]"
358,219,"[22, 87, 510, 454, 324]"
375,220,"[87, 352, 510, 454, 324]"
392,221,"[87, 510, 454, 453, 324]"
396,222,"[87, 510, 454, 261, 324]"
401,223,"[510, 454, 453, 261, 324]"
407,224,"[87, 510, 454, 453, 365]"
411,225,"[87, 510, 454, 261, 365]"
433,226,"[87, 510, 454, 324, 365]"
438,227,"[510, 454, 453, 324, 365]"
442,228,"[510, 454, 261, 324, 365]"
444,230,"[510, 454, 261, 324, 85]"
451,231,"[87, 510, 324, 365, 482]"
468,232,"[510, 454, 324, 365, 482]"
472,233,"[510, 454, 324, 365, 505]"
481,234,"[510, 454, 324, 365, 85]"
489,237,"[510, 454, 324, 365, 425]"
490,238,"[510, 324, 365, 482, 505]"
499,239,"[510, 324, 365, 482, 85]"
503,240,"[510, 324, 365, 505, 85]"
507,242,"[510, 324, 365, 482, 425]"
511,243,"[510, 324, 365, 505, 425]"
520,244,"[510, 324, 365, 85, 425]"
524,247,"[510, 365, 482, 85, 425]"
528,248,"[510, 365, 505, 85, 425]"
530,250,"[324, 365, 505, 85, 425]"
536,252,"[510, 365, 85, 425, 290]"
538,254,"[324, 365, 85, 425, 290]"
542,257,"[365, 482, 85, 425, 290]"
546,258,"[365, 505, 85, 425, 290]"
556,262,"[510, 324, 365, 482, 764]"
560,263,"[510, 324, 365, 505, 764]"
569,264,"[510, 324, 365, 85, 764]"
577,267,"[510, 324, 365, 425, 764]"
579,269,"[510, 324, 85, 425, 764]"
581,270,"[510, 365, 482, 425, 764]"
585,271,"[510, 365, 505, 425, 764]"
594,272,"[510, 365, 85, 425, 764]"
596,274,"[324, 365, 85, 425, 764]"
600,277,"[365, 482, 85, 425, 764]"
604,278,"[365, 505, 85, 425, 764]"
612,282,"[365, 85, 425, 290, 764]"
626,287,"[510, 324, 365, 764, 771]"
628,289,"[510, 324, 85, 764, 771]"
630,290,"[510, 365, 482, 764, 771]"
634,291,"[510, 365, 505, 764, 771]"
643,292,"[510, 365, 85, 764, 771]"
645,294,"[324, 365, 85, 764, 771]"
651,295,"[510, 365, 425, 764, 771]"
653,297,"[510, 85, 425, 764, 771]"
655,299,"[324, 85, 425, 764, 771]"
657,300,"[365, 482, 425, 764, 771]"
661,301,"[365, 505, 425, 764, 771]"
670,302,"[365, 85, 425, 764, 771]"
671,307,"[85, 425, 290, 764, 771]"
685,312,"[510, 324, 764, 771, 791]"
700,315,"[510, 365, 764, 771, 791]"
702,317,"[510, 85, 764, 771, 791]"
704,319,"[324, 85, 764, 771, 791]"
710,320,"[510, 425, 764, 771, 791]"
719,322,"[365, 85, 764, 771, 791]"
727,325,"[365, 425, 764, 771, 791]"
729,327,"[85, 425, 764, 771, 791]"
730,336,"[85, 326, 764, 771, 791]"
738,339,"[425, 326, 764, 771, 791]"
759,340,"[510, 764, 771, 791, 797]"
761,342,"[324, 764, 771, 791, 797]"
776,345,"[365, 764, 771, 791, 797]"
778,347,"[85, 764, 771, 791, 797]"
786,350,"[425, 764, 771, 791, 797]"
787,359,"[326, 764, 771, 791, 797]"
796,366,"[227, 764, 771, 791, 797]"
835,370,"[764, 771, 791, 797, 825]"
860,395,"[764, 771, 791, 797, 1416]"
885,420,"[764, 771, 791, 1416, 1427]"
910,445,"[764, 771, 1416, 1427, 1429]"
935,470,"[764, 1416, 1427, 1429, 1437]"
960,495,"[1416, 1427, 1429, 1437, 1451]"
