total_points,now_cost,indexes
96,129,"[575, 164, 51]"
169,130,"[575, 164, 336]"
171,132,"[575, 164, 70]"
208,133,"[575, 336, 70]"
214,136,"[336, 70, 293]"
215,140,"[575, 336, 52]"
217,142,"[575, 70, 52]"
248,143,"[336, 70, 52]"
250,146,"[575, 70, 67]"
281,147,"[336, 70, 67]"
290,151,"[336, 70, 478]"
306,153,"[336, 70, 500]"
313,160,"[336, 52, 500]"
330,162,"[336, 67, 478]"
346,164,"[336, 67, 500]"
348,166,"[70, 67, 500]"
355,168,"[336, 478, 500]"
357,170,"[70, 478, 500]"
366,175,"[336, 67, 355]"
368,177,"[70, 67, 355]"
375,179,"[336, 478, 355]"
397,181,"[67, 478, 500]"
406,190,"[478, 500, 425]"
417,192,"[67, 478, 355]"
433,194,"[67, 500, 355]"
442,198,"[478, 500, 355]"
446,208,"[336, 500, 143]"
448,209,"[500, 213, 355]"
455,217,"[52, 500, 143]"
472,219,"[67, 478, 143]"
488,221,"[67, 500, 143]"
497,225,"[478, 500, 143]"
508,232,"[67, 355, 143]"
517,236,"[478, 355, 143]"
533,238,"[500, 355, 143]"
536,256,"[500, 355, 403]"
538,262,"[67, 143, 97]"
547,266,"[478, 143, 97]"
563,268,"[500, 143, 97]"
566,277,"[67, 143, 403]"
583,279,"[355, 143, 97]"
591,283,"[500, 143, 403]"
611,294,"[355, 143, 403]"
641,324,"[143, 97, 403]"
