total_points,now_cost,indexes
80,155,"[57, 145, 494, 293]"
108,156,"[57, 145, 494, 144]"
149,157,"[57, 145, 494, 220]"
166,158,"[57, 145, 144, 220]"
187,159,"[57, 145, 220, 405]"
206,160,"[57, 145, 220, 444]"
225,161,"[145, 494, 220, 444]"
243,162,"[145, 220, 405, 80]"
263,163,"[145, 220, 405, 444]"
273,164,"[145, 220, 444, 446]"
285,165,"[145, 220, 405, 117]"
304,166,"[145, 220, 444, 117]"
312,167,"[145, 220, 444, 171]"
319,168,"[145, 220, 444, 468]"
334,169,"[145, 220, 117, 171]"
341,170,"[145, 220, 117, 468]"
349,171,"[145, 220, 171, 468]"
361,172,"[220, 444, 117, 171]"
368,173,"[220, 444, 117, 468]"
376,174,"[220, 444, 171, 468]"
381,175,"[220, 117, 171, 55]"
398,176,"[220, 117, 171, 468]"
401,178,"[220, 171, 468, 164]"
409,179,"[117, 76, 171, 468]"
417,180,"[117, 171, 55, 468]"
422,181,"[117, 171, 468, 164]"
424,183,"[171, 468, 164, 79]"
438,184,"[117, 171, 468, 443]"
441,186,"[171, 468, 164, 443]"
447,188,"[117, 468, 443, 290]"
455,189,"[171, 468, 443, 290]"
463,193,"[117, 171, 468, 381]"
466,195,"[171, 468, 164, 381]"
467,196,"[117, 171, 443, 381]"
474,197,"[117, 468, 443, 381]"
482,198,"[171, 468, 443, 381]"
484,201,"[171, 443, 290, 381]"
491,202,"[468, 443, 290, 381]"
495,204,"[117, 171, 468, 97]"
498,206,"[171, 468, 164, 97]"
499,207,"[117, 171, 443, 97]"
506,208,"[117, 468, 443, 97]"
514,209,"[171, 468, 443, 97]"
516,212,"[171, 443, 290, 97]"
523,213,"[468, 443, 290, 97]"
524,216,"[117, 171, 381, 97]"
531,217,"[117, 468, 381, 97]"
539,218,"[171, 468, 381, 97]"
543,221,"[171, 443, 381, 97]"
550,222,"[468, 443, 381, 97]"
552,224,"[171, 468, 245, 97]"
556,227,"[171, 443, 245, 97]"
563,228,"[468, 443, 245, 97]"
565,231,"[443, 290, 245, 97]"
566,233,"[443, 10, 381, 97]"
570,234,"[468, 381, 380, 97]"
573,235,"[117, 381, 245, 97]"
581,236,"[171, 381, 245, 97]"
588,237,"[468, 381, 245, 97]"
592,240,"[443, 381, 245, 97]"
597,244,"[468, 381, 97, 100]"
601,247,"[443, 381, 97, 100]"
604,248,"[10, 381, 245, 97]"
610,250,"[468, 245, 97, 100]"
612,252,"[381, 380, 245, 97]"
614,253,"[443, 245, 97, 100]"
615,257,"[381, 7, 97, 100]"
621,259,"[381, 380, 97, 100]"
626,261,"[10, 245, 97, 100]"
639,262,"[381, 245, 97, 100]"
642,273,"[245, 97, 267, 100]"
