total_points,now_cost,indexes
10,161,"[320, 388, 387, 234]"
29,162,"[320, 501, 388, 387]"
109,164,"[320, 111, 388, 387]"
110,166,"[320, 111, 388, 234]"
129,167,"[320, 111, 501, 388]"
193,169,"[320, 111, 70, 388]"
194,171,"[111, 70, 388, 234]"
213,172,"[111, 501, 70, 388]"
244,174,"[111, 70, 255, 388]"
249,177,"[41, 111, 70, 388]"
255,178,"[111, 501, 70, 255]"
287,179,"[111, 70, 388, 252]"
296,182,"[111, 414, 70, 388]"
309,183,"[111, 70, 390, 388]"
329,185,"[111, 70, 255, 252]"
338,188,"[111, 414, 70, 255]"
351,189,"[111, 70, 390, 255]"
356,192,"[41, 111, 70, 390]"
381,193,"[111, 414, 70, 252]"
394,194,"[111, 70, 390, 252]"
403,197,"[111, 414, 70, 390]"
433,201,"[452, 111, 70, 252]"
442,204,"[452, 111, 414, 70]"
455,205,"[452, 111, 70, 390]"
465,210,"[452, 111, 390, 252]"
474,213,"[452, 111, 414, 390]"
477,217,"[452, 111, 70, 342]"
504,222,"[452, 111, 131, 70]"
509,226,"[452, 111, 342, 390]"
514,227,"[452, 111, 131, 252]"
523,230,"[452, 111, 414, 131]"
536,231,"[452, 111, 131, 390]"
539,239,"[452, 414, 131, 390]"
558,243,"[452, 111, 131, 342]"
561,251,"[452, 414, 131, 342]"
574,252,"[452, 131, 342, 390]"
576,260,"[452, 277, 111, 342]"
603,265,"[452, 277, 111, 131]"
606,273,"[452, 277, 414, 131]"
619,274,"[452, 277, 131, 390]"
641,286,"[452, 277, 131, 342]"
645,330,"[452, 277, 342, 340]"
672,335,"[452, 277, 131, 340]"
