total_points,now_cost,indexes
209,190,"[5146, 5470, 4549, 1362, 1506]"
243,191,"[5146, 5470, 4549, 1362, 1036]"
272,192,"[5146, 5470, 4549, 1036, 2145]"
293,193,"[5146, 5470, 4549, 1036, 5211]"
311,194,"[5146, 5470, 4549, 1036, 3427]"
327,195,"[5146, 5470, 4549, 5211, 3427]"
334,196,"[5146, 5470, 4549, 3427, 2220]"
343,197,"[5146, 5470, 4549, 5211, 5016]"
361,198,"[5146, 5470, 4549, 3427, 5016]"
366,199,"[5146, 5470, 4549, 1036, 4297]"
382,200,"[5146, 5470, 4549, 5211, 4297]"
400,201,"[5146, 5470, 4549, 3427, 4297]"
404,202,"[5146, 5470, 1036, 3427, 4297]"
420,203,"[5146, 5470, 5211, 3427, 4297]"
427,204,"[5146, 5470, 3427, 2220, 4297]"
436,205,"[5146, 5470, 5211, 5016, 4297]"
454,206,"[5146, 5470, 3427, 5016, 4297]"
459,207,"[5146, 5470, 3427, 5201, 4297]"
468,208,"[5146, 5470, 5016, 3483, 4297]"
475,209,"[5146, 5470, 5016, 5201, 4297]"
483,210,"[5146, 3427, 3409, 5016, 4297]"
499,211,"[5146, 3427, 5016, 3483, 4297]"
506,212,"[5146, 3427, 5016, 5201, 4297]"
512,213,"[5146, 5016, 3483, 5562, 4297]"
520,214,"[5146, 5016, 3483, 5201, 4297]"
529,215,"[5146, 3427, 5016, 4297, 4295]"
543,216,"[3427, 5016, 3483, 5562, 4297]"
551,217,"[3427, 5016, 3483, 5201, 4297]"
552,218,"[3427, 5016, 3483, 4293, 4297]"
564,219,"[3427, 5016, 3483, 4297, 4423]"
574,220,"[3427, 5016, 3483, 4297, 4295]"
581,221,"[3427, 5016, 5201, 4297, 4295]"
587,222,"[5016, 3483, 5562, 4297, 4295]"
595,223,"[5016, 3483, 5201, 4297, 4295]"
599,224,"[3427, 5201, 4297, 4423, 4295]"
608,225,"[5016, 3483, 4297, 4423, 4295]"
615,226,"[5016, 5201, 4297, 4423, 4295]"
616,227,"[5016, 4293, 4297, 4423, 4295]"
625,228,"[5016, 4297, 4423, 3145, 4295]"
630,229,"[5201, 4297, 4423, 3145, 4295]"
635,230,"[5016, 4297, 4423, 4295, 5062]"
640,231,"[5201, 4297, 4423, 4295, 5062]"
647,232,"[5016, 4297, 4423, 4295, 4294]"
652,233,"[5201, 4297, 4423, 4295, 4294]"
656,234,"[5016, 3483, 4297, 4295, 5200]"
663,235,"[5016, 5201, 4297, 4295, 5200]"
664,236,"[5016, 4293, 4297, 4295, 5200]"
676,237,"[5016, 4297, 4423, 4295, 5200]"
681,238,"[5201, 4297, 4423, 4295, 5200]"
683,239,"[5016, 4297, 4295, 5062, 5200]"
691,240,"[4297, 4423, 3145, 4295, 5200]"
695,241,"[5016, 4297, 4295, 4294, 5200]"
701,242,"[4297, 4423, 4295, 5062, 5200]"
705,243,"[4297, 4423, 3145, 4295, 3245]"
713,244,"[4297, 4423, 4295, 4294, 5200]"
715,245,"[4297, 4423, 4295, 5062, 3245]"
720,246,"[4297, 4295, 5062, 4294, 5200]"
727,247,"[4297, 4423, 4295, 4294, 3245]"
729,248,"[4297, 4423, 4295, 3484, 5200]"
738,249,"[5016, 4297, 4295, 5200, 3245]"
743,250,"[5201, 4297, 4295, 5200, 3245]"
744,251,"[4293, 4297, 4295, 5200, 3245]"
756,252,"[4297, 4423, 4295, 5200, 3245]"
763,254,"[4297, 4295, 5062, 5200, 3245]"
765,255,"[4297, 4423, 4294, 5200, 3245]"
775,256,"[4297, 4295, 4294, 5200, 3245]"
781,259,"[4297, 4423, 3484, 5200, 3245]"
791,260,"[4297, 4295, 3484, 5200, 3245]"
800,263,"[4297, 4294, 3484, 5200, 3245]"
803,265,"[4297, 4295, 4294, 5200, 3247]"
805,266,"[4297, 4295, 5062, 3245, 3247]"
807,267,"[4297, 4423, 4294, 3245, 3247]"
817,268,"[4297, 4295, 4294, 3245, 3247]"
819,269,"[4297, 4295, 3484, 5200, 3247]"
823,270,"[5201, 4297, 5200, 3245, 3247]"
824,271,"[4293, 4297, 5200, 3245, 3247]"
836,272,"[4297, 4423, 5200, 3245, 3247]"
846,273,"[4297, 4295, 5200, 3245, 3247]"
855,276,"[4297, 4294, 5200, 3245, 3247]"
859,279,"[4297, 3221, 5200, 3245, 3247]"
871,280,"[4297, 3484, 5200, 3245, 3247]"
877,284,"[4297, 5200, 3245, 3116, 3247]"
883,285,"[4297, 4295, 3245, 3247, 3246]"
892,288,"[4297, 4294, 3245, 3247, 3246]"
894,289,"[4297, 3484, 5200, 3247, 3246]"
896,291,"[4297, 3221, 3245, 3247, 3246]"
908,292,"[4297, 3484, 3245, 3247, 3246]"
921,293,"[4297, 5200, 3245, 3247, 3246]"
923,300,"[3221, 5200, 3245, 3247, 3246]"
935,301,"[3484, 5200, 3245, 3247, 3246]"
941,305,"[5200, 3245, 3116, 3247, 3246]"
954,310,"[5200, 3245, 3268, 3247, 3246]"
955,312,"[5200, 3245, 4183, 3247, 3246]"
960,315,"[4297, 3245, 3247, 3246, 4182]"
961,320,"[3245, 3268, 4183, 3247, 3246]"
962,322,"[3221, 3245, 3247, 3246, 4182]"
974,323,"[3484, 3245, 3247, 3246, 4182]"
987,324,"[5200, 3245, 3247, 3246, 4182]"
993,332,"[3245, 3268, 3247, 3246, 4182]"
994,334,"[3245, 4183, 3247, 3246, 4182]"
997,339,"[3245, 3247, 3246, 4181, 4182]"
