total_points,now_cost,indexes
100,84,"[4534, 4504]"
145,85,"[4534, 4070]"
163,87,"[4070, 1336]"
167,89,"[4070, 2548]"
187,91,"[4070, 4234]"
193,93,"[4534, 4468]"
216,94,"[4070, 4468]"
235,99,"[4234, 4468]"
241,105,"[4468, 2437]"
256,106,"[4468, 2302]"
269,108,"[4468, 5377]"
278,109,"[4070, 5202]"
280,110,"[4468, 3493]"
300,114,"[4468, 5514]"
326,117,"[4468, 5202]"
331,123,"[5377, 5202]"
342,125,"[3493, 5202]"
362,129,"[5514, 5202]"
375,135,"[5202, 3437]"
392,142,"[5202, 4313]"
404,163,"[5202, 4166]"
415,167,"[5202, 1143]"
419,177,"[4313, 1143]"
436,185,"[5202, 5388]"
440,195,"[4313, 5388]"
452,216,"[4166, 5388]"
463,220,"[1143, 5388]"
466,238,"[5388, 1403]"
