total_points,now_cost,indexes
148,203,"[3610, 3611, 1397, 4021, 5424]"
185,204,"[3610, 1397, 4021, 5424, 1626]"
222,205,"[3610, 1397, 4021, 5424, 5023]"
257,206,"[1397, 4021, 5424, 1626, 5023]"
288,207,"[1397, 4021, 5424, 5023, 2320]"
311,208,"[1397, 4021, 5424, 5023, 1290]"
333,209,"[1397, 4021, 5023, 2320, 1290]"
355,210,"[1397, 4021, 5023, 1290, 4470]"
375,211,"[1397, 5023, 2320, 1290, 4470]"
396,212,"[1397, 4021, 5023, 1290, 1416]"
416,213,"[1397, 5023, 2320, 1290, 1416]"
438,214,"[1397, 5023, 1290, 4470, 1416]"
454,215,"[1397, 5023, 1290, 3504, 1416]"
471,216,"[5023, 1290, 4470, 2367, 1416]"
492,217,"[5023, 1290, 4470, 3504, 1416]"
505,218,"[5023, 1290, 3504, 1439, 1416]"
521,219,"[1290, 4470, 3504, 1439, 1416]"
532,220,"[1290, 3504, 1439, 2127, 1416]"
542,221,"[1290, 3504, 1439, 1416, 4287]"
552,222,"[3504, 1439, 2127, 1416, 4287]"
562,224,"[3504, 1439, 1416, 4287, 3080]"
565,225,"[3504, 1439, 1416, 4287, 5105]"
566,226,"[3504, 1416, 4287, 3080, 1042]"
573,227,"[3504, 1416, 4287, 3080, 5105]"
578,228,"[1290, 3504, 1439, 1416, 5449]"
588,229,"[3504, 1439, 2127, 1416, 5449]"
598,230,"[3504, 1439, 1416, 4287, 5449]"
606,232,"[3504, 1416, 4287, 3080, 5449]"
609,233,"[3504, 1416, 4287, 5105, 5449]"
612,234,"[3504, 1416, 4287, 3080, 5481]"
616,235,"[3504, 1416, 4287, 3080, 5271]"
619,236,"[1290, 3504, 1416, 5449, 2132]"
631,237,"[3504, 1439, 1416, 5449, 2132]"
639,238,"[3504, 1416, 4287, 5449, 2132]"
640,239,"[3504, 1439, 1416, 5449, 5481]"
648,240,"[3504, 1416, 4287, 5449, 5481]"
652,241,"[3504, 1416, 4287, 5449, 5271]"
655,242,"[3504, 1416, 4287, 5449, 5203]"
