total_points,now_cost,indexes
136,152,"[146, 470, 264, 519]"
156,153,"[146, 470, 264, 603]"
198,154,"[146, 470, 264, 211]"
216,155,"[146, 470, 603, 211]"
231,156,"[146, 470, 211, 513]"
232,157,"[146, 470, 264, 16]"
255,158,"[146, 470, 211, 589]"
292,159,"[146, 470, 211, 16]"
297,160,"[146, 470, 211, 201]"
323,162,"[146, 470, 16, 562]"
331,163,"[146, 470, 16, 201]"
336,164,"[146, 211, 16, 562]"
344,165,"[146, 211, 16, 201]"
345,166,"[146, 470, 201, 46]"
361,167,"[146, 16, 562, 67]"
375,168,"[146, 16, 562, 201]"
376,169,"[146, 16, 201, 92]"
388,170,"[211, 16, 562, 201]"
392,171,"[146, 16, 201, 46]"
397,172,"[211, 16, 562, 46]"
413,173,"[16, 562, 67, 201]"
420,174,"[16, 562, 201, 92]"
422,175,"[16, 562, 67, 46]"
436,176,"[16, 562, 201, 46]"
437,177,"[16, 201, 92, 46]"
447,178,"[16, 562, 201, 62]"
448,179,"[16, 201, 92, 62]"
456,180,"[16, 562, 46, 62]"
464,181,"[16, 201, 46, 62]"
465,182,"[16, 562, 62, 558]"
473,183,"[16, 201, 62, 558]"
475,184,"[16, 562, 62, 42]"
488,185,"[16, 562, 201, 200]"
489,186,"[16, 201, 92, 200]"
497,187,"[16, 562, 46, 200]"
505,188,"[16, 201, 46, 200]"
508,189,"[16, 562, 62, 200]"
516,190,"[16, 201, 62, 200]"
525,192,"[16, 46, 62, 200]"
530,193,"[201, 46, 62, 200]"
534,194,"[16, 62, 558, 200]"
539,195,"[201, 62, 558, 200]"
544,196,"[16, 62, 42, 200]"
549,197,"[201, 62, 42, 200]"
558,199,"[46, 62, 42, 200]"
567,201,"[62, 558, 42, 200]"
573,206,"[46, 62, 200, 435]"
582,208,"[62, 558, 200, 435]"
592,210,"[62, 42, 200, 435]"
598,218,"[62, 200, 435, 313]"
606,220,"[42, 200, 435, 313]"
610,229,"[200, 435, 313, 556]"
615,233,"[62, 200, 435, 255]"
623,235,"[42, 200, 435, 255]"
629,243,"[200, 435, 313, 255]"
630,256,"[42, 200, 255, 259]"
645,263,"[200, 435, 255, 259]"
