total_points,now_cost,indexes
678,335,"[744, 739, 741, 246, 247]"
482,332,"[744, 739, 741, 246, 288]"
357,329,"[744, 739, 741, 288, 711]"
336,328,"[744, 739, 741, 288, 702]"
333,326,"[744, 739, 741, 288, 267]"
311,325,"[744, 739, 288, 711, 702]"
308,323,"[744, 739, 288, 711, 267]"
287,322,"[744, 739, 288, 702, 267]"
276,320,"[744, 739, 741, 288, 117]"
273,319,"[744, 739, 288, 711, 360]"
252,318,"[744, 739, 288, 702, 360]"
251,317,"[744, 739, 288, 711, 117]"
230,316,"[744, 739, 288, 702, 117]"
227,314,"[744, 739, 288, 267, 117]"
221,313,"[744, 288, 711, 702, 117]"
219,312,"[744, 288, 702, 267, 360]"
218,311,"[744, 288, 711, 267, 117]"
192,310,"[744, 739, 288, 360, 117]"
183,307,"[744, 288, 711, 360, 117]"
162,306,"[744, 288, 702, 360, 117]"
159,304,"[744, 288, 267, 360, 117]"
138,299,"[744, 288, 702, 117, 501]"
135,297,"[744, 288, 267, 117, 501]"
127,296,"[744, 288, 360, 117, 294]"
122,295,"[744, 288, 360, 117, 121]"
100,293,"[744, 288, 360, 117, 501]"
98,288,"[744, 288, 360, 501, 290]"
76,286,"[744, 288, 117, 501, 290]"
74,281,"[744, 288, 501, 290, 424]"
70,279,"[288, 360, 117, 294, 501]"
65,278,"[288, 360, 117, 121, 501]"
43,276,"[288, 360, 117, 501, 290]"
41,271,"[288, 360, 501, 290, 424]"
19,269,"[288, 117, 501, 290, 424]"
17,259,"[288, 501, 290, 424, 163]"
4,255,"[117, 501, 290, 424, 114]"
2,250,"[117, 501, 290, 424, 163]"
0,240,"[501, 290, 424, 163, 404]"
