total_points,now_cost,indexes
488,262,"[1655, 1653]"
463,261,"[1655, 1639]"
453,260,"[1639, 1643]"
452,259,"[1639, 1628]"
444,258,"[1639, 1608]"
397,257,"[1655, 372]"
386,256,"[1639, 372]"
378,254,"[1608, 372]"
361,251,"[372, 1571]"
360,249,"[372, 1545]"
350,247,"[372, 1504]"
344,244,"[372, 1471]"
341,237,"[1639, 306]"
324,235,"[372, 1335]"
322,234,"[372, 1318]"
275,233,"[372, 306]"
239,225,"[372, 281]"
213,216,"[372, 579]"
206,210,"[372, 134]"
194,206,"[306, 281]"
168,197,"[306, 579]"
161,191,"[306, 134]"
132,189,"[281, 579]"
125,183,"[281, 134]"
99,174,"[579, 134]"
98,163,"[281, 21]"
79,159,"[281, 325]"
72,154,"[579, 21]"
53,150,"[579, 325]"
46,144,"[134, 325]"
19,124,"[21, 325]"
4,116,"[325, 46]"
0,115,"[325, 350]"
