total_points,now_cost,indexes
908,528,"[1677, 1670, 1679, 1681]"
879,527,"[1677, 1670, 1679, 1665]"
868,526,"[1677, 1670, 1665, 1656]"
848,525,"[1677, 1670, 1665, 1648]"
844,524,"[1677, 1670, 1648, 1649]"
826,523,"[1677, 1665, 1648, 1649]"
823,521,"[1677, 1665, 1648, 1614]"
819,520,"[1677, 1648, 1649, 1614]"
818,519,"[1677, 1648, 1649, 1599]"
815,517,"[1677, 1648, 1614, 1599]"
813,515,"[1648, 1649, 1614, 1599]"
805,511,"[1677, 1665, 1648, 1460]"
801,510,"[1677, 1648, 1649, 1460]"
794,509,"[1677, 1665, 1648, 1445]"
790,508,"[1677, 1648, 1649, 1445]"
784,506,"[1677, 1665, 1648, 1396]"
780,505,"[1677, 1648, 1649, 1396]"
778,504,"[1677, 1665, 1648, 1356]"
774,503,"[1677, 1648, 1649, 1356]"
771,501,"[1677, 1648, 1614, 1356]"
770,500,"[1677, 1648, 1599, 1356]"
769,499,"[1677, 1648, 1614, 1329]"
767,498,"[1677, 1614, 1599, 1356]"
717,496,"[1677, 1670, 1679, 295]"
690,495,"[1677, 1670, 1665, 295]"
686,494,"[1677, 1670, 1648, 295]"
668,493,"[1677, 1665, 1648, 295]"
664,492,"[1677, 1648, 1649, 295]"
661,490,"[1677, 1648, 1614, 295]"
660,489,"[1677, 1648, 1599, 295]"
659,488,"[1648, 1649, 1614, 295]"
657,487,"[1677, 1614, 1599, 295]"
655,485,"[1648, 1614, 1599, 295]"
647,481,"[1677, 1665, 1460, 295]"
643,480,"[1677, 1648, 1460, 295]"
636,479,"[1677, 1665, 1445, 295]"
632,478,"[1677, 1648, 1445, 295]"
626,476,"[1677, 1665, 1396, 295]"
622,475,"[1677, 1648, 1396, 295]"
620,474,"[1677, 1665, 1356, 295]"
616,473,"[1677, 1648, 1356, 295]"
613,471,"[1677, 1614, 1356, 295]"
612,470,"[1677, 1599, 1356, 295]"
611,469,"[1677, 1614, 1329, 295]"
610,468,"[1677, 1599, 1329, 295]"
609,467,"[1648, 1614, 1329, 295]"
602,466,"[1677, 1665, 1240, 295]"
598,465,"[1677, 1648, 1240, 295]"
594,463,"[1677, 1648, 1218, 295]"
590,461,"[1677, 1445, 1396, 295]"
540,460,"[1677, 1670, 295, 273]"
522,459,"[1677, 1665, 295, 273]"
518,458,"[1677, 1648, 295, 273]"
515,456,"[1677, 1614, 295, 273]"
