total_points,now_cost,indexes
43,153,"[560, 561, 562, 552]"
69,154,"[560, 561, 552, 555]"
93,155,"[560, 552, 555, 557]"
132,156,"[560, 561, 552, 503]"
158,157,"[560, 552, 555, 503]"
182,158,"[552, 555, 557, 503]"
207,159,"[552, 555, 540, 503]"
219,160,"[560, 552, 503, 460]"
245,161,"[552, 555, 503, 460]"
268,162,"[552, 540, 503, 460]"
284,163,"[552, 540, 503, 442]"
295,164,"[552, 503, 460, 479]"
322,165,"[552, 503, 460, 442]"
328,166,"[540, 503, 460, 442]"
333,167,"[503, 500, 460, 442]"
355,168,"[503, 460, 479, 442]"
370,169,"[503, 460, 442, 413]"
376,170,"[503, 460, 442, 398]"
380,171,"[503, 442, 413, 398]"
399,172,"[503, 460, 442, 278]"
403,173,"[503, 442, 413, 278]"
409,174,"[503, 442, 398, 278]"
412,175,"[503, 442, 413, 202]"
418,176,"[503, 442, 398, 202]"
432,177,"[503, 442, 278, 249]"
441,178,"[503, 442, 278, 202]"
443,180,"[442, 413, 278, 202]"
449,181,"[442, 398, 278, 202]"
458,182,"[503, 278, 249, 202]"
472,184,"[442, 278, 249, 202]"
479,186,"[503, 442, 202, 94]"
481,187,"[503, 460, 278, 42]"
497,188,"[503, 442, 278, 42]"
506,190,"[503, 442, 202, 42]"
510,191,"[442, 278, 202, 94]"
514,192,"[503, 278, 249, 42]"
523,193,"[503, 278, 202, 42]"
528,194,"[442, 278, 249, 42]"
537,195,"[442, 278, 202, 42]"
540,198,"[503, 278, 104, 42]"
554,199,"[278, 249, 202, 42]"
566,201,"[442, 278, 94, 42]"
575,203,"[442, 202, 94, 42]"
583,205,"[278, 249, 94, 42]"
592,206,"[278, 202, 94, 42]"
598,210,"[278, 202, 42, 35]"
609,211,"[278, 104, 94, 42]"
618,213,"[202, 104, 94, 42]"
627,216,"[278, 94, 42, 35]"
636,218,"[202, 94, 42, 35]"
640,221,"[278, 94, 42, 3]"
653,223,"[104, 94, 42, 35]"
655,227,"[202, 42, 35, 3]"
666,228,"[104, 94, 42, 3]"
672,232,"[104, 42, 35, 3]"
684,233,"[94, 42, 35, 3]"
687,241,"[42, 35, 5, 3]"
