total_points,now_cost,indexes
15,131,"[427, 400, 392]"
52,132,"[427, 400, 315]"
72,133,"[427, 315, 351]"
78,134,"[400, 315, 351]"
110,135,"[427, 315, 251]"
116,136,"[400, 315, 251]"
136,137,"[315, 351, 251]"
141,138,"[315, 263, 251]"
153,142,"[315, 251, 142]"
155,143,"[315, 263, 117]"
188,144,"[315, 251, 117]"
200,146,"[315, 251, 93]"
230,148,"[315, 251, 58]"
256,151,"[315, 251, 33]"
268,155,"[251, 117, 58]"
270,156,"[315, 117, 33]"
280,157,"[251, 93, 58]"
294,158,"[251, 117, 33]"
312,160,"[315, 58, 33]"
336,162,"[251, 58, 33]"
355,167,"[251, 33, 13]"
362,169,"[93, 58, 33]"
369,172,"[117, 33, 13]"
386,173,"[58, 36, 33]"
411,176,"[58, 33, 13]"
418,181,"[33, 13, 9]"
420,183,"[33, 13, 2]"
