total_points,now_cost,indexes
72,163,"[524, 509, 498, 482]"
106,164,"[524, 509, 482, 459]"
126,165,"[524, 509, 482, 425]"
163,166,"[524, 509, 482, 390]"
178,167,"[524, 498, 482, 390]"
212,168,"[524, 482, 459, 390]"
232,169,"[524, 482, 425, 390]"
253,170,"[524, 482, 390, 363]"
279,171,"[482, 459, 425, 390]"
300,172,"[482, 459, 390, 363]"
320,173,"[482, 425, 390, 363]"
330,174,"[425, 401, 390, 363]"
341,175,"[482, 425, 390, 269]"
362,176,"[482, 390, 363, 269]"
376,177,"[425, 390, 363, 269]"
382,178,"[390, 363, 393, 269]"
403,180,"[390, 363, 269, 262]"
407,182,"[425, 390, 269, 197]"
428,183,"[390, 363, 269, 197]"
430,184,"[390, 363, 269, 158]"
434,185,"[390, 269, 262, 197]"
436,186,"[390, 269, 262, 158]"
440,187,"[390, 363, 197, 158]"
454,188,"[390, 269, 197, 191]"
461,189,"[390, 269, 197, 158]"
466,192,"[390, 197, 191, 158]"
475,194,"[390, 269, 197, 77]"
477,195,"[390, 269, 158, 77]"
480,197,"[390, 197, 191, 77]"
487,198,"[390, 197, 158, 77]"
492,200,"[269, 197, 158, 77]"
497,203,"[197, 191, 158, 77]"
499,204,"[390, 197, 77, 54]"
501,205,"[390, 158, 77, 54]"
504,206,"[269, 197, 77, 54]"
506,207,"[269, 158, 77, 54]"
509,209,"[197, 191, 77, 54]"
516,210,"[197, 158, 77, 54]"
526,217,"[197, 77, 54, 49]"
528,218,"[158, 77, 54, 49]"
532,223,"[197, 77, 54, 1]"
534,224,"[158, 77, 54, 1]"
544,231,"[77, 54, 49, 1]"
