cost,points_total,indexes
442,245,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 610, 607]"
443,271,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 610, 596]"
444,323,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 610, 527]"
445,339,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 610, 508]"
446,343,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 610, 445]"
448,357,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 610, 310]"
453,371,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 610, 163]"
454,386,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 610, 133]"
444,297,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 530, 607]"
445,323,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 530, 596]"
446,375,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 530, 527]"
447,391,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 530, 508]"
448,395,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 530, 445]"
450,409,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 530, 310]"
455,423,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 530, 163]"
456,438,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 530, 133]"
446,335,"[444, 446, 529, 526, 509, 613, 615, 614, 531, 530, 607]"
447,361,"[444, 446, 529, 526, 509, 613, 615, 614, 531, 530, 596]"
448,413,"[444, 446, 529, 526, 509, 613, 615, 614, 531, 530, 527]"
449,429,"[444, 446, 529, 526, 509, 613, 615, 614, 531, 530, 508]"
450,433,"[444, 446, 529, 526, 509, 613, 615, 614, 531, 530, 445]"
452,447,"[444, 446, 529, 526, 509, 613, 615, 614, 531, 530, 310]"
457,461,"[444, 446, 529, 526, 509, 613, 615, 614, 531, 530, 163]"
458,476,"[444, 446, 529, 526, 509, 613, 615, 614, 531, 530, 133]"
447,348,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 416, 607]"
448,374,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 416, 596]"
449,426,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 416, 527]"
450,442,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 416, 508]"
451,446,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 416, 445]"
453,460,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 416, 310]"
458,474,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 416, 163]"
459,489,"[444, 446, 529, 526, 509, 613, 615, 614, 604, 416, 133]"
449,400,"[444, 446, 529, 526, 509, 613, 615, 614, 530, 416, 607]"
450,426,"[444, 446, 529, 526, 509, 613, 615, 614, 530, 416, 596]"
451,478,"[444, 446, 529, 526, 509, 613, 615, 614, 530, 416, 527]"
452,494,"[444, 446, 529, 526, 509, 613, 615, 614, 530, 416, 508]"
453,498,"[444, 446, 529, 526, 509, 613, 615, 614, 530, 416, 445]"
455,512,"[444, 446, 529, 526, 509, 613, 615, 614, 530, 416, 310]"
460,526,"[444, 446, 529, 526, 509, 613, 615, 614, 530, 416, 163]"
461,541,"[444, 446, 529, 526, 509, 613, 615, 614, 530, 416, 133]"
451,437,"[444, 446, 529, 526, 509, 615, 614, 531, 530, 416, 607]"
452,463,"[444, 446, 529, 526, 509, 615, 614, 531, 530, 416, 596]"
453,515,"[444, 446, 529, 526, 509, 615, 614, 531, 530, 416, 527]"
454,531,"[444, 446, 529, 526, 509, 615, 614, 531, 530, 416, 508]"
455,535,"[444, 446, 529, 526, 509, 615, 614, 531, 530, 416, 445]"
457,549,"[444, 446, 529, 526, 509, 615, 614, 531, 530, 416, 310]"
462,563,"[444, 446, 529, 526, 509, 615, 614, 531, 530, 416, 163]"
463,578,"[444, 446, 529, 526, 509, 615, 614, 531, 530, 416, 133]"
452,445,"[444, 446, 529, 526, 509, 615, 614, 530, 504, 416, 607]"
453,471,"[444, 446, 529, 526, 509, 615, 614, 530, 504, 416, 596]"
454,523,"[444, 446, 529, 526, 509, 615, 614, 530, 504, 416, 527]"
455,539,"[444, 446, 529, 526, 509, 615, 614, 530, 504, 416, 508]"
456,543,"[444, 446, 529, 526, 509, 615, 614, 530, 504, 416, 445]"
458,557,"[444, 446, 529, 526, 509, 615, 614, 530, 504, 416, 310]"
463,571,"[444, 446, 529, 526, 509, 615, 614, 530, 504, 416, 163]"
464,586,"[444, 446, 529, 526, 509, 615, 614, 530, 504, 416, 133]"
453,446,"[444, 446, 529, 526, 509, 613, 614, 530, 504, 416, 607]"
454,472,"[444, 446, 529, 526, 509, 613, 614, 530, 504, 416, 596]"
455,524,"[444, 446, 529, 526, 509, 613, 614, 530, 504, 416, 527]"
456,540,"[444, 446, 529, 526, 509, 613, 614, 530, 504, 416, 508]"
457,544,"[444, 446, 529, 526, 509, 613, 614, 530, 504, 416, 445]"
459,558,"[444, 446, 529, 526, 509, 613, 614, 530, 504, 416, 310]"
464,572,"[444, 446, 529, 526, 509, 613, 614, 530, 504, 416, 163]"
465,587,"[444, 446, 529, 526, 509, 613, 614, 530, 504, 416, 133]"
454,493,"[444, 446, 529, 526, 509, 615, 614, 530, 416, 414, 607]"
455,519,"[444, 446, 529, 526, 509, 615, 614, 530, 416, 414, 596]"
456,571,"[444, 446, 529, 526, 509, 615, 614, 530, 416, 414, 527]"
457,587,"[444, 446, 529, 526, 509, 615, 614, 530, 416, 414, 508]"
458,591,"[444, 446, 529, 526, 509, 615, 614, 530, 416, 414, 445]"
460,605,"[444, 446, 529, 526, 509, 615, 614, 530, 416, 414, 310]"
465,619,"[444, 446, 529, 526, 509, 615, 614, 530, 416, 414, 163]"
466,634,"[444, 446, 529, 526, 509, 615, 614, 530, 416, 414, 133]"
455,494,"[444, 446, 529, 526, 509, 613, 614, 530, 416, 414, 607]"
