total_points,now_cost,indexes
69,192,"[497, 498, 499, 489, 492]"
93,193,"[497, 498, 489, 492, 494]"
132,194,"[497, 498, 499, 489, 440]"
158,195,"[497, 498, 489, 492, 440]"
182,196,"[497, 489, 492, 494, 440]"
207,197,"[497, 489, 492, 477, 440]"
231,198,"[489, 492, 494, 477, 440]"
245,199,"[497, 489, 492, 440, 397]"
269,200,"[489, 492, 494, 440, 397]"
294,201,"[489, 492, 477, 440, 397]"
310,202,"[489, 492, 477, 440, 379]"
322,203,"[497, 489, 440, 397, 379]"
348,204,"[489, 492, 440, 397, 379]"
371,205,"[489, 477, 440, 397, 379]"
376,206,"[489, 440, 437, 397, 379]"
398,207,"[489, 440, 397, 416, 379]"
413,208,"[489, 440, 397, 379, 350]"
419,209,"[489, 440, 397, 379, 335]"
425,210,"[477, 440, 397, 379, 335]"
446,211,"[440, 397, 416, 379, 350]"
456,212,"[440, 397, 379, 350, 352]"
467,213,"[440, 397, 379, 350, 335]"
475,214,"[440, 397, 416, 379, 215]"
490,215,"[440, 397, 379, 350, 215]"
496,216,"[440, 397, 379, 335, 215]"
500,217,"[440, 379, 350, 335, 215]"
505,218,"[440, 397, 379, 335, 139]"
519,219,"[440, 397, 379, 215, 186]"
528,220,"[440, 397, 379, 215, 139]"
532,221,"[440, 379, 350, 215, 139]"
538,222,"[440, 379, 335, 215, 139]"
547,224,"[440, 379, 215, 186, 184]"
561,225,"[440, 379, 215, 186, 139]"
563,227,"[379, 350, 215, 186, 139]"
569,228,"[379, 335, 215, 186, 139]"
573,229,"[440, 215, 186, 184, 139]"
578,230,"[440, 379, 215, 186, 41]"
590,231,"[440, 379, 215, 186, 31]"
599,232,"[440, 379, 215, 139, 31]"
601,234,"[379, 350, 215, 139, 31]"
607,235,"[379, 335, 215, 139, 31]"
616,236,"[440, 215, 186, 139, 31]"
618,237,"[379, 215, 186, 139, 41]"
630,238,"[379, 215, 186, 139, 31]"
633,241,"[440, 215, 186, 41, 31]"
642,242,"[440, 215, 139, 41, 31]"
647,243,"[379, 215, 186, 41, 31]"
656,244,"[379, 215, 139, 41, 31]"
659,247,"[215, 186, 184, 41, 31]"
673,248,"[215, 186, 139, 41, 31]"
680,251,"[379, 139, 41, 40, 31]"
688,253,"[215, 186, 41, 40, 31]"
697,254,"[215, 139, 41, 40, 31]"
702,260,"[139, 56, 41, 40, 31]"
708,261,"[215, 41, 40, 31, 2]"
717,263,"[139, 41, 40, 31, 2]"
