total_points,now_cost,indexes
17,121,"[461, 446, 435]"
57,122,"[461, 446, 419]"
72,123,"[461, 435, 419]"
108,124,"[461, 446, 327]"
126,125,"[461, 419, 362]"
163,126,"[461, 419, 327]"
177,127,"[461, 362, 327]"
210,128,"[419, 396, 327]"
230,129,"[419, 362, 327]"
251,130,"[419, 327, 300]"
265,131,"[362, 327, 300]"
272,132,"[419, 327, 206]"
286,133,"[362, 327, 206]"
307,134,"[327, 300, 206]"
313,136,"[327, 206, 199]"
317,137,"[327, 300, 134]"
319,138,"[327, 300, 95]"
338,139,"[327, 206, 134]"
340,140,"[327, 206, 95]"
343,142,"[327, 134, 128]"
350,143,"[327, 134, 95]"
355,145,"[206, 134, 95]"
364,148,"[327, 134, 14]"
366,149,"[327, 95, 14]"
369,150,"[206, 134, 14]"
371,151,"[206, 95, 14]"
374,153,"[134, 128, 14]"
381,154,"[134, 95, 14]"
