total_points,now_cost,indexes
562,360,"[239, 403, 272]"
534,345,"[239, 272, 97]"
453,343,"[239, 403, 214]"
392,338,"[239, 272, 214]"
386,325,"[239, 272, 96]"
358,319,"[239, 272, 549]"
296,315,"[239, 214, 625]"
277,308,"[239, 214, 96]"
249,302,"[239, 214, 549]"
229,289,"[239, 214, 377]"
217,276,"[272, 214, 377]"
197,274,"[214, 625, 269]"
169,272,"[214, 625, 96]"
141,266,"[214, 625, 549]"
122,259,"[214, 96, 549]"
121,253,"[214, 625, 377]"
111,248,"[214, 549, 26]"
102,246,"[214, 96, 377]"
97,241,"[214, 549, 526]"
74,240,"[214, 549, 377]"
68,227,"[96, 549, 377]"
54,225,"[214, 377, 215]"
48,212,"[96, 377, 215]"
43,209,"[549, 526, 377]"
20,206,"[549, 377, 215]"
6,190,"[377, 215, 98]"
0,187,"[377, 215, 404]"
