total_points,now_cost,indexes
486,209,"[100, 267, 97]"
449,206,"[100, 267, 379]"
442,205,"[100, 267, 102]"
335,204,"[100, 267, 378]"
331,203,"[100, 267, 484]"
327,201,"[100, 379, 378]"
320,200,"[100, 102, 378]"
228,199,"[100, 378, 139]"
209,198,"[100, 378, 484]"
190,196,"[267, 378, 484]"
182,193,"[379, 378, 484]"
175,192,"[102, 378, 484]"
83,191,"[378, 139, 484]"
76,184,"[378, 484, 101]"
63,183,"[378, 139, 243]"
44,182,"[378, 484, 243]"
31,172,"[378, 243, 217]"
27,171,"[484, 243, 217]"
24,169,"[378, 243, 6]"
20,168,"[484, 243, 6]"
7,158,"[243, 217, 6]"
3,154,"[243, 6, 142]"
0,153,"[243, 6, 194]"
