cost,points_total,indexes
973,2044,"[372, 253, 270, 122, 251, 246, 247, 288, 265, 113, 468]"
971,1988,"[372, 253, 270, 122, 251, 246, 247, 288, 265, 113, 282]"
969,1868,"[372, 253, 270, 122, 251, 246, 247, 288, 265, 113, 111]"
970,1945,"[372, 253, 270, 122, 251, 246, 247, 288, 265, 267, 468]"
968,1889,"[372, 253, 270, 122, 251, 246, 247, 288, 265, 267, 282]"
966,1769,"[372, 253, 270, 122, 251, 246, 247, 288, 265, 267, 111]"
967,1890,"[372, 253, 270, 122, 251, 246, 288, 265, 113, 267, 468]"
965,1834,"[372, 253, 270, 122, 251, 246, 288, 265, 113, 267, 282]"
963,1714,"[372, 253, 270, 122, 251, 246, 288, 265, 113, 267, 111]"
966,1865,"[372, 253, 270, 122, 251, 246, 247, 288, 267, 264, 468]"
964,1809,"[372, 253, 270, 122, 251, 246, 247, 288, 267, 264, 282]"
962,1689,"[372, 253, 270, 122, 251, 246, 247, 288, 267, 264, 111]"
965,1862,"[372, 253, 270, 122, 251, 246, 247, 288, 267, 355, 468]"
963,1806,"[372, 253, 270, 122, 251, 246, 247, 288, 267, 355, 282]"
961,1686,"[372, 253, 270, 122, 251, 246, 247, 288, 267, 355, 111]"
963,1802,"[372, 253, 270, 122, 251, 246, 288, 265, 267, 264, 468]"
961,1746,"[372, 253, 270, 122, 251, 246, 288, 265, 267, 264, 282]"
959,1626,"[372, 253, 270, 122, 251, 246, 288, 265, 267, 264, 111]"
962,1799,"[372, 253, 270, 122, 251, 246, 288, 265, 267, 355, 468]"
960,1743,"[372, 253, 270, 122, 251, 246, 288, 265, 267, 355, 282]"
958,1623,"[372, 253, 270, 122, 251, 246, 288, 265, 267, 355, 111]"
961,1797,"[372, 253, 270, 122, 251, 246, 247, 288, 267, 117, 468]"
959,1741,"[372, 253, 270, 122, 251, 246, 247, 288, 267, 117, 282]"
957,1621,"[372, 253, 270, 122, 251, 246, 247, 288, 267, 117, 111]"
960,1752,"[372, 253, 270, 122, 251, 288, 265, 113, 267, 264, 468]"
958,1696,"[372, 253, 270, 122, 251, 288, 265, 113, 267, 264, 282]"
956,1576,"[372, 253, 270, 122, 251, 288, 265, 113, 267, 264, 111]"
959,1749,"[372, 253, 270, 122, 251, 288, 265, 113, 267, 355, 468]"
957,1693,"[372, 253, 270, 122, 251, 288, 265, 113, 267, 355, 282]"
955,1573,"[372, 253, 270, 122, 251, 288, 265, 113, 267, 355, 111]"
958,1719,"[372, 253, 270, 122, 251, 246, 288, 267, 264, 355, 468]"
956,1663,"[372, 253, 270, 122, 251, 246, 288, 267, 264, 355, 282]"
954,1543,"[372, 253, 270, 122, 251, 246, 288, 267, 264, 355, 111]"
957,1706,"[372, 253, 270, 122, 251, 288, 265, 113, 267, 360, 468]"
955,1650,"[372, 253, 270, 122, 251, 288, 265, 113, 267, 360, 282]"
953,1530,"[372, 253, 270, 122, 251, 288, 265, 113, 267, 360, 111]"
956,1676,"[372, 253, 270, 122, 251, 246, 288, 267, 264, 360, 468]"
954,1620,"[372, 253, 270, 122, 251, 246, 288, 267, 264, 360, 282]"
952,1500,"[372, 253, 270, 122, 251, 246, 288, 267, 264, 360, 111]"
955,1661,"[372, 253, 270, 122, 251, 288, 265, 267, 264, 355, 468]"
953,1605,"[372, 253, 270, 122, 251, 288, 265, 267, 264, 355, 282]"
951,1485,"[372, 253, 270, 122, 251, 288, 265, 267, 264, 355, 111]"
954,1654,"[372, 253, 270, 122, 251, 246, 288, 267, 264, 117, 468]"
952,1598,"[372, 253, 270, 122, 251, 246, 288, 267, 264, 117, 282]"
950,1478,"[372, 253, 270, 122, 251, 246, 288, 267, 264, 117, 111]"
953,1618,"[372, 253, 270, 122, 251, 288, 265, 267, 264, 360, 468]"
951,1562,"[372, 253, 270, 122, 251, 288, 265, 267, 264, 360, 282]"
949,1442,"[372, 253, 270, 122, 251, 288, 265, 267, 264, 360, 111]"
952,1615,"[372, 253, 270, 122, 251, 288, 265, 267, 355, 360, 468]"
950,1559,"[372, 253, 270, 122, 251, 288, 265, 267, 355, 360, 282]"
948,1439,"[372, 253, 270, 122, 251, 288, 265, 267, 355, 360, 111]"
951,1596,"[372, 253, 270, 122, 251, 288, 265, 267, 264, 117, 468]"
949,1540,"[372, 253, 270, 122, 251, 288, 265, 267, 264, 117, 282]"
947,1420,"[372, 253, 270, 122, 251, 288, 265, 267, 264, 117, 111]"
950,1593,"[372, 253, 270, 122, 251, 288, 265, 267, 355, 117, 468]"
948,1537,"[372, 253, 270, 122, 251, 288, 265, 267, 355, 117, 282]"
946,1417,"[372, 253, 270, 122, 251, 288, 265, 267, 355, 117, 111]"
949,1575,"[372, 253, 270, 122, 251, 288, 267, 264, 353, 360, 468]"
947,1519,"[372, 253, 270, 122, 251, 288, 267, 264, 353, 360, 282]"
945,1399,"[372, 253, 270, 122, 251, 288, 267, 264, 353, 360, 111]"
948,1535,"[372, 253, 270, 122, 251, 288, 267, 264, 355, 360, 468]"
946,1479,"[372, 253, 270, 122, 251, 288, 267, 264, 355, 360, 282]"
944,1359,"[372, 253, 270, 122, 251, 288, 267, 264, 355, 360, 111]"
946,1513,"[372, 253, 270, 122, 251, 288, 267, 264, 355, 117, 468]"
944,1457,"[372, 253, 270, 122, 251, 288, 267, 264, 355, 117, 282]"
942,1337,"[372, 253, 270, 122, 251, 288, 267, 264, 355, 117, 111]"
944,1470,"[372, 253, 270, 122, 251, 288, 267, 264, 360, 117, 468]"
942,1414,"[372, 253, 270, 122, 251, 288, 267, 264, 360, 117, 282]"
940,1294,"[372, 253, 270, 122, 251, 288, 267, 264, 360, 117, 111]"
943,1467,"[372, 253, 270, 122, 251, 288, 267, 355, 360, 117, 468]"
941,1411,"[372, 253, 270, 122, 251, 288, 267, 355, 360, 117, 282]"
939,1291,"[372, 253, 270, 122, 251, 288, 267, 355, 360, 117, 111]"
940,1456,"[372, 253, 270, 122, 251, 288, 267, 360, 284, 117, 468]"
938,1400,"[372, 253, 270, 122, 251, 288, 267, 360, 284, 117, 282]"
936,1280,"[372, 253, 270, 122, 251, 288, 267, 360, 284, 117, 111]"
938,1436,"[372, 253, 270, 122, 251, 288, 267, 360, 117, 506, 468]"
936,1380,"[372, 253, 270, 122, 251, 288, 267, 360, 117, 506, 282]"
934,1260,"[372, 253, 270, 122, 251, 288, 267, 360, 117, 506, 111]"
937,1427,"[372, 253, 270, 122, 251, 288, 267, 360, 117, 294, 468]"
935,1371,"[372, 253, 270, 122, 251, 288, 267, 360, 117, 294, 282]"
933,1251,"[372, 253, 270, 122, 251, 288, 267, 360, 117, 294, 111]"
936,1422,"[372, 253, 270, 122, 251, 288, 267, 360, 117, 121, 468]"
934,1366,"[372, 253, 270, 122, 251, 288, 267, 360, 117, 121, 282]"
932,1246,"[372, 253, 270, 122, 251, 288, 267, 360, 117, 121, 111]"
934,1400,"[372, 253, 270, 122, 251, 288, 267, 360, 117, 501, 468]"
932,1344,"[372, 253, 270, 122, 251, 288, 267, 360, 117, 501, 282]"
930,1224,"[372, 253, 270, 122, 251, 288, 267, 360, 117, 501, 111]"
929,1397,"[372, 253, 270, 122, 251, 288, 360, 284, 117, 501, 468]"
927,1341,"[372, 253, 270, 122, 251, 288, 360, 284, 117, 501, 282]"
925,1221,"[372, 253, 270, 122, 251, 288, 360, 284, 117, 501, 111]"
928,1390,"[372, 253, 270, 122, 251, 288, 360, 117, 294, 121, 468]"
926,1334,"[372, 253, 270, 122, 251, 288, 360, 117, 294, 121, 282]"
924,1214,"[372, 253, 270, 122, 251, 288, 360, 117, 294, 121, 111]"
927,1376,"[372, 253, 270, 122, 251, 288, 267, 117, 501, 290, 468]"
925,1320,"[372, 253, 270, 122, 251, 288, 267, 117, 501, 290, 282]"
923,1200,"[372, 253, 270, 122, 251, 288, 267, 117, 501, 290, 111]"
926,1368,"[372, 253, 270, 122, 251, 288, 360, 117, 294, 501, 468]"
924,1312,"[372, 253, 270, 122, 251, 288, 360, 117, 294, 501, 282]"
922,1192,"[372, 253, 270, 122, 251, 288, 360, 117, 294, 501, 111]"
925,1363,"[372, 253, 270, 122, 251, 288, 360, 117, 121, 501, 468]"
923,1307,"[372, 253, 270, 122, 251, 288, 360, 117, 121, 501, 282]"
921,1187,"[372, 253, 270, 122, 251, 288, 360, 117, 121, 501, 111]"
923,1341,"[372, 253, 270, 122, 251, 288, 360, 117, 501, 290, 468]"
921,1285,"[372, 253, 270, 122, 251, 288, 360, 117, 501, 290, 282]"
919,1165,"[372, 253, 270, 122, 251, 288, 360, 117, 501, 290, 111]"
918,1339,"[372, 253, 270, 122, 251, 288, 360, 501, 290, 424, 468]"
916,1283,"[372, 253, 270, 122, 251, 288, 360, 501, 290, 424, 282]"
914,1163,"[372, 253, 270, 122, 251, 288, 360, 501, 290, 424, 111]"
916,1317,"[372, 253, 270, 122, 251, 288, 117, 501, 290, 424, 468]"
914,1261,"[372, 253, 270, 122, 251, 288, 117, 501, 290, 424, 282]"
912,1141,"[372, 253, 270, 122, 251, 288, 117, 501, 290, 424, 111]"
906,1315,"[372, 253, 270, 122, 251, 288, 501, 290, 424, 163, 468]"
904,1259,"[372, 253, 270, 122, 251, 288, 501, 290, 424, 163, 282]"
902,1139,"[372, 253, 270, 122, 251, 288, 501, 290, 424, 163, 111]"
902,1302,"[372, 253, 270, 122, 251, 117, 501, 290, 424, 114, 468]"
900,1246,"[372, 253, 270, 122, 251, 117, 501, 290, 424, 114, 282]"
898,1126,"[372, 253, 270, 122, 251, 117, 501, 290, 424, 114, 111]"
897,1300,"[372, 253, 270, 122, 251, 117, 501, 290, 424, 163, 468]"
895,1244,"[372, 253, 270, 122, 251, 117, 501, 290, 424, 163, 282]"
893,1124,"[372, 253, 270, 122, 251, 117, 501, 290, 424, 163, 111]"
887,1298,"[372, 253, 270, 122, 251, 501, 290, 424, 163, 404, 468]"
885,1242,"[372, 253, 270, 122, 251, 501, 290, 424, 163, 404, 282]"
883,1122,"[372, 253, 270, 122, 251, 501, 290, 424, 163, 404, 111]"
970,1860,"[372, 253, 270, 122, 295, 246, 247, 288, 265, 113, 468]"
