total_points,now_cost,indexes
731,359,"[253, 270, 122]"
724,352,"[253, 270, 251]"
540,349,"[253, 270, 295]"
537,335,"[253, 251, 295]"
365,328,"[253, 295, 273]"
340,313,"[270, 295, 273]"
329,301,"[253, 295, 250]"
308,296,"[253, 295, 248]"
306,292,"[253, 295, 171]"
262,289,"[295, 273, 275]"
200,284,"[295, 273, 365]"
195,275,"[295, 273, 13]"
173,267,"[295, 273, 256]"
129,265,"[295, 273, 250]"
108,260,"[295, 273, 248]"
106,256,"[295, 273, 171]"
97,236,"[295, 250, 453]"
72,233,"[295, 250, 248]"
70,229,"[295, 250, 171]"
55,226,"[295, 248, 123]"
49,224,"[295, 248, 171]"
47,218,"[295, 171, 165]"
31,195,"[250, 248, 123]"
25,193,"[250, 248, 171]"
23,187,"[250, 171, 165]"
8,186,"[248, 123, 171]"
2,182,"[248, 171, 165]"
0,173,"[171, 165, 341]"
