total_points,now_cost,indexes
42,114,"[362, 506, 319]"
97,115,"[362, 506, 36]"
76,115,"[362, 319, 36]"
76,115,"[506, 319, 36]"
105,116,"[362, 36, 365]"
105,116,"[506, 36, 365]"
110,117,"[362, 36, 322]"
110,117,"[506, 36, 322]"
130,118,"[362, 36, 495]"
130,118,"[506, 36, 495]"
128,118,"[362, 36, 633]"
147,119,"[362, 36, 413]"
147,119,"[506, 36, 413]"
145,119,"[362, 36, 346]"
159,120,"[362, 36, 11]"
159,120,"[506, 36, 11]"
155,120,"[36, 365, 413]"
170,121,"[362, 36, 56]"
170,121,"[506, 36, 56]"
167,121,"[36, 365, 11]"
180,122,"[36, 495, 413]"
178,122,"[36, 365, 56]"
178,122,"[36, 495, 346]"
195,123,"[36, 413, 346]"
195,123,"[36, 413, 452]"
193,123,"[36, 346, 452]"
209,124,"[36, 413, 11]"
207,124,"[36, 346, 11]"
207,124,"[36, 452, 11]"
220,125,"[36, 413, 56]"
218,125,"[36, 346, 56]"
218,125,"[36, 452, 56]"
232,126,"[36, 11, 56]"
220,126,"[36, 11, 358]"
231,127,"[36, 56, 358]"
230,127,"[36, 413, 34]"
242,128,"[36, 11, 34]"
241,128,"[36, 11, 321]"
240,128,"[36, 56, 57]"
253,129,"[36, 56, 34]"
252,129,"[36, 56, 321]"
248,129,"[413, 11, 56]"
250,130,"[36, 11, 32]"
262,131,"[36, 34, 321]"
261,131,"[36, 56, 32]"
259,131,"[36, 11, 278]"
270,132,"[36, 56, 278]"
269,132,"[36, 11, 436]"
269,132,"[413, 56, 34]"
281,133,"[11, 56, 34]"
280,133,"[36, 56, 436]"
280,133,"[11, 56, 321]"
290,135,"[36, 34, 436]"
290,135,"[11, 34, 321]"
289,135,"[36, 321, 436]"
301,136,"[56, 34, 321]"
298,136,"[11, 56, 278]"
296,136,"[413, 56, 436]"
308,137,"[11, 56, 436]"
299,137,"[11, 34, 32]"
310,138,"[56, 34, 32]"
309,138,"[56, 321, 32]"
319,139,"[56, 34, 278]"
318,139,"[11, 34, 436]"
318,139,"[56, 321, 278]"
329,140,"[56, 34, 436]"
328,140,"[56, 321, 436]"
328,141,"[34, 321, 278]"
338,142,"[34, 321, 436]"
337,142,"[56, 32, 436]"
335,142,"[11, 278, 436]"
346,143,"[56, 278, 436]"
347,144,"[34, 32, 436]"
346,144,"[321, 32, 436]"
356,145,"[34, 278, 436]"
355,145,"[321, 278, 436]"
349,145,"[56, 278, 33]"
359,146,"[56, 436, 33]"
364,147,"[32, 278, 436]"
359,147,"[34, 278, 33]"
369,148,"[34, 436, 33]"
368,148,"[321, 436, 33]"
367,149,"[32, 278, 33]"
377,150,"[32, 436, 33]"
370,150,"[32, 436, 359]"
386,151,"[278, 436, 33]"
379,151,"[278, 436, 359]"
378,152,"[436, 58, 33]"
382,153,"[278, 33, 359]"
392,154,"[436, 33, 359]"
385,155,"[278, 436, 126]"
388,157,"[278, 33, 126]"
387,157,"[278, 436, 125]"
398,158,"[436, 33, 126]"
395,158,"[56, 436, 77]"
395,159,"[34, 278, 77]"
405,160,"[34, 436, 77]"
404,160,"[321, 436, 77]"
400,160,"[436, 33, 125]"
403,161,"[56, 436, 78]"
413,162,"[32, 436, 77]"
408,162,"[34, 33, 77]"
407,162,"[321, 33, 77]"
422,163,"[278, 436, 77]"
413,163,"[34, 436, 78]"
416,164,"[32, 33, 77]"
414,164,"[436, 58, 77]"
425,165,"[278, 33, 77]"
421,165,"[32, 436, 78]"
435,166,"[436, 33, 77]"
430,166,"[278, 436, 78]"
428,166,"[436, 359, 77]"
433,168,"[278, 33, 78]"
431,168,"[33, 359, 77]"
443,169,"[436, 33, 78]"
436,169,"[436, 359, 78]"
442,171,"[436, 33, 561]"
439,171,"[33, 359, 78]"
442,173,"[436, 126, 78]"
445,175,"[33, 126, 78]"
444,175,"[436, 125, 78]"
452,177,"[34, 77, 78]"
451,177,"[321, 77, 78]"
447,177,"[33, 125, 78]"
460,179,"[32, 77, 78]"
469,180,"[278, 77, 78]"
454,180,"[191, 77, 78]"
479,181,"[436, 77, 78]"
461,181,"[58, 77, 78]"
468,182,"[278, 77, 561]"
482,183,"[33, 77, 78]"
478,183,"[436, 77, 561]"
481,185,"[33, 77, 561]"
486,186,"[436, 78, 561]"
489,188,"[33, 78, 561]"
483,189,"[125, 77, 78]"
488,192,"[126, 78, 561]"
490,193,"[384, 77, 78]"
490,194,"[125, 78, 561]"
497,198,"[384, 78, 561]"
525,200,"[77, 78, 561]"
