total_points,now_cost,indexes
17,121,"[610, 611, 146]"
57,122,"[610, 611, 339]"
51,122,"[610, 611, 410]"
45,122,"[610, 611, 413]"
72,123,"[610, 146, 339]"
71,123,"[610, 611, 323]"
70,123,"[611, 146, 339]"
67,123,"[610, 611, 56]"
66,123,"[610, 146, 410]"
64,123,"[611, 146, 410]"
60,123,"[610, 611, 527]"
60,123,"[610, 146, 413]"
58,123,"[611, 146, 413]"
108,124,"[610, 611, 504]"
106,124,"[610, 339, 410]"
104,124,"[611, 339, 410]"
100,124,"[610, 339, 413]"
98,124,"[611, 339, 413]"
94,124,"[610, 410, 413]"
92,124,"[610, 611, 340]"
92,124,"[611, 410, 413]"
86,124,"[610, 146, 323]"
84,124,"[611, 146, 323]"
82,124,"[610, 146, 56]"
80,124,"[611, 146, 56]"
77,124,"[610, 611, 534]"
75,124,"[610, 146, 527]"
73,124,"[611, 146, 527]"
126,125,"[610, 339, 323]"
124,125,"[611, 339, 323]"
123,125,"[610, 146, 504]"
122,125,"[610, 339, 56]"
121,125,"[611, 146, 504]"
120,125,"[610, 410, 323]"
120,125,"[611, 339, 56]"
119,125,"[146, 339, 410]"
118,125,"[611, 410, 323]"
116,125,"[610, 410, 56]"
115,125,"[610, 339, 527]"
114,125,"[610, 413, 323]"
114,125,"[611, 410, 56]"
113,125,"[611, 339, 527]"
113,125,"[146, 339, 413]"
112,125,"[611, 413, 323]"
110,125,"[610, 413, 56]"
109,125,"[610, 410, 527]"
108,125,"[611, 413, 56]"
107,125,"[610, 146, 340]"
107,125,"[611, 410, 527]"
107,125,"[146, 410, 413]"
105,125,"[611, 146, 340]"
103,125,"[610, 413, 527]"
101,125,"[611, 413, 527]"
92,125,"[610, 146, 534]"
90,125,"[611, 146, 534]"
163,126,"[610, 339, 504]"
161,126,"[611, 339, 504]"
157,126,"[610, 410, 504]"
155,126,"[611, 410, 504]"
151,126,"[610, 413, 504]"
149,126,"[611, 413, 504]"
147,126,"[610, 339, 340]"
147,126,"[339, 410, 413]"
145,126,"[611, 339, 340]"
141,126,"[610, 410, 340]"
139,126,"[611, 410, 340]"
139,126,"[146, 339, 323]"
136,126,"[610, 323, 56]"
135,126,"[610, 413, 340]"
135,126,"[146, 339, 56]"
134,126,"[611, 323, 56]"
133,126,"[611, 413, 340]"
133,126,"[146, 410, 323]"
132,126,"[610, 339, 534]"
130,126,"[611, 339, 534]"
129,126,"[610, 323, 527]"
129,126,"[146, 410, 56]"
128,126,"[146, 339, 527]"
127,126,"[611, 323, 527]"
127,126,"[146, 413, 323]"
126,126,"[610, 410, 534]"
125,126,"[610, 56, 527]"
124,126,"[611, 410, 534]"
123,126,"[611, 56, 527]"
123,126,"[146, 413, 56]"
122,126,"[146, 410, 527]"
120,126,"[610, 413, 534]"
118,126,"[611, 413, 534]"
116,126,"[146, 413, 527]"
113,126,"[610, 611, 80]"
98,126,"[610, 611, 459]"
177,127,"[610, 323, 504]"
176,127,"[146, 339, 504]"
175,127,"[611, 323, 504]"
173,127,"[610, 56, 504]"
173,127,"[339, 410, 323]"
171,127,"[611, 56, 504]"
170,127,"[146, 410, 504]"
169,127,"[339, 410, 56]"
167,127,"[339, 413, 323]"
166,127,"[610, 527, 504]"
164,127,"[611, 527, 504]"
164,127,"[146, 413, 504]"
163,127,"[339, 413, 56]"
162,127,"[339, 410, 527]"
161,127,"[610, 323, 340]"
161,127,"[410, 413, 323]"
160,127,"[146, 339, 340]"
159,127,"[611, 323, 340]"
157,127,"[610, 56, 340]"
157,127,"[410, 413, 56]"
156,127,"[339, 413, 527]"
155,127,"[611, 56, 340]"
154,127,"[146, 410, 340]"
150,127,"[610, 527, 340]"
150,127,"[410, 413, 527]"
149,127,"[146, 323, 56]"
148,127,"[611, 527, 340]"
148,127,"[146, 413, 340]"
146,127,"[610, 323, 534]"
145,127,"[146, 339, 534]"
144,127,"[611, 323, 534]"
142,127,"[610, 56, 534]"
142,127,"[146, 323, 527]"
