total_points,now_cost,indexes
100,126,"[534, 504, 464]"
184,127,"[534, 504, 70]"
145,127,"[534, 464, 70]"
123,127,"[504, 464, 70]"
162,130,"[534, 504, 315]"
123,130,"[534, 464, 315]"
101,130,"[504, 464, 315]"
207,131,"[534, 70, 315]"
185,131,"[504, 70, 315]"
146,131,"[464, 70, 315]"
203,132,"[534, 504, 234]"
164,132,"[534, 464, 234]"
142,132,"[504, 464, 234]"
248,133,"[534, 70, 234]"
226,133,"[504, 70, 234]"
187,133,"[464, 70, 234]"
232,135,"[534, 504, 468]"
193,135,"[534, 464, 468]"
171,135,"[504, 464, 468]"
277,136,"[534, 70, 468]"
255,136,"[504, 70, 468]"
226,136,"[534, 315, 234]"
216,136,"[464, 70, 468]"
204,136,"[504, 315, 234]"
165,136,"[464, 315, 234]"
249,137,"[70, 315, 234]"
255,139,"[534, 315, 468]"
233,139,"[504, 315, 468]"
194,139,"[464, 315, 468]"
186,139,"[534, 504, 501]"
147,139,"[534, 464, 501]"
125,139,"[504, 464, 501]"
278,140,"[70, 315, 468]"
231,140,"[534, 70, 501]"
209,140,"[504, 70, 501]"
170,140,"[464, 70, 501]"
296,141,"[534, 234, 468]"
274,141,"[504, 234, 468]"
235,141,"[464, 234, 468]"
231,141,"[534, 504, 502]"
192,141,"[534, 464, 502]"
170,141,"[504, 464, 502]"
319,142,"[70, 234, 468]"
276,142,"[534, 70, 502]"
254,142,"[504, 70, 502]"
215,142,"[464, 70, 502]"
209,143,"[534, 315, 501]"
187,143,"[504, 315, 501]"
148,143,"[464, 315, 501]"
232,144,"[70, 315, 501]"
205,144,"[534, 504, 410]"
166,144,"[534, 464, 410]"
144,144,"[504, 464, 410]"
297,145,"[315, 234, 468]"
254,145,"[534, 315, 502]"
250,145,"[534, 70, 410]"
250,145,"[534, 234, 501]"
232,145,"[504, 315, 502]"
228,145,"[504, 70, 410]"
228,145,"[504, 234, 501]"
226,145,"[534, 504, 147]"
193,145,"[464, 315, 502]"
189,145,"[464, 70, 410]"
189,145,"[464, 234, 501]"
187,145,"[534, 464, 147]"
165,145,"[504, 464, 147]"
277,146,"[70, 315, 502]"
273,146,"[70, 234, 501]"
271,146,"[534, 70, 147]"
249,146,"[504, 70, 147]"
236,146,"[534, 504, 91]"
210,146,"[464, 70, 147]"
197,146,"[534, 464, 91]"
175,146,"[504, 464, 91]"
295,147,"[534, 234, 502]"
281,147,"[534, 70, 91]"
273,147,"[504, 234, 502]"
259,147,"[504, 70, 91]"
234,147,"[464, 234, 502]"
220,147,"[464, 70, 91]"
318,148,"[70, 234, 502]"
279,148,"[534, 468, 501]"
257,148,"[504, 468, 501]"
239,148,"[534, 504, 278]"
228,148,"[534, 315, 410]"
218,148,"[464, 468, 501]"
206,148,"[504, 315, 410]"
200,148,"[534, 464, 278]"
178,148,"[504, 464, 278]"
167,148,"[464, 315, 410]"
302,149,"[70, 468, 501]"
284,149,"[534, 70, 278]"
262,149,"[504, 70, 278]"
251,149,"[70, 315, 410]"
251,149,"[315, 234, 501]"
249,149,"[534, 315, 147]"
227,149,"[504, 315, 147]"
223,149,"[464, 70, 278]"
188,149,"[464, 315, 147]"
324,150,"[534, 468, 502]"
302,150,"[504, 468, 502]"
272,150,"[70, 315, 147]"
269,150,"[534, 234, 410]"
263,150,"[464, 468, 502]"
259,150,"[534, 315, 91]"
247,150,"[504, 234, 410]"
237,150,"[504, 315, 91]"
208,150,"[464, 234, 410]"
198,150,"[464, 315, 91]"
347,151,"[70, 468, 502]"
296,151,"[315, 234, 502]"
292,151,"[70, 234, 410]"
290,151,"[534, 234, 147]"
282,151,"[70, 315, 91]"
268,151,"[504, 234, 147]"
229,151,"[464, 234, 147]"
313,152,"[70, 234, 147]"
300,152,"[534, 234, 91]"
280,152,"[315, 468, 501]"
278,152,"[504, 234, 91]"
262,152,"[534, 315, 278]"
240,152,"[504, 315, 278]"
239,152,"[464, 234, 91]"
201,152,"[464, 315, 278]"
323,153,"[70, 234, 91]"
298,153,"[534, 468, 410]"
285,153,"[70, 315, 278]"
276,153,"[504, 468, 410]"
237,153,"[464, 468, 410]"
325,154,"[315, 468, 502]"
321,154,"[70, 468, 410]"
321,154,"[234, 468, 501]"
319,154,"[534, 468, 147]"
303,154,"[534, 234, 278]"
297,154,"[504, 468, 147]"
281,154,"[504, 234, 278]"
278,154,"[534, 501, 502]"
270,154,"[315, 234, 410]"
258,154,"[464, 468, 147]"
256,154,"[504, 501, 502]"
242,154,"[464, 234, 278]"
217,154,"[464, 501, 502]"
342,155,"[70, 468, 147]"
329,155,"[534, 468, 91]"
326,155,"[70, 234, 278]"
307,155,"[504, 468, 91]"
301,155,"[70, 501, 502]"
291,155,"[315, 234, 147]"
268,155,"[464, 468, 91]"
366,156,"[234, 468, 502]"
352,156,"[70, 468, 91]"
301,156,"[315, 234, 91]"
332,157,"[534, 468, 278]"
310,157,"[504, 468, 278]"
299,157,"[315, 468, 410]"
271,157,"[464, 468, 278]"
253,157,"[534, 504, 460]"
252,157,"[534, 501, 410]"
230,157,"[504, 501, 410]"
214,157,"[534, 464, 460]"
192,157,"[504, 464, 460]"
191,157,"[464, 501, 410]"
355,158,"[70, 468, 278]"
320,158,"[315, 468, 147]"
304,158,"[315, 234, 278]"
298,158,"[534, 70, 460]"
279,158,"[315, 501, 502]"
276,158,"[504, 70, 460]"
275,158,"[70, 501, 410]"
273,158,"[534, 501, 147]"
251,158,"[504, 501, 147]"
237,158,"[464, 70, 460]"
212,158,"[464, 501, 147]"
340,159,"[234, 468, 410]"
330,159,"[315, 468, 91]"
297,159,"[534, 502, 410]"
296,159,"[70, 501, 147]"
283,159,"[534, 501, 91]"
275,159,"[504, 502, 410]"
261,159,"[504, 501, 91]"
236,159,"[464, 502, 410]"
222,159,"[464, 501, 91]"
361,160,"[234, 468, 147]"
320,160,"[70, 502, 410]"
320,160,"[234, 501, 502]"
318,160,"[534, 502, 147]"
306,160,"[70, 501, 91]"
298,160,"[534, 504, 313]"
296,160,"[504, 502, 147]"
259,160,"[534, 464, 313]"
257,160,"[464, 502, 147]"
237,160,"[504, 464, 313]"
371,161,"[234, 468, 91]"
343,161,"[534, 70, 313]"
341,161,"[70, 502, 147]"
333,161,"[315, 468, 278]"
328,161,"[534, 502, 91]"
321,161,"[504, 70, 313]"
306,161,"[504, 502, 91]"
286,161,"[534, 501, 278]"
282,161,"[464, 70, 313]"
276,161,"[534, 315, 460]"
267,161,"[464, 502, 91]"
264,161,"[504, 501, 278]"
254,161,"[504, 315, 460]"
253,161,"[315, 501, 410]"
225,161,"[464, 501, 278]"
215,161,"[464, 315, 460]"
351,162,"[70, 502, 91]"
309,162,"[70, 501, 278]"
299,162,"[70, 315, 460]"
274,162,"[315, 501, 147]"
374,163,"[234, 468, 278]"
349,163,"[468, 501, 502]"
331,163,"[534, 502, 278]"
317,163,"[534, 234, 460]"
309,163,"[504, 502, 278]"
298,163,"[315, 502, 410]"
295,163,"[504, 234, 460]"
294,163,"[234, 501, 410]"
292,163,"[534, 410, 147]"
284,163,"[315, 501, 91]"
270,163,"[504, 410, 147]"
270,163,"[464, 502, 278]"
256,163,"[464, 234, 460]"
231,163,"[464, 410, 147]"
354,164,"[70, 502, 278]"
340,164,"[70, 234, 460]"
321,164,"[534, 315, 313]"
319,164,"[315, 502, 147]"
315,164,"[70, 410, 147]"
315,164,"[234, 501, 147]"
302,164,"[534, 410, 91]"
299,164,"[504, 315, 313]"
294,164,"[534, 504, 409]"
280,164,"[504, 410, 91]"
260,164,"[464, 315, 313]"
255,164,"[534, 464, 409]"
241,164,"[464, 410, 91]"
233,164,"[504, 464, 409]"
344,165,"[70, 315, 313]"
339,165,"[534, 70, 409]"
339,165,"[234, 502, 410]"
329,165,"[315, 502, 91]"
325,165,"[70, 410, 91]"
325,165,"[234, 501, 91]"
323,165,"[534, 147, 91]"
317,165,"[504, 70, 409]"
301,165,"[504, 147, 91]"
287,165,"[315, 501, 278]"
278,165,"[464, 70, 409]"
262,165,"[464, 147, 91]"
362,166,"[534, 234, 313]"
360,166,"[234, 502, 147]"
346,166,"[534, 468, 460]"
346,166,"[70, 147, 91]"
340,166,"[504, 234, 313]"
324,166,"[504, 468, 460]"
323,166,"[468, 501, 410]"
305,166,"[534, 410, 278]"
301,166,"[464, 234, 313]"
285,166,"[464, 468, 460]"
283,166,"[504, 410, 278]"
244,166,"[464, 410, 278]"
385,167,"[70, 234, 313]"
370,167,"[234, 502, 91]"
369,167,"[70, 468, 460]"
344,167,"[468, 501, 147]"
332,167,"[315, 502, 278]"
328,167,"[70, 410, 278]"
328,167,"[234, 501, 278]"
326,167,"[534, 147, 278]"
318,167,"[315, 234, 460]"
304,167,"[504, 147, 278]"
293,167,"[315, 410, 147]"
265,167,"[464, 147, 278]"
368,168,"[468, 502, 410]"
354,168,"[468, 501, 91]"
349,168,"[70, 147, 278]"
336,168,"[534, 91, 278]"
317,168,"[534, 315, 409]"
314,168,"[504, 91, 278]"
303,168,"[315, 410, 91]"
295,168,"[504, 315, 409]"
275,168,"[464, 91, 278]"
256,168,"[464, 315, 409]"
391,169,"[534, 468, 313]"
389,169,"[468, 502, 147]"
373,169,"[234, 502, 278]"
369,169,"[504, 468, 313]"
359,169,"[70, 91, 278]"
340,169,"[70, 315, 409]"
334,169,"[234, 410, 147]"
330,169,"[464, 468, 313]"
324,169,"[315, 147, 91]"
414,170,"[70, 468, 313]"
399,170,"[468, 502, 91]"
363,170,"[315, 234, 313]"
358,170,"[534, 234, 409]"
357,170,"[468, 501, 278]"
347,170,"[315, 468, 460]"
344,170,"[234, 410, 91]"
336,170,"[504, 234, 409]"
306,170,"[315, 410, 278]"
300,170,"[534, 501, 460]"
297,170,"[464, 234, 409]"
278,170,"[504, 501, 460]"
