,Budget,Linear/Normal,Mean cost,Mean points,Mean 50 best p,Mean 50 worst p,Ratio points/costs
0,600,Linear: 1,598,666,1123,223,1.113
1,600,Normal,596,630,1077,197,1.058
2,650,Linear: 1,643,764,1233,278,1.188
3,650,Normal,640,692,1149,246,1.081
4,700,Linear: 1,697,793,1244,328,1.137
5,700,Normal,690,781,1248,305,1.132
6,750,Linear: 4,744,847,1312,344,1.137
7,750,Normal,740,780,1258,292,1.054
8,800,Linear: 6,790,860,1311,380,1.088
9,800,Normal,789,854,1345,327,1.082
10,850,Linear: 6,841,927,1426,417,1.101
11,850,Normal,842,922,1399,415,1.095
12,900,Linear: 8,890,815,1227,367,0.915
13,900,Normal,892,956,1430,471,1.072
14,950,Linear: 7,941,898,1342,413,0.954
15,950,Normal,939,978,1449,480,1.042
16,1000,Linear: 6,989,1029,1430,586,1.04
17,1000,Normal,989,969,1413,479,0.98
