,Budget,Best total cost,Best total points,Sorted individual costs,Individual costs
0,500,500,1260,"[41, 42, 43, 43, 44, 45, 45, 46, 50, 50, 51]","[51, 50, 50, 45, 45, 46, 43, 44, 42, 43, 41]"
1,550,550,1462,"[42, 43, 45, 45, 46, 50, 50, 51, 52, 62, 64]","[62, 64, 51, 52, 50, 50, 45, 45, 46, 43, 42]"
2,600,598,1577,"[45, 45, 50, 50, 51, 52, 58, 58, 62, 63, 64]","[62, 64, 58, 51, 63, 58, 52, 50, 50, 45, 45]"
3,650,642,1609,"[50, 51, 52, 58, 58, 59, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 59]"
4,650,639,1609,"[50, 51, 52, 56, 58, 58, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 56]"
5,650,638,1609,"[50, 51, 52, 55, 58, 58, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 55]"
6,700,642,1609,"[50, 51, 52, 58, 58, 59, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 59]"
7,700,639,1609,"[50, 51, 52, 56, 58, 58, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 56]"
8,700,638,1609,"[50, 51, 52, 55, 58, 58, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 55]"
9,750,642,1609,"[50, 51, 52, 58, 58, 59, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 59]"
10,750,639,1609,"[50, 51, 52, 56, 58, 58, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 56]"
11,750,638,1609,"[50, 51, 52, 55, 58, 58, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 55]"
12,800,642,1609,"[50, 51, 52, 58, 58, 59, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 59]"
13,800,639,1609,"[50, 51, 52, 56, 58, 58, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 56]"
14,800,638,1609,"[50, 51, 52, 55, 58, 58, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 55]"
15,850,642,1609,"[50, 51, 52, 58, 58, 59, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 59]"
16,850,639,1609,"[50, 51, 52, 56, 58, 58, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 56]"
17,850,638,1609,"[50, 51, 52, 55, 58, 58, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 55]"
18,900,642,1609,"[50, 51, 52, 58, 58, 59, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 59]"
19,900,639,1609,"[50, 51, 52, 56, 58, 58, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 56]"
20,900,638,1609,"[50, 51, 52, 55, 58, 58, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 55]"
21,950,642,1609,"[50, 51, 52, 58, 58, 59, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 59]"
22,950,639,1609,"[50, 51, 52, 56, 58, 58, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 56]"
23,950,638,1609,"[50, 51, 52, 55, 58, 58, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 55]"
24,1000,642,1609,"[50, 51, 52, 58, 58, 59, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 59]"
25,1000,639,1609,"[50, 51, 52, 56, 58, 58, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 56]"
26,1000,638,1609,"[50, 51, 52, 55, 58, 58, 62, 62, 63, 63, 64]","[62, 64, 58, 51, 63, 62, 63, 58, 52, 50, 55]"
