Budget,Best total cost,Best total points,Individual costs,Formation
500,500,1145,"[43, 43, 44, 44, 44, 45, 46, 46, 46, 49, 50]","[3, 5, 2]"
550,550,1374,"[44, 44, 45, 46, 49, 49, 50, 51, 52, 58, 62]","[3, 5, 2]"
600,600,1542,"[45, 46, 49, 50, 51, 52, 57, 58, 62, 63, 67]","[3, 5, 2]"
650,650,1676,"[45, 50, 51, 55, 58, 61, 62, 63, 64, 67, 74]","[3, 5, 2]"
700,699,1804,"[45, 50, 51, 58, 62, 63, 64, 67, 74, 74, 91]","[3, 5, 2]"
750,749,1919,"[45, 51, 62, 63, 64, 67, 69, 74, 74, 89, 91]","[3, 5, 2]"
800,800,2012,"[51, 58, 62, 64, 67, 69, 74, 74, 89, 91, 101]","[3, 5, 2]"
850,848,2107,"[51, 62, 63, 64, 67, 69, 74, 89, 91, 101, 117]","[3, 5, 2]"
900,890,2170,"[51, 62, 64, 67, 69, 74, 89, 91, 101, 105, 117]","[3, 5, 2]"
950,947,2231,"[51, 64, 67, 69, 74, 89, 91, 101, 105, 117, 119]","[3, 5, 2]"
1000,978,2249,"[51, 64, 67, 69, 89, 91, 101, 105, 105, 117, 119]","[3, 5, 2]"
