,Budget,Linear mean cost,Linear mean points,n linear,Non linear cost,Non linear points,Non linear n,Div mean cost,Div mean points,n div,Non div cost,Non div points,Non div n,Both mean cost,Both mean points,n both,Non both cost,Non both points,Non both n
0,500,"{0.8: 480.0, 0.85: 478.0, 0.9: 477.0}","{0.8: 883.0, 0.85: 879.0, 0.9: 860.0}","[19, 18, 15]","{0.8: 484.0, 0.85: 485.0, 0.9: 485.0}","{0.8: 827.0, 0.85: 831.0, 0.9: 844.0}","[31, 32, 35]","{4: 481.0, 3: 468.0, 2: 456.0}","{4: 901.0, 3: 800.0, 2: 661.0}","[16, 4, 1]","{4: 483.0, 3: 484.0, 2: 483.0}","{4: 824.0, 3: 853.0, 2: 852.0}","[34, 46, 49]","{'0.8, 2': 482.0, '0.85, 3': 468.0, '0.9, 4': 456.0}","{'0.8, 2': 898.0, '0.85, 3': 800.0, '0.9, 4': 661.0}","[14, 4, 1]","{'0.8, 2': 483.0, '0.85, 3': 484.0, '0.9, 4': 483.0}","{'0.8, 2': 829.0, '0.85, 3': 853.0, '0.9, 4': 852.0}","[36, 46, 49]"
1,550,"{0.8: 529.0, 0.85: 529.0, 0.9: 524.0}","{0.8: 1155.0, 0.85: 1139.0, 0.9: 1088.0}","[22, 12, 6]","{0.8: 523.0, 0.85: 524.0, 0.9: 526.0}","{0.8: 1079.0, 0.85: 1104.0, 0.9: 1116.0}","[28, 38, 44]","{4: 524.0, 3: 524.0, 2: 518.0}","{4: 1124.0, 3: 1143.0, 2: 1058.0}","[18, 4, 2]","{4: 526.0, 3: 525.0, 2: 526.0}","{4: 1106.0, 3: 1110.0, 2: 1115.0}","[32, 46, 48]","{'0.8, 2': 526.0, '0.85, 3': 524.0, '0.9, 4': 518.0}","{'0.8, 2': 1127.0, '0.85, 3': 1143.0, '0.9, 4': 1058.0}","[14, 4, 2]","{'0.8, 2': 525.0, '0.85, 3': 525.0, '0.9, 4': 526.0}","{'0.8, 2': 1107.0, '0.85, 3': 1110.0, '0.9, 4': 1115.0}","[36, 46, 48]"
2,600,"{0.8: 579.0, 0.85: 579.0, 0.9: 582.0}","{0.8: 1353.0, 0.85: 1358.0, 0.9: 1378.0}","[31, 28, 20]","{0.8: 570.0, 0.85: 571.0, 0.9: 571.0}","{0.8: 1230.0, 0.85: 1240.0, 0.9: 1259.0}","[19, 22, 30]","{4: 578.0, 3: 574.0, 2: 582.0}","{4: 1354.0, 3: 1338.0, 2: 1432.0}","[28, 12, 2]","{4: 573.0, 3: 576.0, 2: 575.0}","{4: 1246.0, 3: 1296.0, 2: 1301.0}","[22, 38, 48]","{'0.8, 2': 578.0, '0.85, 3': 574.0, '0.9, 4': 582.0}","{'0.8, 2': 1359.0, '0.85, 3': 1338.0, '0.9, 4': 1432.0}","[26, 12, 2]","{'0.8, 2': 573.0, '0.85, 3': 576.0, '0.9, 4': 575.0}","{'0.8, 2': 1249.0, '0.85, 3': 1296.0, '0.9, 4': 1301.0}","[24, 38, 48]"
3,650,"{0.8: 623.0, 0.85: 621.0, 0.9: 619.0}","{0.8: 1486.0, 0.85: 1503.0, 0.9: 1526.0}","[24, 19, 13]","{0.8: 627.0, 0.85: 627.0, 0.9: 627.0}","{0.8: 1451.0, 0.85: 1446.0, 0.9: 1447.0}","[26, 31, 37]","{4: 622.0, 3: 626.0, 2: 627.0}","{4: 1485.0, 3: 1532.0, 2: 1554.0}","[22, 12, 3]","{4: 627.0, 3: 625.0, 2: 625.0}","{4: 1454.0, 3: 1447.0, 2: 1462.0}","[28, 38, 47]","{'0.8, 2': 622.0, '0.85, 3': 625.0, '0.9, 4': 627.0}","{'0.8, 2': 1503.0, '0.85, 3': 1535.0, '0.9, 4': 1554.0}","[19, 11, 3]","{'0.8, 2': 627.0, '0.85, 3': 625.0, '0.9, 4': 625.0}","{'0.8, 2': 1446.0, '0.85, 3': 1449.0, '0.9, 4': 1462.0}","[31, 39, 47]"
4,700,"{0.8: 674.0, 0.85: 673.0, 0.9: 676.0}","{0.8: 1586.0, 0.85: 1586.0, 0.9: 1584.0}","[29, 18, 7]","{0.8: 674.0, 0.85: 675.0, 0.9: 674.0}","{0.8: 1554.0, 0.85: 1564.0, 0.9: 1570.0}","[21, 32, 43]","{4: 679.0, 3: 687.0, 2: nan}","{4: 1598.0, 3: 1618.0, 2: nan}","[19, 4, 0]","{4: 671.0, 3: 673.0, 2: 674.0}","{4: 1556.0, 3: 1568.0, 2: 1572.0}","[31, 46, 50]","{'0.8, 2': 680.0, '0.85, 3': 687.0, '0.9, 4': nan}","{'0.8, 2': 1619.0, '0.85, 3': 1618.0, '0.9, 4': nan}","[14, 4, 0]","{'0.8, 2': 672.0, '0.85, 3': 673.0, '0.9, 4': 674.0}","{'0.8, 2': 1554.0, '0.85, 3': 1568.0, '0.9, 4': 1572.0}","[36, 46, 50]"
5,750,"{0.8: 723.0, 0.85: 723.0, 0.9: 722.0}","{0.8: 1664.0, 0.85: 1649.0, 0.9: 1616.0}","[42, 32, 16]","{0.8: 711.0, 0.85: 717.0, 0.9: 720.0}","{0.8: 1725.0, 0.85: 1717.0, 0.9: 1700.0}","[8, 18, 34]","{4: 723.0, 3: 716.0, 2: nan}","{4: 1654.0, 3: 1660.0, 2: nan}","[30, 6, 0]","{4: 718.0, 3: 722.0, 2: 721.0}","{4: 1702.0, 3: 1675.0, 2: 1673.0}","[20, 44, 50]","{'0.8, 2': 723.0, '0.85, 3': 716.0, '0.9, 4': nan}","{'0.8, 2': 1651.0, '0.85, 3': 1660.0, '0.9, 4': nan}","[29, 6, 0]","{'0.8, 2': 718.0, '0.85, 3': 722.0, '0.9, 4': 721.0}","{'0.8, 2': 1704.0, '0.85, 3': 1675.0, '0.9, 4': 1673.0}","[21, 44, 50]"
6,800,"{0.8: 769.0, 0.85: 769.0, 0.9: 772.0}","{0.8: 1767.0, 0.85: 1757.0, 0.9: 1744.0}","[46, 42, 25]","{0.8: 763.0, 0.85: 764.0, 0.9: 765.0}","{0.8: 1830.0, 0.85: 1848.0, 0.9: 1800.0}","[4, 8, 25]","{4: 769.0, 3: 765.0, 2: 788.0}","{4: 1784.0, 3: 1750.0, 2: 1836.0}","[30, 9, 1]","{4: 768.0, 3: 769.0, 2: 768.0}","{4: 1754.0, 3: 1776.0, 2: 1770.0}","[20, 41, 49]","{'0.8, 2': 769.0, '0.85, 3': 765.0, '0.9, 4': 788.0}","{'0.8, 2': 1784.0, '0.85, 3': 1750.0, '0.9, 4': 1836.0}","[30, 9, 1]","{'0.8, 2': 768.0, '0.85, 3': 769.0, '0.9, 4': 768.0}","{'0.8, 2': 1754.0, '0.85, 3': 1776.0, '0.9, 4': 1770.0}","[20, 41, 49]"
7,850,"{0.8: 819.0, 0.85: 819.0, 0.9: 820.0}","{0.8: 1920.0, 0.85: 1919.0, 0.9: 1911.0}","[50, 49, 42]","{0.8: nan, 0.85: 803.0, 0.9: 813.0}","{0.8: nan, 0.85: 1968.0, 0.9: 1964.0}","[0, 1, 8]","{4: 820.0, 3: 823.0, 2: 816.0}","{4: 1948.0, 3: 1926.0, 2: 1875.0}","[33, 5, 1]","{4: 815.0, 3: 818.0, 2: 819.0}","{4: 1864.0, 3: 1919.0, 2: 1920.0}","[17, 45, 49]","{'0.8, 2': 820.0, '0.85, 3': 823.0, '0.9, 4': 816.0}","{'0.8, 2': 1948.0, '0.85, 3': 1926.0, '0.9, 4': 1875.0}","[33, 5, 1]","{'0.8, 2': 815.0, '0.85, 3': 818.0, '0.9, 4': 819.0}","{'0.8, 2': 1864.0, '0.85, 3': 1919.0, '0.9, 4': 1920.0}","[17, 45, 49]"
8,900,"{0.8: 869.0, 0.85: 869.0, 0.9: 870.0}","{0.8: 2027.0, 0.85: 2027.0, 0.9: 2027.0}","[50, 50, 49]","{0.8: nan, 0.85: nan, 0.9: 855.0}","{0.8: nan, 0.85: nan, 0.9: 2028.0}","[0, 0, 1]","{4: 870.0, 3: 870.0, 2: nan}","{4: 2026.0, 3: 2017.0, 2: nan}","[30, 6, 0]","{4: 868.0, 3: 869.0, 2: 869.0}","{4: 2029.0, 3: 2029.0, 2: 2027.0}","[20, 44, 50]","{'0.8, 2': 870.0, '0.85, 3': 870.0, '0.9, 4': nan}","{'0.8, 2': 2026.0, '0.85, 3': 2017.0, '0.9, 4': nan}","[30, 6, 0]","{'0.8, 2': 868.0, '0.85, 3': 869.0, '0.9, 4': 869.0}","{'0.8, 2': 2029.0, '0.85, 3': 2029.0, '0.9, 4': 2027.0}","[20, 44, 50]"
9,950,"{0.8: 911.0, 0.85: 911.0, 0.9: 911.0}","{0.8: 2116.0, 0.85: 2116.0, 0.9: 2116.0}","[50, 50, 50]","{0.8: nan, 0.85: nan, 0.9: nan}","{0.8: nan, 0.85: nan, 0.9: nan}","[0, 0, 0]","{4: 913.0, 3: 912.0, 2: 904.0}","{4: 2121.0, 3: 2130.0, 2: 2118.0}","[31, 11, 2]","{4: 907.0, 3: 911.0, 2: 911.0}","{4: 2110.0, 3: 2113.0, 2: 2116.0}","[19, 39, 48]","{'0.8, 2': 913.0, '0.85, 3': 912.0, '0.9, 4': 904.0}","{'0.8, 2': 2121.0, '0.85, 3': 2130.0, '0.9, 4': 2118.0}","[31, 11, 2]","{'0.8, 2': 907.0, '0.85, 3': 911.0, '0.9, 4': 911.0}","{'0.8, 2': 2110.0, '0.85, 3': 2113.0, '0.9, 4': 2116.0}","[19, 39, 48]"
