Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id,Formation,Name,Team,Team position,Dreamteam,Amount in Dreamteam,Months in Dreamteam,Selected by percentage,Goals,Assists,Bonus points,Clean Sheets,Goals_conded,Total minutes,Total saves,Yellow cards,Red cards,Goals conceded
500,500,1170,"[44, 43, 44, 45, 46, 44, 46, 46, 49, 50, 43]","[43, 43, 44, 44, 44, 45, 46, 46, 46, 49, 50]","[336, 290, 439, 416, 42, 56, 34, 321, 278, 436, 574]","[5, 4, 1]","['Peter Crouch', 'Marten de Roon', 'Darren Fletcher', 'Etienne Capoue', 'Junior Stanislas', 'Ben Mee', 'Adam Smith', 'Erik Pieters', 'Ben Gibson', 'Gareth McAuley', 'Lee Grant']","['Stoke City', 'Middlesbrough', 'West Bromwich', 'Watford', 'Bournemouth', 'Burnley', 'Bournemouth', 'Stoke City', 'Middlesbrough', 'West Bromwich', 'Stoke City']","[13, 19, 10, 17, 9, 16, 9, 13, 19, 10, 13]","[False, False, False, False, False, False, False, False, False, False, False]",0,"[2, 2, 1, 3, 1, 0, 1, 1, 1, 4, 3]","[3.4, 1.8, 8.1, 22.9, 1.3, 2.2, 7.0, 6.7, 8.8, 24.7, 6.5]","[7, 4, 2, 7, 7, 1, 1, 0, 1, 6, 0]","[3, 1, 3, 2, 6, 2, 5, 2, 1, 1, 0]","[7, 5, 2, 14, 13, 6, 12, 9, 14, 14, 9]","[4, 8, 8, 7, 4, 9, 8, 10, 11, 7, 9]","[23, 44, 45, 60, 29, 49, 61, 50, 53, 45, 34]","[1343, 2773, 3231, 3204, 1467, 3015, 3101, 3151, 3420, 3140, 2520]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91]","[3, 8, 0, 5, 1, 5, 6, 5, 4, 5, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23, 44, 45, 60, 29, 49, 61, 50, 53, 45, 34]"
550,550,1397,"[44, 44, 45, 49, 58, 62, 46, 49, 50, 52, 51]","[44, 44, 45, 46, 49, 49, 50, 51, 52, 58, 62]","[336, 439, 416, 202, 111, 48, 34, 278, 436, 33, 54]","[4, 5, 1]","['Peter Crouch', 'Darren Fletcher', 'Etienne Capoue', 'Joe Allen', 'Wilfried Zaha', 'Joshua King', 'Adam Smith', 'Ben Gibson', 'Gareth McAuley', 'Charlie Daniels', 'Tom Heaton']","['Stoke City', 'West Bromwich', 'Watford', 'Stoke City', 'Crystal Palace', 'Bournemouth', 'Bournemouth', 'Middlesbrough', 'West Bromwich', 'Bournemouth', 'Burnley']","[13, 10, 17, 13, 14, 9, 9, 19, 10, 9, 16]","[False, False, False, False, False, False, False, False, False, False, True]",1,"[2, 1, 3, 1, 4, 3, 1, 1, 4, 5, 4]","[3.4, 8.1, 22.9, 6.4, 11.9, 19.3, 7.0, 8.8, 24.7, 9.9, 18.6]","[7, 2, 7, 6, 7, 16, 1, 1, 6, 4, 0]","[3, 3, 2, 3, 11, 3, 5, 1, 1, 3, 0]","[7, 2, 14, 10, 13, 17, 12, 14, 14, 14, 21]","[4, 8, 7, 10, 7, 9, 8, 11, 7, 10, 10]","[23, 45, 60, 49, 56, 54, 61, 53, 45, 53, 48]","[1343, 3231, 3204, 2930, 3019, 2714, 3101, 3420, 3140, 3060, 3150]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142]","[3, 0, 5, 9, 8, 1, 6, 4, 5, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23, 45, 60, 49, 56, 54, 61, 53, 45, 53, 48]"
600,599,1565,"[57, 44, 45, 58, 62, 49, 50, 52, 64, 67, 51]","[44, 45, 49, 50, 51, 52, 57, 58, 62, 64, 67]","[67, 439, 416, 111, 48, 278, 436, 33, 77, 78, 54]","[5, 4, 1]","['Sam Vokes', 'Darren Fletcher', 'Etienne Capoue', 'Wilfried Zaha', 'Joshua King', 'Ben Gibson', 'Gareth McAuley', 'Charlie Daniels', 'César Azpilicueta', 'Gary Cahill', 'Tom Heaton']","['Burnley', 'West Bromwich', 'Watford', 'Crystal Palace', 'Bournemouth', 'Middlesbrough', 'West Bromwich', 'Bournemouth', 'Chelsea', 'Chelsea', 'Burnley']","[16, 10, 17, 14, 9, 19, 10, 9, 1, 1, 16]","[False, False, False, False, False, False, False, False, True, True, True]",3,"[1, 1, 3, 4, 3, 1, 4, 5, 2, 3, 4]","[3.2, 8.1, 22.9, 11.9, 19.3, 8.8, 24.7, 9.9, 18.1, 15.3, 18.6]","[10, 2, 7, 7, 16, 1, 6, 4, 1, 6, 0]","[4, 3, 2, 11, 3, 1, 1, 3, 5, 0, 0]","[12, 2, 14, 13, 17, 14, 14, 14, 22, 15, 21]","[5, 8, 7, 7, 9, 11, 7, 10, 16, 17, 10]","[34, 45, 60, 56, 54, 53, 45, 53, 33, 29, 48]","[2064, 3231, 3204, 3019, 2714, 3420, 3140, 3060, 3420, 3296, 3150]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142]","[0, 0, 5, 8, 1, 4, 5, 1, 4, 5, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[34, 45, 60, 56, 54, 53, 45, 53, 33, 29, 48]"
650,649,1705,"[63, 45, 58, 62, 68, 50, 52, 64, 67, 69, 51]","[45, 50, 51, 52, 58, 62, 63, 64, 67, 68, 69]","[500, 416, 111, 48, 90, 436, 33, 77, 78, 561, 54]","[5, 4, 1]","['Fernando Llorente', 'Etienne Capoue', 'Wilfried Zaha', 'Joshua King', 'Pedro Rodríguez Ledesma', 'Gareth McAuley', 'Charlie Daniels', 'César Azpilicueta', 'Gary Cahill', 'Marcos Alonso', 'Tom Heaton']","['Swansea City', 'Watford', 'Crystal Palace', 'Bournemouth', 'Chelsea', 'West Bromwich', 'Bournemouth', 'Chelsea', 'Chelsea', 'Chelsea', 'Burnley']","[15, 17, 14, 9, 1, 10, 9, 1, 1, 1, 16]","[False, False, False, False, False, False, False, True, True, True, True]",4,"[5, 3, 4, 3, 5, 4, 5, 2, 3, 3, 4]","[9.4, 22.9, 11.9, 19.3, 8.5, 24.7, 9.9, 18.1, 15.3, 16.0, 18.6]","[15, 7, 7, 16, 9, 6, 4, 1, 6, 6, 0]","[3, 2, 11, 3, 10, 1, 3, 5, 0, 5, 0]","[22, 14, 13, 17, 18, 14, 14, 22, 15, 11, 21]","[5, 7, 7, 9, 15, 7, 10, 16, 17, 15, 10]","[51, 60, 56, 54, 15, 45, 53, 33, 29, 19, 48]","[2442, 3204, 3019, 2714, 2140, 3140, 3060, 3420, 3296, 2693, 3150]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142]","[2, 5, 8, 1, 6, 5, 1, 4, 5, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[51, 60, 56, 54, 15, 45, 53, 33, 29, 19, 48]"
700,700,1824,"[63, 45, 62, 89, 91, 49, 50, 64, 67, 69, 51]","[45, 49, 50, 51, 62, 63, 64, 67, 69, 89, 91]","[500, 416, 48, 394, 398, 278, 436, 77, 78, 561, 54]","[5, 4, 1]","['Fernando Llorente', 'Etienne Capoue', 'Joshua King', 'Christian Eriksen', 'Bamidele Alli', 'Ben Gibson', 'Gareth McAuley', 'César Azpilicueta', 'Gary Cahill', 'Marcos Alonso', 'Tom Heaton']","['Swansea City', 'Watford', 'Bournemouth', 'Tottenham Hotspur', 'Tottenham Hotspur', 'Middlesbrough', 'West Bromwich', 'Chelsea', 'Chelsea', 'Chelsea', 'Burnley']","[15, 17, 9, 2, 2, 19, 10, 1, 1, 1, 16]","[False, False, False, True, True, False, False, True, True, True, True]",6,"[5, 3, 3, 5, 4, 1, 4, 2, 3, 3, 4]","[9.4, 22.9, 19.3, 17.9, 32.3, 8.8, 24.7, 18.1, 15.3, 16.0, 18.6]","[15, 7, 16, 8, 18, 1, 6, 1, 6, 6, 0]","[3, 2, 3, 20, 11, 1, 1, 5, 0, 5, 0]","[22, 14, 17, 30, 17, 14, 14, 22, 15, 11, 21]","[5, 7, 9, 16, 17, 11, 7, 16, 17, 15, 10]","[51, 60, 54, 24, 22, 53, 45, 33, 29, 19, 48]","[2442, 3204, 2714, 3159, 3036, 3420, 3140, 3420, 3296, 2693, 3150]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142]","[2, 5, 1, 0, 4, 4, 5, 4, 5, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[51, 60, 54, 24, 22, 53, 45, 33, 29, 19, 48]"
750,749,1930,"[101, 45, 58, 62, 89, 91, 52, 64, 67, 69, 51]","[45, 51, 52, 58, 62, 64, 67, 69, 89, 91, 101]","[143, 416, 111, 48, 394, 398, 33, 77, 78, 561, 54]","[4, 5, 1]","['Romelu Lukaku', 'Etienne Capoue', 'Wilfried Zaha', 'Joshua King', 'Christian Eriksen', 'Bamidele Alli', 'Charlie Daniels', 'César Azpilicueta', 'Gary Cahill', 'Marcos Alonso', 'Tom Heaton']","['Everton', 'Watford', 'Crystal Palace', 'Bournemouth', 'Tottenham Hotspur', 'Tottenham Hotspur', 'Bournemouth', 'Chelsea', 'Chelsea', 'Chelsea', 'Burnley']","[7, 17, 14, 9, 2, 2, 9, 1, 1, 1, 16]","[True, False, False, False, True, True, False, True, True, True, True]",7,"[6, 3, 4, 3, 5, 4, 5, 2, 3, 3, 4]","[32.2, 22.9, 11.9, 19.3, 17.9, 32.3, 9.9, 18.1, 15.3, 16.0, 18.6]","[25, 7, 7, 16, 8, 18, 4, 1, 6, 6, 0]","[6, 2, 11, 3, 20, 11, 3, 5, 0, 5, 0]","[33, 14, 13, 17, 30, 17, 14, 22, 15, 11, 21]","[13, 7, 7, 9, 16, 17, 10, 16, 17, 15, 10]","[42, 60, 56, 54, 24, 22, 53, 33, 29, 19, 48]","[3266, 3204, 3019, 2714, 3159, 3036, 3060, 3420, 3296, 2693, 3150]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142]","[3, 5, 8, 1, 0, 4, 1, 4, 5, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[42, 60, 56, 54, 24, 22, 53, 33, 29, 19, 48]"
800,799,2020,"[63, 62, 74, 89, 91, 117, 52, 64, 67, 69, 51]","[51, 52, 62, 63, 64, 67, 69, 74, 89, 91, 117]","[500, 48, 368, 394, 398, 12, 33, 77, 78, 561, 54]","[4, 5, 1]","['Fernando Llorente', 'Joshua King', 'Gylfi Sigurdsson', 'Christian Eriksen', 'Bamidele Alli', 'Alexis Sánchez', 'Charlie Daniels', 'César Azpilicueta', 'Gary Cahill', 'Marcos Alonso', 'Tom Heaton']","['Swansea City', 'Bournemouth', 'Swansea City', 'Tottenham Hotspur', 'Tottenham Hotspur', 'Arsenal', 'Bournemouth', 'Chelsea', 'Chelsea', 'Chelsea', 'Burnley']","[15, 9, 15, 2, 2, 5, 9, 1, 1, 1, 16]","[False, False, False, True, True, True, False, True, True, True, True]",7,"[5, 3, 4, 5, 4, 9, 5, 2, 3, 3, 4]","[9.4, 19.3, 10.8, 17.9, 32.3, 29.7, 9.9, 18.1, 15.3, 16.0, 18.6]","[15, 16, 9, 8, 18, 24, 4, 1, 6, 6, 0]","[3, 3, 13, 20, 11, 11, 3, 5, 0, 5, 0]","[22, 17, 18, 30, 17, 32, 14, 22, 15, 11, 21]","[5, 9, 7, 16, 17, 13, 10, 16, 17, 15, 10]","[51, 54, 70, 24, 22, 41, 53, 33, 29, 19, 48]","[2442, 2714, 3327, 3159, 3036, 3217, 3060, 3420, 3296, 2693, 3150]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142]","[2, 1, 2, 0, 4, 6, 1, 4, 5, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[51, 54, 70, 24, 22, 41, 53, 33, 29, 19, 48]"
850,848,2107,"[63, 101, 62, 74, 89, 91, 117, 64, 67, 69, 51]","[51, 62, 63, 64, 67, 69, 74, 89, 91, 101, 117]","[500, 143, 48, 368, 394, 398, 12, 77, 78, 561, 54]","[3, 5, 2]","['Fernando Llorente', 'Romelu Lukaku', 'Joshua King', 'Gylfi Sigurdsson', 'Christian Eriksen', 'Bamidele Alli', 'Alexis Sánchez', 'César Azpilicueta', 'Gary Cahill', 'Marcos Alonso', 'Tom Heaton']","['Swansea City', 'Everton', 'Bournemouth', 'Swansea City', 'Tottenham Hotspur', 'Tottenham Hotspur', 'Arsenal', 'Chelsea', 'Chelsea', 'Chelsea', 'Burnley']","[15, 7, 9, 15, 2, 2, 5, 1, 1, 1, 16]","[False, True, False, False, True, True, True, True, True, True, True]",8,"[5, 6, 3, 4, 5, 4, 9, 2, 3, 3, 4]","[9.4, 32.2, 19.3, 10.8, 17.9, 32.3, 29.7, 18.1, 15.3, 16.0, 18.6]","[15, 25, 16, 9, 8, 18, 24, 1, 6, 6, 0]","[3, 6, 3, 13, 20, 11, 11, 5, 0, 5, 0]","[22, 33, 17, 18, 30, 17, 32, 22, 15, 11, 21]","[5, 13, 9, 7, 16, 17, 13, 16, 17, 15, 10]","[51, 42, 54, 70, 24, 22, 41, 33, 29, 19, 48]","[2442, 3266, 2714, 3327, 3159, 3036, 3217, 3420, 3296, 2693, 3150]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142]","[2, 3, 1, 2, 0, 4, 6, 4, 5, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[51, 42, 54, 70, 24, 22, 41, 33, 29, 19, 48]"
900,890,2170,"[74, 101, 62, 89, 91, 105, 117, 64, 67, 69, 51]","[51, 62, 64, 67, 69, 74, 89, 91, 101, 105, 117]","[355, 143, 48, 394, 398, 82, 12, 77, 78, 561, 54]","[3, 5, 2]","['Jermain Defoe', 'Romelu Lukaku', 'Joshua King', 'Christian Eriksen', 'Bamidele Alli', 'Eden Hazard', 'Alexis Sánchez', 'César Azpilicueta', 'Gary Cahill', 'Marcos Alonso', 'Tom Heaton']","['Sunderland', 'Everton', 'Bournemouth', 'Tottenham Hotspur', 'Tottenham Hotspur', 'Chelsea', 'Arsenal', 'Chelsea', 'Chelsea', 'Chelsea', 'Burnley']","[20, 7, 9, 2, 2, 1, 5, 1, 1, 1, 16]","[False, True, False, True, True, True, True, True, True, True, True]",9,"[6, 6, 3, 5, 4, 5, 9, 2, 3, 3, 4]","[16.1, 32.2, 19.3, 17.9, 32.3, 30.6, 29.7, 18.1, 15.3, 16.0, 18.6]","[15, 25, 16, 8, 18, 16, 24, 1, 6, 6, 0]","[3, 6, 3, 20, 11, 9, 11, 5, 0, 5, 0]","[24, 33, 17, 30, 17, 33, 32, 22, 15, 11, 21]","[6, 13, 9, 16, 17, 17, 13, 16, 17, 15, 10]","[63, 42, 54, 24, 22, 29, 41, 33, 29, 19, 48]","[3322, 3266, 2714, 3159, 3036, 2985, 3217, 3420, 3296, 2693, 3150]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142]","[1, 3, 1, 0, 4, 3, 6, 4, 5, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[63, 42, 54, 24, 22, 29, 41, 33, 29, 19, 48]"
950,947,2231,"[101, 119, 74, 89, 91, 105, 117, 64, 67, 69, 51]","[51, 64, 67, 69, 74, 89, 91, 101, 105, 117, 119]","[143, 403, 368, 394, 398, 82, 12, 77, 78, 561, 54]","[3, 5, 2]","['Romelu Lukaku', 'Harry Kane', 'Gylfi Sigurdsson', 'Christian Eriksen', 'Bamidele Alli', 'Eden Hazard', 'Alexis Sánchez', 'César Azpilicueta', 'Gary Cahill', 'Marcos Alonso', 'Tom Heaton']","['Everton', 'Tottenham Hotspur', 'Swansea City', 'Tottenham Hotspur', 'Tottenham Hotspur', 'Chelsea', 'Arsenal', 'Chelsea', 'Chelsea', 'Chelsea', 'Burnley']","[7, 2, 15, 2, 2, 1, 5, 1, 1, 1, 16]","[True, True, False, True, True, True, True, True, True, True, True]",10,"[6, 9, 4, 5, 4, 5, 9, 2, 3, 3, 4]","[32.2, 23.3, 10.8, 17.9, 32.3, 30.6, 29.7, 18.1, 15.3, 16.0, 18.6]","[25, 29, 9, 8, 18, 16, 24, 1, 6, 6, 0]","[6, 7, 13, 20, 11, 9, 11, 5, 0, 5, 0]","[33, 33, 18, 30, 17, 33, 32, 22, 15, 11, 21]","[13, 14, 7, 16, 17, 17, 13, 16, 17, 15, 10]","[42, 19, 70, 24, 22, 29, 41, 33, 29, 19, 48]","[3266, 2523, 3327, 3159, 3036, 2985, 3217, 3420, 3296, 2693, 3150]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142]","[3, 3, 2, 0, 4, 3, 6, 4, 5, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[42, 19, 70, 24, 22, 29, 41, 33, 29, 19, 48]"
