Budget,Best total cost,Best total points,Individual costs,Id,Formation
500,500,1131,"[41, 43, 43, 44, 44, 45, 46, 46, 47, 49, 52]","[548, 159, 367, 41, 127, 90, 132, 220, 117, 468, 350]","[3, 5, 2]"
550,549,1379,"[44, 45, 46, 47, 49, 50, 50, 52, 52, 55, 59]","[187, 302, 127, 250, 132, 414, 70, 171, 468, 443, 350]","[3, 5, 2]"
600,600,1543,"[44, 44, 46, 46, 47, 49, 52, 52, 55, 59, 106]","[548, 302, 127, 132, 414, 70, 234, 117, 468, 443, 350]","[3, 5, 2]"
650,650,1699,"[46, 47, 49, 52, 52, 54, 55, 59, 61, 69, 106]","[437, 302, 132, 414, 70, 342, 234, 468, 443, 97, 350]","[3, 5, 2]"
700,698,1817,"[46, 47, 52, 54, 55, 58, 59, 61, 69, 91, 106]","[437, 302, 132, 70, 342, 247, 234, 468, 381, 97, 350]","[3, 5, 2]"
750,750,1933,"[47, 52, 55, 58, 59, 61, 64, 69, 88, 91, 106]","[302, 209, 132, 70, 342, 247, 234, 381, 245, 97, 350]","[3, 5, 2]"
800,798,2006,"[47, 55, 59, 61, 64, 69, 71, 87, 88, 91, 106]","[302, 209, 70, 342, 199, 247, 234, 245, 97, 100, 350]","[3, 5, 2]"
850,850,2078,"[59, 59, 61, 64, 69, 71, 87, 88, 91, 95, 106]","[209, 235, 70, 342, 199, 247, 234, 245, 97, 100, 260]","[3, 5, 2]"
900,892,2132,"[59, 59, 64, 69, 71, 87, 88, 91, 95, 103, 106]","[209, 235, 70, 199, 247, 252, 234, 245, 97, 100, 260]","[3, 5, 2]"
950,948,2175,"[47, 58, 69, 71, 87, 88, 91, 97, 103, 106, 131]","[209, 394, 199, 247, 387, 252, 234, 381, 97, 100, 350]","[3, 5, 2]"
1000,966,2203,"[59, 64, 69, 71, 87, 88, 91, 97, 103, 106, 131]","[209, 394, 199, 247, 387, 252, 234, 245, 97, 100, 260]","[3, 5, 2]"
