Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1106,"[46, 49, 50, 43, 44, 45, 41, 44, 45, 46, 47]","[41, 43, 44, 44, 45, 45, 46, 46, 47, 49, 50]","[548, 159, 187, 367, 127, 90, 220, 117, 171, 468, 350]"
550,550,1357,"[46, 50, 55, 52, 52, 59, 45, 46, 49, 49, 47]","[45, 46, 46, 47, 49, 49, 50, 52, 52, 55, 59]","[548, 187, 302, 132, 414, 70, 171, 468, 443, 290, 350]"
600,599,1507,"[46, 50, 55, 52, 59, 106, 44, 45, 46, 49, 47]","[44, 45, 46, 46, 47, 49, 50, 52, 55, 59, 106]","[548, 187, 302, 132, 70, 234, 117, 171, 468, 443, 350]"
650,649,1659,"[54, 54, 55, 52, 59, 106, 46, 49, 58, 69, 47]","[46, 47, 49, 52, 54, 54, 55, 58, 59, 69, 106]","[437, 373, 302, 132, 70, 234, 468, 443, 381, 97, 350]"
700,698,1772,"[54, 55, 88, 52, 59, 106, 46, 58, 64, 69, 47]","[46, 47, 52, 54, 55, 58, 59, 64, 69, 88, 106]","[437, 302, 209, 132, 70, 234, 468, 381, 245, 97, 350]"
750,750,1879,"[54, 55, 88, 59, 91, 106, 46, 64, 69, 71, 47]","[46, 47, 54, 55, 59, 64, 69, 71, 88, 91, 106]","[437, 302, 209, 70, 247, 234, 468, 245, 97, 100, 350]"
800,800,1962,"[55, 88, 95, 59, 91, 106, 58, 61, 69, 71, 47]","[47, 55, 58, 59, 61, 69, 71, 88, 91, 95, 106]","[302, 209, 235, 70, 247, 234, 381, 380, 97, 100, 350]"
850,843,2026,"[55, 88, 95, 87, 91, 106, 58, 64, 69, 71, 59]","[55, 58, 59, 64, 69, 71, 87, 88, 91, 95, 106]","[302, 209, 235, 199, 247, 234, 381, 245, 97, 100, 260]"
900,891,2088,"[88, 95, 131, 59, 91, 106, 58, 64, 69, 71, 59]","[58, 59, 59, 64, 69, 71, 88, 91, 95, 106, 131]","[209, 235, 394, 70, 247, 234, 381, 245, 97, 100, 260]"
950,946,2136,"[88, 95, 131, 91, 103, 106, 64, 69, 69, 71, 59]","[59, 64, 69, 69, 71, 88, 91, 95, 103, 106, 131]","[209, 235, 394, 247, 252, 234, 245, 97, 267, 100, 260]"
1000,946,2136,"[88, 95, 131, 91, 103, 106, 64, 69, 69, 71, 59]","[59, 64, 69, 69, 71, 88, 91, 95, 103, 106, 131]","[209, 235, 394, 247, 252, 234, 245, 97, 267, 100, 260]"
