Budget,Best total cost,Best total points,Individual costs,Id
500,500,1138,"[41, 43, 43, 44, 44, 45, 46, 46, 47, 49, 52]","[548, 159, 367, 41, 127, 132, 220, 117, 171, 468, 350]"
550,550,1383,"[45, 46, 46, 47, 49, 49, 50, 52, 52, 55, 59]","[548, 302, 250, 132, 414, 70, 171, 468, 443, 290, 350]"
600,600,1538,"[44, 45, 46, 46, 46, 49, 52, 52, 55, 59, 106]","[548, 302, 132, 414, 70, 234, 117, 171, 468, 443, 54]"
650,649,1689,"[45, 46, 47, 52, 52, 54, 55, 59, 64, 69, 106]","[437, 302, 132, 414, 70, 234, 171, 468, 245, 97, 350]"
700,700,1811,"[45, 47, 52, 54, 55, 58, 59, 64, 69, 91, 106]","[437, 302, 132, 70, 247, 234, 171, 381, 245, 97, 350]"
750,750,1916,"[47, 52, 55, 58, 59, 61, 64, 69, 88, 91, 106]","[302, 209, 132, 70, 247, 234, 381, 380, 245, 97, 350]"
800,800,2000,"[47, 52, 58, 59, 64, 69, 71, 88, 91, 95, 106]","[209, 235, 132, 70, 247, 234, 381, 245, 97, 100, 350]"
850,847,2066,"[58, 59, 59, 64, 69, 71, 87, 88, 91, 95, 106]","[209, 235, 70, 199, 247, 234, 381, 245, 97, 100, 260]"
900,899,2116,"[58, 59, 59, 64, 69, 71, 88, 91, 103, 106, 131]","[209, 394, 70, 247, 252, 234, 381, 245, 97, 100, 260]"
950,948,2154,"[59, 64, 69, 69, 71, 88, 91, 97, 103, 106, 131]","[209, 394, 247, 387, 252, 234, 245, 97, 267, 100, 260]"
1000,948,2154,"[59, 64, 69, 69, 71, 88, 91, 97, 103, 106, 131]","[209, 394, 247, 387, 252, 234, 245, 97, 267, 100, 260]"
