,Budget,Linear/Normal,Mean cost,Mean points,Mean 50 best p,Mean 50 worst p,Ratio points/costs
0,600,Linear: 1,598,764,1262,274,1.278
1,600,Normal,596,701,1178,221,1.177
2,650,Linear: 1,643,814,1310,313,1.264
3,650,Normal,640,793,1314,304,1.239
4,700,Linear: 1,697,890,1391,393,1.276
5,700,Normal,690,817,1327,284,1.184
6,750,Linear: 4,744,1003,1460,503,1.346
7,750,Normal,740,932,1478,373,1.259
8,800,Linear: 6,791,1031,1537,492,1.303
9,800,Normal,790,998,1588,423,1.263
10,850,Linear: 6,843,1160,1728,595,1.374
11,850,Normal,842,1102,1635,534,1.309
12,900,Linear: 8,887,1202,1731,682,1.354
13,900,Normal,892,1214,1801,592,1.362
14,950,Linear: 7,937,1355,1865,824,1.445
15,950,Normal,941,1372,1958,717,1.458
16,1000,Linear: 6,986,1401,1923,837,1.421
17,1000,Normal,992,1450,2046,788,1.462
