Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id,Formation
500,500,1118,"[45, 47, 44, 44, 46, 49, 49, 41, 43, 46, 46]","[41, 43, 44, 44, 45, 46, 46, 46, 47, 49, 49]","[524, 347, 504, 340, 80, 147, 126, 427, 483, 145, 88]","[3, 5, 2]"
550,550,1426,"[56, 59, 44, 46, 49, 49, 50, 46, 47, 58, 46]","[44, 46, 46, 46, 47, 49, 49, 50, 56, 58, 59]","[85, 493, 504, 80, 147, 126, 42, 145, 423, 245, 88]","[3, 5, 2]"
600,600,1652,"[59, 69, 44, 46, 49, 50, 64, 48, 58, 67, 46]","[44, 46, 46, 48, 49, 50, 58, 59, 64, 67, 69]","[493, 437, 504, 80, 147, 42, 40, 162, 245, 247, 88]","[3, 5, 2]"
650,649,1817,"[59, 69, 49, 50, 55, 64, 65, 58, 67, 67, 46]","[46, 49, 50, 55, 58, 59, 64, 65, 67, 67, 69]","[493, 437, 147, 42, 343, 40, 150, 245, 247, 246, 88]","[3, 5, 2]"
700,698,1928,"[69, 69, 55, 64, 64, 65, 74, 58, 67, 67, 46]","[46, 55, 58, 64, 64, 65, 67, 67, 69, 69, 74]","[437, 43, 343, 40, 393, 150, 172, 245, 247, 246, 88]","[3, 5, 2]"
750,749,2029,"[69, 69, 64, 64, 65, 74, 103, 58, 67, 67, 49]","[49, 58, 64, 64, 65, 67, 67, 69, 69, 74, 103]","[437, 43, 40, 393, 150, 172, 251, 245, 247, 246, 154]","[3, 5, 2]"
800,795,2114,"[69, 69, 64, 65, 74, 103, 110, 58, 67, 67, 49]","[49, 58, 64, 65, 67, 67, 69, 69, 74, 103, 110]","[437, 43, 40, 150, 172, 251, 122, 245, 247, 246, 154]","[3, 5, 2]"
850,850,2184,"[69, 69, 64, 65, 103, 110, 132, 58, 67, 67, 46]","[46, 58, 64, 65, 67, 67, 69, 69, 103, 110, 132]","[437, 43, 40, 150, 251, 122, 253, 245, 247, 246, 88]","[3, 5, 2]"
900,895,2239,"[59, 69, 64, 103, 110, 117, 132, 58, 67, 67, 49]","[49, 58, 59, 64, 67, 67, 69, 103, 110, 117, 132]","[493, 437, 40, 251, 122, 270, 253, 245, 247, 246, 154]","[3, 5, 2]"
950,944,2296,"[69, 108, 64, 103, 110, 117, 132, 58, 67, 67, 49]","[49, 58, 64, 67, 67, 69, 103, 108, 110, 117, 132]","[437, 23, 40, 251, 122, 270, 253, 245, 247, 246, 154]","[3, 5, 2]"
1000,995,2316,"[108, 120, 64, 103, 110, 117, 132, 58, 67, 67, 49]","[49, 58, 64, 67, 67, 103, 108, 110, 117, 120, 132]","[23, 280, 40, 251, 122, 270, 253, 245, 247, 246, 154]","[3, 5, 2]"
