,Budget,Linear mean cost,Linear mean points,n linear,Non linear cost,Non linear points,Non linear n
0,500,"{0.8: 484.0, 0.85: 482.0, 0.9: 481.0}","{0.8: 742.0, 0.85: 738.0, 0.9: 730.0}","[73882, 60444, 44196]","{0.8: 491.0, 0.85: 490.0, 0.9: 489.0}","{0.8: 766.0, 0.85: 765.0, 0.9: 764.0}","[37422, 50860, 67108]"
1,550,"{0.8: 530.0, 0.85: 531.0, 0.9: 532.0}","{0.8: 1079.0, 0.85: 1087.0, 0.9: 1094.0}","[286638, 202175, 111513]","{0.8: 523.0, 0.85: 525.0, 0.9: 526.0}","{0.8: 1036.0, 0.85: 1045.0, 0.9: 1054.0}","[149301, 233764, 324426]"
2,600,"{0.8: 574.0, 0.85: 575.0, 0.9: 576.0}","{0.8: 1321.0, 0.85: 1327.0, 0.9: 1337.0}","[449131, 412266, 330648]","{0.8: 578.0, 0.85: 574.0, 0.9: 571.0}","{0.8: 1170.0, 0.85: 1200.0, 0.9: 1239.0}","[65788, 102653, 184271]"
3,650,"{0.8: 621.0, 0.85: 620.0, 0.9: 619.0}","{0.8: 1514.0, 0.85: 1529.0, 0.9: 1534.0}","[230901, 203313, 179558]","{0.8: 627.0, 0.85: 628.0, 0.9: 628.0}","{0.8: 1356.0, 0.85: 1363.0, 0.9: 1377.0}","[166524, 194112, 217867]"
4,700,"{0.8: 672.0, 0.85: 671.0, 0.9: 667.0}","{0.8: 1596.0, 0.85: 1640.0, 0.9: 1679.0}","[103675, 53447, 28378]","{0.8: 674.0, 0.85: 674.0, 0.9: 674.0}","{0.8: 1538.0, 0.85: 1541.0, 0.9: 1546.0}","[177941, 228169, 253238]"
5,750,"{0.8: 725.0, 0.85: 726.0, 0.9: 727.0}","{0.8: 1640.0, 0.85: 1651.0, 0.9: 1632.0}","[78456, 36346, 10944]","{0.8: 721.0, 0.85: 723.0, 0.9: 723.0}","{0.8: 1660.0, 0.85: 1652.0, 0.9: 1653.0}","[105108, 147218, 172620]"
6,800,"{0.8: 774.0, 0.85: 775.0, 0.9: 775.0}","{0.8: 1727.0, 0.85: 1735.0, 0.9: 1729.0}","[80107, 47817, 15071]","{0.8: 767.0, 0.85: 770.0, 0.9: 772.0}","{0.8: 1807.0, 0.85: 1760.0, 0.9: 1752.0}","[30208, 62498, 95244]"
7,850,"{0.8: 821.0, 0.85: 822.0, 0.9: 825.0}","{0.8: 1869.0, 0.85: 1848.0, 0.9: 1829.0}","[43037, 32277, 17276]","{0.8: 818.0, 0.85: 817.0, 0.9: 817.0}","{0.8: 1998.0, 0.85: 1947.0, 0.9: 1908.0}","[3697, 14457, 29458]"
8,900,"{0.8: 870.0, 0.85: 870.0, 0.9: 871.0}","{0.8: 1981.0, 0.85: 1976.0, 0.9: 1954.0}","[14042, 13364, 10714]","{0.8: 859.0, 0.85: 861.0, 0.9: 867.0}","{0.8: 2119.0, 0.85: 2094.0, 0.9: 2074.0}","[265, 943, 3593]"
9,950,"{0.8: 919.0, 0.85: 919.0, 0.9: 919.0}","{0.8: 2070.0, 0.85: 2069.0, 0.9: 2063.0}","[3588, 3565, 3372]","{0.8: nan, 0.85: 908.0, 0.9: 910.0}","{0.8: nan, 0.85: 2207.0, 0.9: 2186.0}","[0, 23, 216]"
10,1000,"{0.8: 965.0, 0.85: 965.0, 0.9: 965.0}","{0.8: 2170.0, 0.85: 2170.0, 0.9: 2169.0}","[462, 462, 458]","{0.8: nan, 0.85: nan, 0.9: 966.0}","{0.8: nan, 0.85: nan, 0.9: 2256.0}","[0, 0, 4]"
