,Budget,Nation,Count,Team percentage,League percentage,Ratio,Amount as dist
0,500,"['ie Republic of Ireland', 'es Spain', 'dk Denmark', 'eng England', 'sct Scotland', ""ci Côte d'Ivoire"", 'ph Philippines']","[2, 2, 1, 3, 1, 1, 1]","[0.182, 0.182, 0.091, 0.273, 0.091, 0.091, 0.091]","[0.033, 0.063, 0.016, 0.362, 0.019, 0.01, 0.002]","[5.515, 2.889, 5.688, 0.754, 4.789, 9.1, 45.5]","[0.363, 0.693, 0.176, 3.982, 0.209, 0.11, 0.022]"
1,550,"['ve Venezuela', 'es Spain', 'eng England', 'sct Scotland', 'wls Wales', 'pt Portugal', 'fr France', 'ph Philippines']","[1, 2, 3, 1, 1, 1, 1, 1]","[0.091, 0.182, 0.273, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.003, 0.063, 0.362, 0.019, 0.019, 0.026, 0.045, 0.002]","[30.333, 2.889, 0.754, 4.789, 4.789, 3.5, 2.022, 45.5]","[0.033, 0.693, 3.982, 0.209, 0.209, 0.286, 0.495, 0.022]"
2,600,"['ve Venezuela', 'es Spain', 'eng England', 'sct Scotland', 'fr France', 'nl Netherlands', 'ph Philippines']","[1, 1, 3, 3, 1, 1, 1]","[0.091, 0.091, 0.273, 0.273, 0.091, 0.091, 0.091]","[0.003, 0.063, 0.362, 0.019, 0.045, 0.031, 0.002]","[30.333, 1.444, 0.754, 14.368, 2.022, 2.935, 45.5]","[0.033, 0.693, 3.982, 0.209, 0.495, 0.341, 0.022]"
3,650,"['mx Mexico', 'sct Scotland', 'wls Wales', 'rs Serbia', 'fr France', 'eng England', 'br Brazil', 'nl Netherlands']","[1, 3, 1, 1, 1, 2, 1, 1]","[0.091, 0.273, 0.091, 0.091, 0.091, 0.182, 0.091, 0.091]","[0.003, 0.019, 0.019, 0.007, 0.045, 0.362, 0.033, 0.031]","[30.333, 14.368, 4.789, 13.0, 2.022, 0.503, 2.758, 2.935]","[0.033, 0.209, 0.209, 0.077, 0.495, 3.982, 0.363, 0.341]"
4,700,"['mx Mexico', 'eng England', 'sct Scotland', 'rs Serbia', 'is Iceland', 'fr France', 'es Spain', 'nl Netherlands']","[1, 3, 2, 1, 1, 1, 1, 1]","[0.091, 0.273, 0.182, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.003, 0.362, 0.019, 0.007, 0.005, 0.045, 0.063, 0.031]","[30.333, 0.754, 9.579, 13.0, 18.2, 2.022, 1.444, 2.935]","[0.033, 3.982, 0.209, 0.077, 0.055, 0.495, 0.693, 0.341]"
5,750,"['mx Mexico', 'sct Scotland', 'rs Serbia', 'is Iceland', 'be Belgium', 'fr France', 'eng England', 'es Spain', 'nl Netherlands', 'br Brazil']","[1, 2, 1, 1, 1, 1, 1, 1, 1, 1]","[0.091, 0.182, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.003, 0.019, 0.007, 0.005, 0.033, 0.045, 0.362, 0.063, 0.031, 0.033]","[30.333, 9.579, 13.0, 18.2, 2.758, 2.022, 0.251, 1.444, 2.935, 2.758]","[0.033, 0.209, 0.077, 0.055, 0.363, 0.495, 3.982, 0.693, 0.341, 0.363]"
6,800,"['mx Mexico', 'sct Scotland', 'rs Serbia', 'is Iceland', 'sn Senegal', 'be Belgium', 'eng England', 'es Spain', 'nl Netherlands', 'br Brazil']","[1, 2, 1, 1, 1, 1, 1, 1, 1, 1]","[0.091, 0.182, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.003, 0.019, 0.007, 0.005, 0.012, 0.033, 0.362, 0.063, 0.031, 0.033]","[30.333, 9.579, 13.0, 18.2, 7.583, 2.758, 0.251, 1.444, 2.935, 2.758]","[0.033, 0.209, 0.077, 0.055, 0.132, 0.363, 3.982, 0.693, 0.341, 0.363]"
7,850,"['mx Mexico', 'sct Scotland', 'sn Senegal', 'be Belgium', 'eg Egypt', 'eng England', 'br Brazil', 'es Spain', 'nl Netherlands']","[1, 2, 1, 1, 1, 1, 2, 1, 1]","[0.091, 0.182, 0.091, 0.091, 0.091, 0.091, 0.182, 0.091, 0.091]","[0.003, 0.019, 0.012, 0.033, 0.005, 0.362, 0.033, 0.063, 0.031]","[30.333, 9.579, 7.583, 2.758, 18.2, 0.251, 5.515, 1.444, 2.935]","[0.033, 0.209, 0.132, 0.363, 0.055, 3.982, 0.363, 0.693, 0.341]"
8,900,"['mx Mexico', 'sct Scotland', 'sn Senegal', 'be Belgium', 'eng England', 'eg Egypt', 'es Spain', 'nl Netherlands']","[1, 2, 1, 1, 3, 1, 1, 1]","[0.091, 0.182, 0.091, 0.091, 0.273, 0.091, 0.091, 0.091]","[0.003, 0.019, 0.012, 0.033, 0.362, 0.005, 0.063, 0.031]","[30.333, 9.579, 7.583, 2.758, 0.754, 18.2, 1.444, 2.935]","[0.033, 0.209, 0.132, 0.363, 3.982, 0.055, 0.693, 0.341]"
9,950,"['ga Gabon', 'sct Scotland', 'sn Senegal', 'be Belgium', 'eng England', 'eg Egypt', 'es Spain', 'nl Netherlands', 'br Brazil']","[1, 2, 1, 1, 2, 1, 1, 1, 1]","[0.091, 0.182, 0.091, 0.091, 0.182, 0.091, 0.091, 0.091, 0.091]","[0.005, 0.019, 0.012, 0.033, 0.362, 0.005, 0.063, 0.031, 0.033]","[18.2, 9.579, 7.583, 2.758, 0.503, 18.2, 1.444, 2.935, 2.758]","[0.055, 0.209, 0.132, 0.363, 3.982, 0.055, 0.693, 0.341, 0.363]"
