,Budget,Linear/Normal,Mean cost,Mean points,Mean 50 best p,Mean 50 worst p,Ratio points/costs
0,600,Linear: 1,598,707,1225,248,1.183
1,600,Normal,596,649,1158,213,1.089
2,650,Linear: 1,643,785,1261,318,1.22
3,650,Normal,641,744,1220,281,1.162
4,700,Linear: 1,697,866,1328,376,1.241
5,700,Normal,690,828,1348,340,1.199
6,750,Linear: 4,745,1079,1596,562,1.448
7,750,Normal,740,1027,1563,492,1.389
8,800,Linear: 6,789,1090,1559,603,1.381
9,800,Normal,791,1228,1729,711,1.552
10,850,Linear: 6,842,1244,1732,724,1.477
11,850,Normal,843,1282,1824,757,1.52
12,900,Linear: 8,891,1382,1848,860,1.55
13,900,Normal,893,1339,1891,652,1.499
14,950,Linear: 7,938,1436,1871,953,1.529
15,950,Normal,940,1412,1965,824,1.502
16,1000,Linear: 6,990,1508,1925,1036,1.524
17,1000,Normal,991,1567,2078,993,1.581
