,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[64, 0, 36]","[100, 0, 0]","[84, 7, 8]"
1,500 to 550,"[56, 14, 30]","[94, 0, 6]","[75, 12, 13]"
2,550 to 600,"[54, 18, 28]","[98, 0, 2]","[79, 11, 10]"
3,600 to 650,"[78, 16, 6]","[100, 0, 0]","[87, 6, 7]"
4,650 to 700,"[74, 16, 10]","[98, 2, 0]","[91, 4, 5]"
5,700 to 750,"[98, 0, 2]","[100, 0, 0]","[96, 1, 2]"
6,750 to 800,"[98, 2, 0]","[100, 0, 0]","[97, 2, 2]"
7,800 to 850,"[100, 0, 0]","[100, 0, 0]","[96, 2, 2]"
8,850 to 900,"[100, 0, 0]","[100, 0, 0]","[98, 1, 1]"
9,900 to 950,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
10,950 to 1000,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
