Budget,Best total cost,Best total points,Individual costs
500,500,1182,"[42, 42, 43, 43, 44, 46, 46, 47, 47, 48, 52]"
550,550,1508,"[43, 43, 44, 46, 47, 47, 52, 53, 54, 55, 66]"
600,599,1720,"[48, 48, 50, 52, 53, 55, 55, 56, 57, 59, 66]"
650,648,1814,"[48, 50, 53, 54, 55, 55, 56, 57, 58, 66, 96]"
700,697,1889,"[48, 48, 50, 53, 55, 55, 56, 57, 66, 96, 113]"
750,750,1945,"[50, 53, 54, 55, 55, 57, 66, 73, 78, 96, 113]"
800,796,1996,"[48, 50, 53, 55, 56, 57, 66, 73, 96, 113, 129]"
850,849,2044,"[48, 50, 53, 55, 56, 57, 73, 96, 113, 119, 129]"
900,887,2080,"[53, 55, 56, 57, 58, 73, 78, 96, 113, 119, 129]"
950,949,2096,"[53, 55, 57, 58, 73, 78, 96, 113, 118, 119, 129]"
1000,949,2096,"[53, 55, 57, 58, 73, 78, 96, 113, 118, 119, 129]"
