,Budget,Best total cost,Best total points,Sorted individual costs,Individual costs
0,500,500,1344,"[40, 43, 43, 44, 44, 45, 46, 46, 48, 48, 53]","[53, 48, 46, 48, 45, 46, 44, 43, 44, 43, 40]"
1,550,550,1610,"[44, 45, 46, 48, 48, 50, 52, 53, 54, 55, 55]","[53, 55, 55, 48, 54, 52, 46, 50, 48, 45, 44]"
2,600,598,1768,"[46, 48, 50, 52, 53, 54, 55, 55, 56, 63, 66]","[66, 53, 55, 63, 56, 55, 48, 54, 52, 46, 50]"
3,650,649,1864,"[46, 48, 53, 54, 55, 55, 56, 57, 63, 66, 96]","[96, 66, 53, 55, 63, 56, 55, 48, 57, 54, 46]"
4,700,699,1940,"[46, 48, 53, 54, 55, 55, 56, 57, 66, 96, 113]","[113, 96, 66, 53, 55, 56, 55, 48, 57, 54, 46]"
5,750,750,1993,"[45, 46, 48, 53, 54, 55, 55, 66, 96, 113, 119]","[113, 119, 96, 66, 53, 55, 55, 48, 54, 46, 45]"
6,800,799,2069,"[48, 53, 55, 55, 56, 63, 66, 75, 96, 113, 119]","[113, 119, 96, 66, 53, 55, 63, 75, 56, 55, 48]"
7,850,850,2125,"[48, 52, 53, 55, 56, 63, 66, 96, 113, 119, 129]","[113, 119, 129, 96, 66, 53, 55, 63, 56, 48, 52]"
8,900,900,2165,"[48, 53, 55, 56, 63, 66, 96, 102, 113, 119, 129]","[113, 119, 129, 96, 66, 102, 53, 55, 63, 56, 48]"
9,950,948,2185,"[53, 55, 56, 63, 66, 96, 96, 102, 113, 119, 129]","[113, 119, 129, 96, 66, 102, 53, 96, 55, 63, 56]"
10,1000,989,2192,"[53, 55, 63, 66, 75, 96, 102, 113, 118, 119, 129]","[113, 119, 129, 96, 66, 102, 53, 118, 55, 63, 75]"
