Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id,Formation
500,500,1314,"[43, 51, 44, 44, 45, 45, 46, 43, 46, 47, 46]","[43, 43, 44, 44, 45, 45, 46, 46, 46, 47, 51]","[4070, 4468, 3504, 1439, 1416, 4287, 3080, 5016, 4297, 4295, 3088]","[3, 5, 2]"
550,550,1570,"[51, 66, 44, 45, 45, 52, 52, 46, 47, 55, 47]","[44, 45, 45, 46, 47, 47, 51, 52, 52, 55, 66]","[4468, 5202, 3504, 1416, 4287, 5449, 2132, 4297, 4295, 5200, 2350]","[3, 5, 2]"
600,600,1789,"[51, 66, 45, 52, 52, 54, 56, 46, 58, 67, 53]","[45, 46, 51, 52, 52, 53, 54, 56, 58, 66, 67]","[4468, 5202, 1416, 5449, 2132, 5481, 5203, 4297, 3245, 3247, 5012]","[3, 5, 2]"
650,650,1940,"[63, 66, 45, 54, 56, 59, 62, 58, 67, 67, 53]","[45, 53, 54, 56, 58, 59, 62, 63, 66, 67, 67]","[5514, 5202, 1416, 5481, 5203, 2070, 1048, 3245, 3247, 3246, 5012]","[3, 5, 2]"
700,700,2086,"[63, 66, 45, 55, 56, 64, 106, 58, 67, 67, 53]","[45, 53, 55, 56, 58, 63, 64, 66, 67, 67, 106]","[5514, 5202, 1416, 5271, 5203, 3040, 2234, 3245, 3247, 3246, 5012]","[3, 5, 2]"
750,750,2194,"[66, 69, 55, 56, 62, 91, 106, 58, 67, 67, 53]","[53, 55, 56, 58, 62, 66, 67, 67, 69, 91, 106]","[5202, 3437, 5271, 5203, 1048, 2247, 2234, 3245, 3247, 3246, 5012]","[3, 5, 2]"
800,799,2293,"[66, 76, 62, 64, 89, 91, 106, 58, 67, 67, 53]","[53, 58, 62, 64, 66, 67, 67, 76, 89, 91, 106]","[5202, 4313, 1048, 3040, 1394, 2247, 2234, 3245, 3247, 3246, 5012]","[3, 5, 2]"
850,850,2376,"[66, 76, 64, 91, 96, 106, 106, 58, 67, 67, 53]","[53, 58, 64, 66, 67, 67, 76, 91, 96, 106, 106]","[5202, 4313, 3040, 2247, 5390, 2234, 4215, 3245, 3247, 3246, 5012]","[3, 5, 2]"
900,898,2456,"[66, 76, 91, 91, 106, 106, 117, 58, 67, 67, 53]","[53, 58, 66, 67, 67, 76, 91, 91, 106, 106, 117]","[5202, 4313, 2247, 1398, 2234, 4215, 1012, 3245, 3247, 3246, 5012]","[3, 5, 2]"
950,947,2507,"[66, 101, 91, 96, 106, 106, 117, 67, 67, 77, 53]","[53, 66, 67, 67, 77, 91, 96, 101, 106, 106, 117]","[5202, 1143, 2247, 5390, 2234, 4215, 1012, 3247, 3246, 4182, 5012]","[3, 5, 2]"
1000,1000,2555,"[101, 119, 91, 96, 106, 106, 117, 67, 67, 77, 53]","[53, 67, 67, 77, 91, 96, 101, 106, 106, 117, 119]","[1143, 5388, 2247, 5390, 2234, 4215, 1012, 3247, 3246, 4182, 5012]","[3, 5, 2]"
