Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1333,"[51, 43, 44, 44, 45, 45, 43, 46, 46, 47, 46]","[43, 43, 44, 44, 45, 45, 46, 46, 46, 47, 51]","[4468, 1290, 3504, 1439, 1416, 4287, 5016, 4297, 4423, 4295, 3088]"
550,550,1600,"[51, 44, 45, 52, 52, 54, 46, 47, 55, 58, 46]","[44, 45, 46, 46, 47, 51, 52, 52, 54, 55, 58]","[4468, 3504, 1416, 5449, 2132, 5481, 4297, 4295, 5200, 3245, 3088]"
600,600,1809,"[66, 45, 52, 54, 55, 56, 46, 55, 58, 67, 46]","[45, 46, 46, 52, 54, 55, 55, 56, 58, 66, 67]","[5202, 1416, 5449, 5481, 5271, 5203, 4297, 5200, 3245, 3247, 3088]"
650,648,1964,"[66, 45, 55, 56, 62, 64, 55, 58, 67, 67, 53]","[45, 53, 55, 55, 56, 58, 62, 64, 66, 67, 67]","[5202, 1416, 5271, 5203, 1048, 3040, 5200, 3245, 3247, 3246, 5012]"
700,699,2110,"[66, 45, 56, 62, 64, 106, 55, 58, 67, 67, 53]","[45, 53, 55, 56, 58, 62, 64, 66, 67, 67, 106]","[5202, 1416, 5203, 1048, 3040, 2234, 5200, 3245, 3247, 3246, 5012]"
750,748,2212,"[66, 59, 62, 64, 91, 106, 55, 58, 67, 67, 53]","[53, 55, 58, 59, 62, 64, 66, 67, 67, 91, 106]","[5202, 2070, 1048, 3040, 2247, 2234, 5200, 3245, 3247, 3246, 5012]"
800,800,2305,"[66, 62, 64, 89, 91, 106, 58, 67, 67, 77, 53]","[53, 58, 62, 64, 66, 67, 67, 77, 89, 91, 106]","[5202, 1048, 3040, 1394, 2247, 2234, 3245, 3247, 3246, 4182, 5012]"
850,846,2385,"[66, 64, 91, 91, 106, 106, 58, 67, 67, 77, 53]","[53, 58, 64, 66, 67, 67, 77, 91, 91, 106, 106]","[5202, 3040, 2247, 1398, 2234, 4215, 3245, 3247, 3246, 4182, 5012]"
900,899,2468,"[66, 91, 91, 106, 106, 117, 58, 67, 67, 77, 53]","[53, 58, 66, 67, 67, 77, 91, 91, 106, 106, 117]","[5202, 2247, 1398, 2234, 4215, 1012, 3245, 3247, 3246, 4182, 5012]"
950,950,2509,"[119, 89, 91, 106, 106, 117, 58, 67, 67, 77, 53]","[53, 58, 67, 67, 77, 89, 91, 106, 106, 117, 119]","[5388, 1394, 2247, 2234, 4215, 1012, 3245, 3247, 3246, 4182, 5012]"
1000,993,2550,"[119, 91, 106, 106, 117, 132, 58, 67, 67, 77, 53]","[53, 58, 67, 67, 77, 91, 106, 106, 117, 119, 132]","[5388, 2247, 2234, 4215, 1012, 3253, 3245, 3247, 3246, 4182, 5012]"
