Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id,Formation
500,500,1345,"[51, 44, 44, 45, 45, 43, 43, 46, 46, 47, 46]","[43, 43, 44, 44, 45, 45, 46, 46, 46, 47, 51]","[4468, 3504, 1439, 1416, 4287, 5016, 3483, 4297, 4423, 4295, 3088]","[5, 4, 1]"
550,550,1607,"[51, 45, 45, 52, 52, 46, 46, 47, 55, 58, 53]","[45, 45, 46, 46, 47, 51, 52, 52, 53, 55, 58]","[4468, 1416, 4287, 5449, 2132, 4297, 4423, 4295, 5200, 3245, 5012]","[5, 4, 1]"
600,600,1821,"[66, 45, 52, 55, 56, 46, 47, 55, 58, 67, 53]","[45, 46, 47, 52, 53, 55, 55, 56, 58, 66, 67]","[5202, 1416, 5449, 5271, 5203, 4297, 4295, 5200, 3245, 3247, 5012]","[5, 4, 1]"
650,649,1977,"[66, 55, 56, 62, 64, 46, 55, 58, 67, 67, 53]","[46, 53, 55, 55, 56, 58, 62, 64, 66, 67, 67]","[5202, 5271, 5203, 1048, 3040, 4297, 5200, 3245, 3247, 3246, 5012]","[5, 4, 1]"
700,700,2123,"[66, 56, 62, 64, 106, 46, 55, 58, 67, 67, 53]","[46, 53, 55, 56, 58, 62, 64, 66, 67, 67, 106]","[5202, 5203, 1048, 3040, 2234, 4297, 5200, 3245, 3247, 3246, 5012]","[5, 4, 1]"
750,750,2214,"[66, 76, 62, 64, 106, 54, 58, 67, 67, 77, 53]","[53, 54, 58, 62, 64, 66, 67, 67, 76, 77, 106]","[5202, 4313, 1048, 3040, 2234, 3484, 3245, 3247, 3246, 4182, 5012]","[5, 3, 2]"
800,800,2308,"[66, 64, 91, 96, 106, 55, 58, 67, 67, 77, 53]","[53, 55, 58, 64, 66, 67, 67, 77, 91, 96, 106]","[5202, 3040, 2247, 5390, 2234, 5200, 3245, 3247, 3246, 4182, 5012]","[5, 4, 1]"
850,848,2388,"[66, 91, 91, 106, 117, 55, 58, 67, 67, 77, 53]","[53, 55, 58, 66, 67, 67, 77, 91, 91, 106, 117]","[5202, 2247, 1398, 2234, 1012, 5200, 3245, 3247, 3246, 4182, 5012]","[5, 4, 1]"
900,899,2468,"[66, 91, 91, 106, 106, 117, 58, 67, 67, 77, 53]","[53, 58, 66, 67, 67, 77, 91, 91, 106, 106, 117]","[5202, 2247, 1398, 2234, 4215, 1012, 3245, 3247, 3246, 4182, 5012]","[4, 5, 1]"
950,950,2509,"[119, 89, 91, 106, 106, 117, 58, 67, 67, 77, 53]","[53, 58, 67, 67, 77, 89, 91, 106, 106, 117, 119]","[5388, 1394, 2247, 2234, 4215, 1012, 3245, 3247, 3246, 4182, 5012]","[4, 5, 1]"
1000,1000,2555,"[101, 119, 91, 96, 106, 106, 117, 67, 67, 77, 53]","[53, 67, 67, 77, 91, 96, 101, 106, 106, 117, 119]","[1143, 5388, 2247, 5390, 2234, 4215, 1012, 3247, 3246, 4182, 5012]","[3, 5, 2]"
