,Season,Formation,Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
0,,,500,500,1107,"[43, 44, 46, 43, 44, 45, 46, 46, 48, 50, 45]","[43, 43, 44, 44, 45, 45, 46, 46, 46, 48, 50]","[575, 336, 70, 290, 439, 416, 42, 34, 32, 436, 29]"
1,,,550,549,1346,"[44, 46, 57, 44, 45, 49, 62, 49, 50, 52, 51]","[44, 44, 45, 46, 49, 49, 50, 51, 52, 57, 62]","[336, 70, 67, 439, 416, 202, 48, 278, 436, 33, 54]"
2,,,600,600,1516,"[46, 57, 63, 45, 49, 58, 62, 50, 52, 67, 51]","[45, 46, 49, 50, 51, 52, 57, 58, 62, 63, 67]","[70, 67, 500, 416, 202, 111, 48, 436, 33, 78, 54]"
3,,,650,650,1661,"[61, 63, 74, 45, 55, 58, 62, 50, 64, 67, 51]","[45, 50, 51, 55, 58, 61, 62, 63, 64, 67, 74]","[478, 500, 355, 416, 155, 111, 48, 436, 77, 78, 54]"
4,,,700,699,1783,"[57, 63, 74, 45, 58, 62, 89, 64, 67, 69, 51]","[45, 51, 57, 58, 62, 63, 64, 67, 69, 74, 89]","[67, 500, 355, 416, 111, 48, 394, 77, 78, 561, 54]"
5,,,750,745,1890,"[63, 74, 101, 45, 58, 62, 91, 64, 67, 69, 51]","[45, 51, 58, 62, 63, 64, 67, 69, 74, 91, 101]","[500, 355, 143, 416, 111, 48, 398, 77, 78, 561, 54]"
6,,,800,799,1990,"[63, 74, 101, 62, 68, 89, 91, 64, 67, 69, 51]","[51, 62, 63, 64, 67, 68, 69, 74, 89, 91, 101]","[500, 355, 143, 48, 90, 394, 398, 77, 78, 561, 54]"
7,,,850,848,2092,"[63, 74, 101, 62, 89, 91, 117, 64, 67, 69, 51]","[51, 62, 63, 64, 67, 69, 74, 89, 91, 101, 117]","[500, 355, 143, 48, 394, 398, 12, 77, 78, 561, 54]"
8,,,900,893,2150,"[63, 101, 119, 62, 89, 91, 117, 64, 67, 69, 51]","[51, 62, 63, 64, 67, 69, 89, 91, 101, 117, 119]","[500, 143, 403, 48, 394, 398, 12, 77, 78, 561, 54]"
9,,,950,947,2216,"[74, 101, 119, 89, 91, 105, 117, 64, 67, 69, 51]","[51, 64, 67, 69, 74, 89, 91, 101, 105, 117, 119]","[355, 143, 403, 394, 398, 82, 12, 77, 78, 561, 54]"
10,,,1000,977,2246,"[101, 104, 119, 89, 91, 105, 117, 64, 67, 69, 51]","[51, 64, 67, 69, 89, 91, 101, 104, 105, 117, 119]","[143, 97, 403, 394, 398, 82, 12, 77, 78, 561, 54]"
0,,"[3, 5, 2]",500,500,1145,"[44, 46, 43, 44, 45, 46, 49, 44, 46, 50, 43]","[43, 43, 44, 44, 44, 45, 46, 46, 46, 49, 50]","[336, 70, 290, 439, 416, 42, 202, 56, 34, 436, 574]"
1,,"[3, 5, 2]",550,550,1374,"[44, 46, 44, 45, 49, 58, 62, 49, 50, 52, 51]","[44, 44, 45, 46, 49, 49, 50, 51, 52, 58, 62]","[336, 70, 439, 416, 202, 111, 48, 278, 436, 33, 54]"
2,,"[3, 5, 2]",600,600,1542,"[57, 63, 45, 46, 49, 58, 62, 50, 52, 67, 51]","[45, 46, 49, 50, 51, 52, 57, 58, 62, 63, 67]","[67, 500, 416, 42, 202, 111, 48, 436, 33, 78, 54]"
3,,"[3, 5, 2]",650,650,1676,"[61, 63, 45, 55, 58, 62, 74, 50, 64, 67, 51]","[45, 50, 51, 55, 58, 61, 62, 63, 64, 67, 74]","[478, 500, 416, 155, 111, 48, 368, 436, 77, 78, 54]"
4,,"[3, 5, 2]",700,699,1804,"[63, 74, 45, 58, 62, 74, 91, 50, 64, 67, 51]","[45, 50, 51, 58, 62, 63, 64, 67, 74, 74, 91]","[500, 355, 416, 111, 48, 368, 398, 436, 77, 78, 54]"
5,,"[3, 5, 2]",750,749,1919,"[63, 74, 45, 62, 74, 89, 91, 64, 67, 69, 51]","[45, 51, 62, 63, 64, 67, 69, 74, 74, 89, 91]","[500, 355, 416, 48, 368, 394, 398, 77, 78, 561, 54]"
6,,"[3, 5, 2]",800,800,2012,"[74, 101, 58, 62, 74, 89, 91, 64, 67, 69, 51]","[51, 58, 62, 64, 67, 69, 74, 74, 89, 91, 101]","[355, 143, 111, 48, 368, 394, 398, 77, 78, 561, 54]"
7,,"[3, 5, 2]",850,848,2107,"[63, 101, 62, 74, 89, 91, 117, 64, 67, 69, 51]","[51, 62, 63, 64, 67, 69, 74, 89, 91, 101, 117]","[500, 143, 48, 368, 394, 398, 12, 77, 78, 561, 54]"
8,,"[3, 5, 2]",900,890,2170,"[74, 101, 62, 89, 91, 105, 117, 64, 67, 69, 51]","[51, 62, 64, 67, 69, 74, 89, 91, 101, 105, 117]","[355, 143, 48, 394, 398, 82, 12, 77, 78, 561, 54]"
9,,"[3, 5, 2]",950,947,2231,"[101, 119, 74, 89, 91, 105, 117, 64, 67, 69, 51]","[51, 64, 67, 69, 74, 89, 91, 101, 105, 117, 119]","[143, 403, 368, 394, 398, 82, 12, 77, 78, 561, 54]"
10,,"[3, 5, 2]",1000,978,2249,"[101, 119, 89, 91, 105, 105, 117, 64, 67, 69, 51]","[51, 64, 67, 69, 89, 91, 101, 105, 105, 117, 119]","[143, 403, 394, 398, 82, 235, 12, 77, 78, 561, 54]"
0,,,500,500,1105,"[43, 44, 46, 44, 45, 46, 44, 46, 49, 50, 43]","[43, 43, 44, 44, 44, 45, 46, 46, 46, 49, 50]","[575, 336, 70, 439, 416, 42, 56, 34, 278, 436, 574]"
1,,,550,550,1347,"[44, 46, 63, 44, 45, 62, 44, 49, 50, 52, 51]","[44, 44, 44, 45, 46, 49, 50, 51, 52, 62, 63]","[336, 70, 500, 439, 416, 48, 56, 278, 436, 33, 54]"
2,,,600,599,1520,"[44, 57, 63, 44, 45, 62, 50, 52, 64, 67, 51]","[44, 44, 45, 50, 51, 52, 57, 62, 63, 64, 67]","[336, 67, 500, 439, 416, 48, 436, 33, 77, 78, 54]"
3,,,650,649,1663,"[57, 61, 63, 45, 58, 62, 52, 64, 67, 69, 51]","[45, 51, 52, 57, 58, 61, 62, 63, 64, 67, 69]","[67, 478, 500, 416, 111, 48, 33, 77, 78, 561, 54]"
4,,,700,699,1784,"[61, 63, 74, 45, 62, 91, 52, 64, 67, 69, 51]","[45, 51, 52, 61, 62, 63, 64, 67, 69, 74, 91]","[478, 500, 355, 416, 48, 398, 33, 77, 78, 561, 54]"
5,,,750,750,1890,"[63, 74, 101, 58, 62, 91, 50, 64, 67, 69, 51]","[50, 51, 58, 62, 63, 64, 67, 69, 74, 91, 101]","[500, 355, 143, 111, 48, 398, 436, 77, 78, 561, 54]"
6,,,800,798,1972,"[61, 63, 101, 62, 91, 117, 52, 64, 67, 69, 51]","[51, 52, 61, 62, 63, 64, 67, 69, 91, 101, 117]","[478, 500, 143, 48, 398, 12, 33, 77, 78, 561, 54]"
